RowName,SenseConfig_Common,AISense_BuffOverride,AISelfBuffSenseScalerMap,ThreatLevelRule,MaxSightDistOffsetInSmoke,FoliageTraceOffset,FoliageFocusRadius,FoliageFocusTimelimit,RowDescription
Default,"(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=2500, RunSoundDistance=700, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=2500, Angle=30); (Radius=1500, Angle=80); (Radius=3000, Angle=20), AlertVisionConeScaler=(Radius=3000, Angle=30); (Radius=1500, Angle=80); (Radius=150, Angle=180); (Radius=4000, Angle=20), FightVisionConeScaler=(Radius=5500, Angle=45); (Radius=3500, Angle=60); (Radius=1500, Angle=80); (Radius=150, Angle=180); (Radius=7000, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=(Increment=-1.9421988e-37, MaxIncrement=5.58e-43, AttenuationCurve=()); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()), HurtedVisionScaler=(Increment=-1.9421773e-37, MaxIncrement=5.58e-43, AttenuationCurve=); (Increment=3000, MaxIncrement=3000, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=500, RunSoundDistance=1, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=500, Angle=30); (Radius=300, Angle=80); (Radius=600, Angle=20), AlertVisionConeScaler=(Radius=600, Angle=30); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=800, Angle=20), FightVisionConeScaler=(Radius=1100, Angle=45); (Radius=700, Angle=60); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=1400, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=, HurtedVisionScaler=)); (Key=100020, Value=(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=2000, SprintSoundDistance=2500, RunSoundDistance=700, WalkSoundDistance=1, OperateSoundDistance=300, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=2000, Angle=20); (Radius=1500, Angle=30); (Radius=750, Angle=80), AlertVisionConeScaler=(Radius=2000, Angle=20); (Radius=1500, Angle=30); (Radius=750, Angle=80), FightVisionConeScaler=(Radius=7000, Angle=15); (Radius=5500, Angle=45); (Radius=3500, Angle=60); (Radius=1500, Angle=80); (Radius=300, Angle=180), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=3000, MaxIncrement=3000, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=500, RunSoundDistance=1, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=500, Angle=30); (Radius=300, Angle=80); (Radius=600, Angle=20), AlertVisionConeScaler=(Radius=600, Angle=30); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=800, Angle=20), FightVisionConeScaler=(Radius=1100, Angle=45); (Radius=700, Angle=60); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=1400, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=, HurtedVisionScaler=))","(Key=204006, Value=(VisionRadiusScaler=0.04, WeaponSoundDistanceScaler=0.04, NearShootGunSoundDistanceScaler=0.04, SilencerSoundDistanceScaler=0.04, SprintSoundDistanceScaler=0.04, RunSoundDistanceScaler=0.04, WalkSoundDistanceScaler=0.04, OperateSoundDistanceScaler=0.04))",AIThreatLevelRule,-2200,111,800,3,None
Default_Night,"(WeaponSoundDistance=3500, NearShootGunSoundDistance=2400, SilencerSoundDistance=2500, SprintSoundDistance=2000, RunSoundDistance=700, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1000, Angle=30); (Radius=1500, Angle=30); (Radius=1500, Angle=60), AlertVisionConeScaler=(Radius=2000, Angle=30); (Radius=1500, Angle=45); (Radius=150, Angle=180); (Radius=2500, Angle=60), FightVisionConeScaler=(Radius=2500, Angle=60); (Radius=2500, Angle=60); (Radius=1500, Angle=80); (Radius=150, Angle=180); (Radius=3500, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=(Increment=-1.9421988e-37, MaxIncrement=5.58e-43, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=-1.9421773e-37, MaxIncrement=5.58e-43, AttenuationCurve=); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=500, RunSoundDistance=1, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=500, Angle=30); (Radius=300, Angle=80); (Radius=600, Angle=20), AlertVisionConeScaler=(Radius=600, Angle=30); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=800, Angle=20), FightVisionConeScaler=(Radius=1100, Angle=45); (Radius=700, Angle=60); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=1400, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=, HurtedVisionScaler=)); (Key=100020, Value=(WeaponSoundDistance=3500, NearShootGunSoundDistance=2400, SilencerSoundDistance=1500, SprintSoundDistance=2000, RunSoundDistance=700, WalkSoundDistance=1, OperateSoundDistance=300, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1000, Angle=30); (Radius=1500, Angle=30); (Radius=1500, Angle=60), AlertVisionConeScaler=(Radius=2000, Angle=30); (Radius=1500, Angle=45); (Radius=150, Angle=180); (Radius=2500, Angle=60), FightVisionConeScaler=(Radius=2500, Angle=60); (Radius=2500, Angle=60); (Radius=1500, Angle=80); (Radius=150, Angle=180); (Radius=3500, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=4500, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=500, RunSoundDistance=1, WalkSoundDistance=1, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=500, Angle=30); (Radius=300, Angle=80); (Radius=600, Angle=20), AlertVisionConeScaler=(Radius=600, Angle=30); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=800, Angle=20), FightVisionConeScaler=(Radius=1100, Angle=45); (Radius=700, Angle=60); (Radius=300, Angle=80); (Radius=30, Angle=180); (Radius=1400, Angle=15), InFogVisionScalar=, GunSoundVisionScaler=, HurtedVisionScaler=))","(Key=204006, Value=(VisionRadiusScaler=0.04, WeaponSoundDistanceScaler=0.04, NearShootGunSoundDistanceScaler=0.04, SilencerSoundDistanceScaler=0.04, SprintSoundDistanceScaler=0.04, RunSoundDistanceScaler=0.04, WalkSoundDistanceScaler=0.04, OperateSoundDistanceScaler=0.04))",AIThreatLevelRule,0,200,800,3,None
SOL_Boss_Maurice,"(WeaponSoundDistance=5000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=4000, RunSoundDistance=3000, WalkSoundDistance=2000, OperateSoundDistance=1000, ExplodeSoundDistance=6000, VehicleSoundDistance=6000, AlertToFightTime=0, AlertToFightAngleSampleCurve=, LeisureVisionConeScaler=(Radius=1200, Angle=360); (Radius=3000, Angle=180); (Radius=5000, Angle=90); (Radius=7000, Angle=45), AlertVisionConeScaler=(Radius=2000, Angle=360); (Radius=3000, Angle=180); (Radius=5000, Angle=90); (Radius=7000, Angle=45), FightVisionConeScaler=(Radius=2000, Angle=360); (Radius=3000, Angle=180); (Radius=5000, Angle=90); (Radius=7000, Angle=45), InFogVisionScalar=, GunSoundVisionScaler=(Increment=300, MaxIncrement=1000, AttenuationCurve=()); (Increment=300, MaxIncrement=1000, AttenuationCurve=()); (Increment=500, MaxIncrement=4000, AttenuationCurve=()), HurtedVisionScaler=(Increment=-1.8291045e-33, MaxIncrement=5.59e-43, AttenuationCurve=); (Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=2000, MaxIncrement=4000, AttenuationCurve=()))",,,AIThreatLevelRule,0,120,800,20,None
SOL_Boss_Reis,"(WeaponSoundDistance=4000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=3500, RunSoundDistance=2000, WalkSoundDistance=1000, OperateSoundDistance=500, ExplodeSoundDistance=2000, VehicleSoundDistance=3000, AlertToFightTime=1, AlertToFightAngleSampleCurve=, LeisureVisionConeScaler=(Radius=2000, Angle=30); (Radius=3000, Angle=45); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2000, Angle=30); (Radius=3500, Angle=45); (Radius=250, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=5000, Angle=20); (Radius=4000, Angle=90); (Radius=3500, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=4000, MaxIncrement=8000, AttenuationCurve=()))",,,AIThreatLevelRule,-2200,120,800,20,None
Newbie,"(WeaponSoundDistance=4000, NearShootGunSoundDistance=1200, SilencerSoundDistance=300, SprintSoundDistance=1000, RunSoundDistance=300, WalkSoundDistance=75, OperateSoundDistance=500, ExplodeSoundDistance=2000, VehicleSoundDistance=3000, AlertToFightTime=1.5, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=-1.9428014e-37, Angle=5.58e-43); (Radius=3000, Angle=45); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=-1.9429162e-37, Angle=5.58e-43); (Radius=3500, Angle=45); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=-1.9431745e-37, Angle=5.58e-43); (Radius=4000, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=-1.9428875e-37, MaxIncrement=5.58e-43, AttenuationCurve=()); (Increment=1500, MaxIncrement=1500, AttenuationCurve=()), HurtedVisionScaler=(Increment=-1.9428301e-37, MaxIncrement=5.58e-43, AttenuationCurve=); (Increment=3000, MaxIncrement=3000, AttenuationCurve=()))",,,AIThreatLevelRule,0,120,800,8,None
Sniper,"(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=3000, RunSoundDistance=1000, WalkSoundDistance=75, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=6500, Angle=120); (Radius=7000, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=7500, Angle=120); (Radius=9000, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=8000, Angle=120); (Radius=9000, Angle=90); (Radius=3000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=2000, Angle=120); (Radius=2500, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2500, Angle=120); (Radius=3000, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=3000, Angle=120); (Radius=3500, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=2000, Angle=120); (Radius=2500, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2500, Angle=120); (Radius=3000, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=3000, Angle=120); (Radius=3500, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=())))",,AIThreatLevelRule,-1800,120,800,3,None
Sniper_Night,"(WeaponSoundDistance=6000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=2000, RunSoundDistance=1000, WalkSoundDistance=75, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=5500, Angle=120); (Radius=5000, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=5500, Angle=120); (Radius=7000, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=6000, Angle=120); (Radius=7000, Angle=90); (Radius=3000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1500, Angle=120); (Radius=2000, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2000, Angle=120); (Radius=2500, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2500, Angle=120); (Radius=3000, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1500, Angle=120); (Radius=2000, Angle=60); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2000, Angle=120); (Radius=2500, Angle=90); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2500, Angle=120); (Radius=3000, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=5000, MaxIncrement=5000, AttenuationCurve=())))",,AIThreatLevelRule,0,120,800,3,None
RPG,"(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=3000, RunSoundDistance=1000, WalkSoundDistance=75, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=4000, Angle=180); (Radius=6000, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=4000, Angle=180); (Radius=6000, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=8000, Angle=30); (Radius=8000, Angle=90); (Radius=3000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1500, Angle=180); (Radius=2000, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2000, Angle=180); (Radius=2500, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2500, Angle=30); (Radius=3000, Angle=90); (Radius=1500, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1500, Angle=180); (Radius=2000, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=2000, Angle=180); (Radius=2500, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2500, Angle=30); (Radius=3000, Angle=90); (Radius=1500, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=())))","(Key=204006, Value=(VisionRadiusScaler=0.04, WeaponSoundDistanceScaler=0.04, NearShootGunSoundDistanceScaler=0.04, SilencerSoundDistanceScaler=0.04, SprintSoundDistanceScaler=0.04, RunSoundDistanceScaler=0.04, WalkSoundDistanceScaler=0.04, OperateSoundDistanceScaler=0.04))",AIThreatLevelRule,-2200,120,800,3,None
RPG_Night,"(WeaponSoundDistance=6000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=2000, RunSoundDistance=1000, WalkSoundDistance=75, OperateSoundDistance=1000, ExplodeSoundDistance=4000, VehicleSoundDistance=4000, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=-1.9417324e-37, Angle=5.58e-43); (Radius=2000, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=1000, Angle=180); (Radius=3000, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=-1.9417252e-37, Angle=5.58e-43); (Radius=3500, Angle=90); (Radius=3000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=()))","(Key=303055, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1000, Angle=180); (Radius=1500, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=1500, Angle=180); (Radius=2000, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2000, Angle=30); (Radius=2500, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=()))); (Key=140088, Value=(WeaponSoundDistance=8000, NearShootGunSoundDistance=2400, SilencerSoundDistance=3000, SprintSoundDistance=1000, RunSoundDistance=500, WalkSoundDistance=75, OperateSoundDistance=1, ExplodeSoundDistance=1, VehicleSoundDistance=1, AlertToFightTime=0.6, AlertToFightAngleSampleCurve=(), LeisureVisionConeScaler=(Radius=1000, Angle=180); (Radius=1500, Angle=120); (Radius=1, Angle=1); (Radius=1, Angle=1), AlertVisionConeScaler=(Radius=1500, Angle=180); (Radius=2000, Angle=120); (Radius=500, Angle=180); (Radius=1, Angle=1), FightVisionConeScaler=(Radius=2000, Angle=30); (Radius=2500, Angle=90); (Radius=1000, Angle=180); (Radius=1, Angle=1), InFogVisionScalar=, GunSoundVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=()); (Increment=500, MaxIncrement=500, AttenuationCurve=()), HurtedVisionScaler=(Increment=0, MaxIncrement=0, AttenuationCurve=); (Increment=1000, MaxIncrement=1000, AttenuationCurve=())))","(Key=204006, Value=(VisionRadiusScaler=0.04, WeaponSoundDistanceScaler=0.04, NearShootGunSoundDistanceScaler=0.04, SilencerSoundDistanceScaler=0.04, SprintSoundDistanceScaler=0.04, RunSoundDistanceScaler=0.04, WalkSoundDistanceScaler=0.04, OperateSoundDistanceScaler=0.04))",AIThreatLevelRule,0,120,800,3,None
PvpAiPlayer,"(WeaponSoundDistance=4000, NearShootGunSoundDistance=4000, SilencerSoundDistance=4000, SprintSoundDistance=1500, RunSoundDistance=1000, WalkSoundDistance=500, OperateSoundDistance=1000, ExplodeSoundDistance=10000, VehicleSoundDistance=10000, AlertToFightTime=2, AlertToFightAngleSampleCurve=, LeisureVisionConeScaler=, AlertVisionConeScaler=, FightVisionConeScaler=, InFogVisionScalar=, GunSoundVisionScaler=, HurtedVisionScaler=)",,,,0,120,800,20,None
