RowName,HitPartDistanceConf,RowDescription
Default,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=25); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=8); (BodyPart=ECharacterPart::LeftLeg, Weight=8); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=28); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Sniper,"(DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=8); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=20); (BodyPart=ECharacterPart::LeftLeg, Weight=20); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Paratrooper,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=25); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=28); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::RightArm, Weight=12); (BodyPart=ECharacterPart::LeftArm, Weight=12); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Shotgun,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=6); (BodyPart=ECharacterPart::LeftArm, Weight=6); (BodyPart=ECharacterPart::RightLeg, Weight=8); (BodyPart=ECharacterPart::LeftLeg, Weight=8); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=45); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=8); (BodyPart=ECharacterPart::LeftLeg, Weight=8); (BodyPart=ECharacterPart::Abdomen, Weight=15)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=80); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=15))",None
SMG,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=6); (BodyPart=ECharacterPart::LeftArm, Weight=6); (BodyPart=ECharacterPart::RightLeg, Weight=8); (BodyPart=ECharacterPart::LeftLeg, Weight=8); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25))",None
AR,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=6); (BodyPart=ECharacterPart::LeftArm, Weight=6); (BodyPart=ECharacterPart::RightLeg, Weight=8); (BodyPart=ECharacterPart::LeftLeg, Weight=8); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25))",None
Shield,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=28); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=25))",None
Reis_Assault,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=25); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=28); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::RightArm, Weight=12); (BodyPart=ECharacterPart::LeftArm, Weight=12); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Reis,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=25); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=28); (BodyPart=ECharacterPart::RightArm, Weight=15); (BodyPart=ECharacterPart::LeftArm, Weight=15); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::RightArm, Weight=12); (BodyPart=ECharacterPart::LeftArm, Weight=12); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
HvyMG,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=5); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=2); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=25)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=40); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Crocodile,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=0); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=50); (BodyPart=ECharacterPart::LeftLeg, Weight=50))",None
Maurice,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=20); (BodyPart=ECharacterPart::Thorax, Weight=30); (BodyPart=ECharacterPart::Abdomen, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5))",None
MP_Bot,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=1); (BodyPart=ECharacterPart::Thorax, Weight=100); (BodyPart=ECharacterPart::Abdomen, Weight=100); (BodyPart=ECharacterPart::RightArm, Weight=20); (BodyPart=ECharacterPart::LeftArm, Weight=20); (BodyPart=ECharacterPart::RightLeg, Weight=20); (BodyPart=ECharacterPart::LeftLeg, Weight=20))",None
Firebat,"(DistanceLess=0, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=40); (BodyPart=ECharacterPart::LeftLeg, Weight=40)); (DistanceLess=2500, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=30); (BodyPart=ECharacterPart::Abdomen, Weight=30); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10))",None
Anais,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10000); (BodyPart=ECharacterPart::Thorax, Weight=0); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=1); (BodyPart=ECharacterPart::LeftArm, Weight=1); (BodyPart=ECharacterPart::RightLeg, Weight=1); (BodyPart=ECharacterPart::LeftLeg, Weight=1))",None
RCV,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=0); (BodyPart=ECharacterPart::Thorax, Weight=100); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=0); (BodyPart=ECharacterPart::LeftLeg, Weight=0))",None
Raid,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10); (BodyPart=ECharacterPart::Thorax, Weight=30); (BodyPart=ECharacterPart::Abdomen, Weight=30); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5))",None
Maurice_BlaskShield,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=50); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::Abdomen, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5))",None
Reis_BlackShield,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=40); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=30); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=20); (BodyPart=ECharacterPart::Thorax, Weight=30); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Reis_Assault_BlackShield,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=40); (BodyPart=ECharacterPart::Thorax, Weight=15); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=10)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=30); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=20); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=12); (BodyPart=ECharacterPart::LeftArm, Weight=12); (BodyPart=ECharacterPart::RightLeg, Weight=15); (BodyPart=ECharacterPart::LeftLeg, Weight=15); (BodyPart=ECharacterPart::Abdomen, Weight=20))",None
Shield_BlaskShield,"(DistanceLess=2000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=40); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=4000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=30); (BodyPart=ECharacterPart::Thorax, Weight=20); (BodyPart=ECharacterPart::RightArm, Weight=5); (BodyPart=ECharacterPart::LeftArm, Weight=5); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=20)); (DistanceLess=15000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=10); (BodyPart=ECharacterPart::Thorax, Weight=10); (BodyPart=ECharacterPart::RightArm, Weight=8); (BodyPart=ECharacterPart::LeftArm, Weight=8); (BodyPart=ECharacterPart::RightLeg, Weight=5); (BodyPart=ECharacterPart::LeftLeg, Weight=5); (BodyPart=ECharacterPart::Abdomen, Weight=25))",None
RCV_BlaskShield,"(DistanceLess=50000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=50); (BodyPart=ECharacterPart::Thorax, Weight=50); (BodyPart=ECharacterPart::Abdomen, Weight=0); (BodyPart=ECharacterPart::RightArm, Weight=0); (BodyPart=ECharacterPart::LeftArm, Weight=0); (BodyPart=ECharacterPart::RightLeg, Weight=0); (BodyPart=ECharacterPart::LeftLeg, Weight=0))",None
MP_Bot_BlaskShield,"(DistanceLess=20000, ProbabilityList=(BodyPart=ECharacterPart::Head, Weight=100); (BodyPart=ECharacterPart::Thorax, Weight=50); (BodyPart=ECharacterPart::Abdomen, Weight=50); (BodyPart=ECharacterPart::RightArm, Weight=10); (BodyPart=ECharacterPart::LeftArm, Weight=10); (BodyPart=ECharacterPart::RightLeg, Weight=10); (BodyPart=ECharacterPart::LeftLeg, Weight=10))",None
