RowName,AIMeleeDamage,AIMeleeDamageMax,AIMeleeArmorDamage,AIMeleeArmorDamageMax,MeleeAttackLevel,AIGrenadDamage,AIGrenadeDamageMax,AIGrenadeArmorDamage,AIGrenadeArmorDamageMax,GrenadeAttackLevel,AIMachineGunDamage,AIMachineGunDamageMax,AIMachineGunArmorDamage,AIMachineGunArmorDamageMax,MachineGunAttackLevel,RowDescription
Common,10,0,10,0,0,30,50,30,50,0,15,0,15,0,1,None
SOL_Boss_Reis,66,80,93,106,0,30,60,20,40,0,15,0,15,0,1,None
SOL_Boss_Reis_Follower,60,60,50,50,0,30,60,20,40,0,15,0,15,0,1,None
Intro_MachineGun_Overkill,5,5,2,5,0,10,15,10,10,0,2,2,2,2,1,None
SOL_Crocodile,12,15,0,0,1,30,100,30,100,2,15,0,15,0,1,None
SOL_Boss_Maurice,90,90,100,100,0,30,60,20,40,0,15,0,15,0,1,None
SOL_Boss_Henc,80,80,100,100,7,30,60,20,40,0,15,0,15,0,1,None
SOL_Boss_Raven,0.01,0.01,0.01,0.01,0,30,60,20,40,0,15,0,15,0,1,None
SOL_Boss_06_Warder,55,55,56,56,0,100,100,60,60,5,15,0,15,0,1,None
SOL_Shark,15,18,0,0,1,30,100,30,100,2,15,0,15,0,1,None
