RowName,Level,Exp,RowDescription
1,1,7000,None
2,2,7000,None
3,3,7000,None
4,4,7000,None
5,5,7000,None
6,6,7000,None
7,7,8500,None
8,8,9500,None
9,9,10500,None
10,10,11500,None
11,11,12500,None
12,12,14000,None
13,13,15000,None
14,14,16500,None
15,15,18000,None
16,16,19500,None
17,17,21000,None
18,18,22500,None
19,19,24500,None
20,20,26500,None
21,21,28500,None
22,22,30500,None
23,23,32500,None
24,24,34500,None
25,25,37000,None
26,26,39000,None
27,27,41500,None
28,28,44000,None
29,29,46500,None
30,30,49500,None
31,31,50000,None
32,32,50000,None
33,33,50000,None
34,34,50000,None
35,35,50000,None
36,36,50000,None
37,37,50000,None
38,38,50000,None
39,39,50000,None
40,40,75000,None
41,41,75000,None
42,42,75000,None
43,43,75000,None
44,44,75000,None
45,45,75000,None
46,46,75000,None
47,47,75000,None
48,48,75000,None
49,49,75000,None
50,50,0,None
