RowName,MapID,MaxRoundCount,ToWinRoundCount,RoundMaxDuration,RoundPrepareDuration,FirstRoundPrepareDuration,RoundSettlementDuration,ContinueWinMinCount,ContinueLoseMinCount,RowDescription
森林酒店,1921,7,3,600,30,45,6,2,2,None
雷达站主楼,1922,7,3,270,30,45,6,2,2,None
巴克什赛事模板,8121,7,3,600,30,45,6,2,2,None
巴别塔海水观测区,8122,7,3,270,30,45,6,2,2,None
大坝纯地下,2221,7,3,270,30,45,6,2,2,None
大坝军营,2222,7,3,270,30,45,6,2,2,None
航天城boss室,3921,7,3,270,30,45,6,2,2,None
航天赛事模板,3922,7,3,600,30,45,6,2,2,None
监狱核心区,8821,7,3,600,30,45,6,2,2,None
巴别塔顶,8123,7,3,600,30,45,6,2,2,None
大坝行政楼,2223,7,3,600,30,45,6,2,2,None
