RowName,LabelNo1,LabelNo1Name,LabelNo1Icon,RowDescription
1,10011,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0108.CommonHall_Merchant_Icon_0108',None
2,10021,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0605.Warehouse_Icon_0605',None
3,10031,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0004.Warehouse_Icon_0004',None
4,10041,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0103.CommonHall_Merchant_Icon_0103',None
5,20011,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0112.CommonHall_Merchant_Icon_0112',None
6,20021,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0106.CommonHall_Merchant_Icon_0106',None
7,20051,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0003.Warehouse_Icon_0003',None
8,20061,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0602.Warehouse_Icon_0602',None
9,30011,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_ItemProp_icon_0504.Common_ItemProp_icon_0504',None
10,30021,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0101.CommonHall_Merchant_Icon_0101',None
11,30031,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0102.CommonHall_Merchant_Icon_0102',None
12,30041,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_EquipClass_Icon_0001.Common_EquipClass_Icon_0001',None
14,40011,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_08.Shop_Icon_08',None
15,40012,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_08.Shop_Icon_08',None
16,40201,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0109.CommonHall_Merchant_Icon_0109',None
17,40301,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0603.Warehouse_Icon_0603',None
18,40401,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0001.Warehouse_Icon_0001',None
19,50011,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Merchant_Icon_0106.CommonHall_Merchant_Icon_0106',None
21,50021,,PaperSprite'/Game/UI/UIAtlas/System/Activity/BakedSprite/Activity_Icon_05.Activity_Icon_05',None
29,50031,,PaperSprite'/Game/UI/UIAtlas/System/Activity/BakedSprite/Activity_Icon_05.Activity_Icon_05',None
