RowName,TraderTypeID,TraderTypeName,TraderTypeIconPath,RowDescription
1,1,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_10.Shop_Icon_10',None
2,2,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0605.Warehouse_Icon_0605',None
3,3,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_06.Shop_Icon_06',None
4,4,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_04.Shop_Icon_04',None
5,5,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_13.Shop_Icon_13',None
6,6,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_09.Shop_Icon_09',None
7,7,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_05.Shop_Icon_05',None
8,8,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_02.Shop_Icon_02',None
10,10,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_11.Shop_Icon_11',None
11,11,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_08.Shop_Icon_08',None
12,12,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_01.Shop_Icon_01',None
13,13,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_04.Shop_Icon_04',None
14,14,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_09.Shop_Icon_09',None
15,15,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0606.Warehouse_Icon_0606',None
16,16,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0004.Warehouse_Icon_0004',None
17,17,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0003.Warehouse_Icon_0003',None
18,18,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0602.Warehouse_Icon_0602',None
19,19,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0002.Warehouse_Icon_0002',None
20,20,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0603.Warehouse_Icon_0603',None
21,21,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0001.Warehouse_Icon_0001',None
22,22,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_10.Shop_Icon_10',None
23,23,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_04.Shop_Icon_04',None
24,24,,PaperSprite'/Game/UI/UIAtlas/System/Shop/BakedSprite/Shop_Icon_12.Shop_Icon_12',None
25,25,,PaperSprite'/Game/UI/UIAtlas/System/Warehouse/BakedSprite/warehouse_Icon_0607.Warehouse_Icon_0607',None
26,26,,PaperSprite'/Game/UI/UIAtlas/System/Activity/BakedSprite/Activity_Icon_05.Activity_Icon_05',None
