RowName,Key,ID,PresetTitle,ArmedForceID,Position,MinPrice,MaxPrice,ItemNum,MedicineType,RowDescription
1,1,1,,1,111,0,20000,1,0,None
2,2,1,,2,111,0,20000,1,0,None
3,3,1,,3,111,0,20000,1,0,None
4,4,1,,4,111,0,40000,1,0,None
5,5,1,,0,108,0,6600,1,0,None
6,6,1,,0,105,0,10000,1,0,None
7,7,1,,0,107,0,6600,1,0,None
8,8,1,,0,0,0,3800,4,1,None
9,9,1,,0,0,0,5000,4,3,None
10,10,2,,1,111,50000,100000,1,0,None
11,11,2,,2,111,50000,100000,1,0,None
12,12,2,,3,111,50000,100000,1,0,None
13,13,2,,4,111,50000,100000,1,0,None
14,14,2,,0,108,7000,12000,1,0,None
15,15,2,,0,101,7000,15000,1,0,None
16,16,2,,0,105,12000,25000,1,0,None
17,17,2,,0,107,7000,12000,1,0,None
18,18,2,,0,0,0,3800,4,1,None
19,19,2,,0,0,0,10000,2,2,None
20,20,2,,0,0,0,10000,8,3,None
21,21,3,,1,111,150000,500000,1,0,None
22,22,3,,2,111,150000,320000,1,0,None
23,23,3,,3,111,150000,400000,1,0,None
24,24,3,,4,111,80000,250000,1,0,None
25,25,3,,0,108,13000,33000,1,0,None
26,26,3,,0,101,18000,23500,1,0,None
27,27,3,,0,105,32000,40000,1,0,None
28,28,3,,0,107,13000,33000,1,0,None
29,29,3,,0,0,0,8000,8,1,None
30,30,3,,0,0,0,10000,2,2,None
31,31,3,,0,0,0,20000,8,3,None
