RowName,ID,ArmedForceID,ExpertID,MPWeaponList,SOLWeaponList,RowDescription
1,1,1,10007,18010000017; 18010000037; 18010000018; 18010000006; 18010000001; 18010000008; 18010000024; 18010000031; 18010000014; 18010000010; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18030000001; 18030000002; 18010000038; 18070000033; 18010000013; 18030000005; 18010000040; 18150000001; 18010000016; 18010000042; 18010000045,,None
2,2,1,10007,18030000006,,None
3,3,1,10007,18030000006,,None
4,4,1,10007,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
5,5,1,10010,18010000017; 18010000037; 18010000018; 18010000006; 18010000001; 18010000008; 18010000024; 18010000031; 18010000014; 18010000010; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18030000001; 18030000002; 18010000038; 18070000033; 18010000013; 18030000005; 18010000040; 18150000001; 18010000016; 18010000042; 18010000045,,None
6,6,1,10010,18030000006,,None
7,7,1,10010,18030000006,,None
8,8,1,10010,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
9,9,1,10011,18010000017; 18010000037; 18010000018; 18010000006; 18010000001; 18010000008; 18010000024; 18010000031; 18010000014; 18010000010; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18030000001; 18030000002; 18010000038; 18070000033; 18010000013; 18030000005; 18010000040; 18150000001; 18010000016; 18010000042; 18010000045,,None
10,10,1,10011,18030000006,,None
11,11,1,10011,18030000006,,None
12,12,1,10011,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
13,13,1,10012,18010000017; 18010000037; 18010000018; 18010000006; 18010000001; 18010000008; 18010000024; 18010000031; 18010000014; 18010000010; 18050000006; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18030000001; 18030000002; 18010000038; 18070000033; 18010000013; 18030000005; 18010000040; 18150000001; 18010000016; 18010000042; 18010000045,,None
14,14,1,10012,18030000006,,None
15,15,1,10012,18030000006,,None
16,16,1,10012,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
17,17,2,20003,18020000010; 18010000013; 18010000031; 18020000003; 18020000002; 18020000008; 18020000009; 18020000006; 18020000001; 18020000004; 18020000005; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000010; 18020000011; 18070000033; 18030000005; 18010000042; 18020000012; 18030000006; 18010000044,,None
18,18,2,20003,,,None
19,19,2,20003,18030000006,,None
20,20,2,20003,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
21,21,2,20004,18020000010; 18010000013; 18010000031; 18020000003; 18020000002; 18020000008; 18020000009; 18020000006; 18020000001; 18020000004; 18020000005; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000010; 18020000011; 18070000033; 18030000005; 18010000042; 18020000012; 18030000006; 18010000044,,None
22,22,2,20004,,,None
23,23,2,20004,18030000006,,None
24,24,2,20004,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
25,25,2,20005,18020000010; 18010000013; 18010000031; 18020000003; 18020000002; 18020000008; 18020000009; 18020000006; 18020000001; 18020000004; 18020000005; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000010; 18020000011; 18070000033; 18030000005; 18010000042; 18020000012; 18030000006; 18010000044,,None
26,26,2,20005,,,None
27,27,2,20005,18030000006,,None
28,28,2,20005,18100000002; 18100000008; 18100000009; 18100000010; 18100000012; 18100000014; 18100000015; 18100000017; 18100000020; 18100000025; 18100000021; 18100000022; 18100000023; 18100000024; 18100000019; 18100000026,,None
29,29,3,30008,18010000015; 18010000010; 18010000012; 18010000016; 18050000005; 18010000021; 18010000023; 18040000002; 18040000001; 18040000003; 18030000002; 18030000001; 18030000004; 18070000005; 18070000003; 18070000004; 18070000006; 18070000010; 18070000002; 18010000014; 18010000031; 18040000004; 18070000033; 18030000005; 18010000008; 18010000018; 18010000043,,None
30,30,3,30008,18030000006,,None
31,31,3,30008,,,None
32,32,3,30008,18030000006,,None
33,33,3,30008,,,None
