RowName,Key,ID,PresetTitle,Position,ItemId,ItemQuality,ItemNum,RowDescription
1,1,1,,111,10010001471,0,1,None
2,2,1,,105,11050001003,1,1,None
3,3,1,,107,11070002003,2,1,None
4,4,1,,108,11080002003,2,1,None
5,5,1,,107001,14020000002,0,2,None
6,6,2,,111,10010001419,0,1,None
7,7,2,,101,11010002004,2,1,None
8,8,2,,105,11050003004,3,1,None
9,9,2,,107,11070003004,3,1,None
10,10,2,,108,11080003004,3,1,None
11,11,2,,107001,14020000002,0,3,None
12,12,2,,107001,14030000001,0,2,None
13,13,2,,108001,14060000008,0,1,None
14,14,3,,111,10010001422,0,1,None
15,15,3,,101,11010003003,3,1,None
16,16,3,,105,11050004003,4,1,None
17,17,3,,107,11070004003,4,1,None
18,18,3,,108,11080004003,4,1,None
19,19,3,,107001,14020000004,0,2,None
20,20,3,,107001,14030000002,0,2,None
21,21,3,,107001,14040000001,0,2,None
22,22,3,,107001,14050000001,0,1,None
23,23,3,,108001,14060000006,0,1,None
