RowName,BagIncrementY,AddBuffs,ItemID,GainEquipPosLength,GainEquipPosWidth,TotalCapacity,ComplexSpaceDescription,RowDescription
11080001001,1,,11080001001,3,2,6,"(2,3)(0,0)",None
11080001002,1,,11080001002,4,2,8,"(2,4)(0,0)",None
11080002001,2,,11080002001,4,3,12,"(3,4)(0,0)",None
11080003001,3,"(BuffId=901001, AttributeOperateIDs=)",11080003001,4,4,16,"(4,3)(0,1)|(2,1)(-2,-3)|(2,1)(2,-3)",None
11080004001,4,,11080004001,4,6,24,"(4,4)(0,-2)|(2,2)(2,4)|(2,2)(-2,4)",None
11080005001,5,"(BuffId=901002, AttributeOperateIDs=)",11080005001,4,7,28,"(4,5)(0,-3)|(2,1)(-2,3)|(2,1)(2,3)|(2,1)(-2,5)|(2,1)(2,5)",None
11080001003,1,,11080001003,5,2,10,"(2,5)(0,0)",None
11080002002,2,,11080002002,5,3,15,"(3,5)(0,0)",None
11080003002,3,"(BuffId=901001, AttributeOperateIDs=)",11080003002,3,6,18,"(3,6)(0,0)",None
11080004002,4,"(BuffId=901002, AttributeOperateIDs=)",11080004002,5,5,24,"(4,5)(0,0)|(2,1)(-2,6)|(2,1)(2,6)",None
11080005002,5,"(BuffId=901002, AttributeOperateIDs=)",11080005002,4,7,28,"(4,4)(0,3)|(2,3)(0,-4)|(1,3)(3,-4)|(1,3)(-3,-4)",None
11080006002,6,"(BuffId=901002, AttributeOperateIDs=)",11080006002,5,8,40,"(5,6)(0,2)|(3,2)(0,-6)|(1,2)(4,-6)|(1,2)(-4,-6)",None
11080001004,1,,11080001004,4,3,12,"(4,3)(0,0)",None
11080002003,2,,11080002003,3,5,15,"(3,5)(0,0)",None
11080003003,3,,11080003003,4,5,20,"(4,3)(0,2)|(2,2)(2,-3)|(2,2)(-2,-3)",None
11080004003,4,"(BuffId=901001, AttributeOperateIDs=)",11080004003,4,6,24,"(4,6)(0,0)",None
11080005003,5,"(BuffId=901001, AttributeOperateIDs=)",11080005003,4,7,28,"(4,7)(0,0)",None
11080006003,6,"(BuffId=901001, AttributeOperateIDs=)",11080006003,5,7,35,"(5,7)(0,0)",None
11080001005,1,,11080001005,5,2,10,"(5,2)(0,0)",None
11080002004,2,,11080002004,5,3,15,"(5,3)(0,0)",None
11080003004,3,,11080003004,5,4,20,"(5,4)(0,0)",None
11080004004,0,"(BuffId=901001, AttributeOperateIDs=)",11080004004,5,5,25,"(5,5)(0,0)",None
11080005004,0,"(BuffId=901001, AttributeOperateIDs=)",11080005004,5,6,30,"(5,6)(0,0)",None
11080006004,0,"(BuffId=901001, AttributeOperateIDs=)",11080006004,5,9,45,"(5,9)(0,0)",None
11080003005,0,,11080003005,3,7,21,"(3,7)(0,0)",None
11080004005,0,,11080004005,4,7,28,"(2,2)(2,1)|(2,2)(-2,1)|(2,2)(2,5)|(2,2)(-2,5)|(2,3)(2,-4)|(2,3)(-2,-4)",None
11080009001,0,,11080009001,3,3,1,,None
11080004006,0,,11080004006,4,7,28,"(2,2)(2,1)|(2,2)(-2,1)|(2,2)(2,5)|(2,2)(-2,5)|(2,3)(2,-4)|(2,3)(-2,-4)",None
