RowName,ConcentratedFireId,CheckInterval,CheckDelay,DisableCheckProgress,AttackerBehaviorScoreMultiplier,DefenderBehaviorScoreMultiplier,AttackerUnitTimeScoreMultiplierWhenActivated,DefenderUnitTimeScoreMultiplierWhenActivated,AttackerBalanceScoreForTriggerDetection,DefenderBalanceScoreForTriggerDetection,AttackerBalanceScoreForCompleteCommand,DefenderBalanceScoreForCompleteCommand,AttackerCommandTime,DefenderCommandTime,AttackerDoneCommanderScoreMultiplier,DefenderDoneCommanderScoreMultiplier,AttackerDoneCampScoreMultiplier,DefenderDoneCampScoreMultiplier,RowDescription
test,Gym_Breakthrough_S1,5,10,0.75,2,2,0.03,0.03,75,-76,0,0,-1,-1,1,1,1,1,None
攀升PC攻防S1,攀升PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
攀升PC攻防S2,攀升PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
攀升PC攻防S3,攀升PC攻防S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
攀升PC攻防S4,攀升PC攻防S4,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
烬区PC攻防S1,烬区PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
烬区PC攻防S2,烬区PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-90,-200,-25,-1,-1,1,1,1,1,None
烬区PC攻防S3,烬区PC攻防S3,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
临界点PC攻防S1,临界点PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
临界点PC攻防S2,临界点PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-90,-200,-25,-1,-1,1,1,1,1,None
临界点PC攻防S3,临界点PC攻防S3,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
贯穿PC攻防S1,贯穿PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
贯穿PC攻防S2,贯穿PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-90,-200,-25,-1,-1,1,1,1,1,None
贯穿PC攻防S3,贯穿PC攻防S3,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
堑壕战PC攻防S1,堑壕战PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
堑壕战PC攻防S2,堑壕战PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
堑壕战PC攻防S3,堑壕战PC攻防S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
堑壕战PC攻防S4,堑壕战PC攻防S4,60,30,0.6,2,2,0.002,0.002,45,-85,-200,-25,-1,-1,1,1,1,1,None
堑壕战PC攻防S5,堑壕战PC攻防S5,60,30,0.6,2,2,0.002,0.002,65,-76,-200,-25,-1,-1,1,1,1,1,None
NewRow_25,夜战堑壕战PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
NewRow_26,夜战堑壕战PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
NewRow_27,夜战堑壕战PC攻防S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
NewRow_28,夜战堑壕战PC攻防S4,60,30,0.6,2,2,0.002,0.002,45,-85,-200,-25,-1,-1,1,1,1,1,None
NewRow_29,夜战堑壕战PC攻防S5,60,30,0.6,2,2,0.002,0.002,65,-76,-200,-25,-1,-1,1,1,1,1,None
断轨PC攻防S1,断轨PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
断轨PC攻防S2,断轨PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
断轨PC攻防S3,断轨PC攻防S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
断轨PC攻防S4,断轨PC攻防S4,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
刀锋PC攻防S1,刀锋PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
刀锋PC攻防S2,刀锋PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-90,-200,-25,-1,-1,1,1,1,1,None
刀锋PC攻防S3,刀锋PC攻防S3,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
NewRow_48,风暴眼PC攻防S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
NewRow_69,风暴眼PC攻防S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
NewRow_70,风暴眼PC攻防S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
NewRow_71,风暴眼PC攻防S4,60,30,0.6,2,2,0.002,0.002,45,-85,-200,-25,-1,-1,1,1,1,1,None
NewRow_72,风暴眼PC攻防S5,60,30,0.6,2,2,0.002,0.002,65,-76,-200,-25,-1,-1,1,1,1,1,None
1,3S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
NewRow_76,3S2,60,30,0.6,2,2,0.002,0.002,25,-90,-200,-25,-1,-1,1,1,1,1,None
NewRow_77,3S3,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
NewRow_79,4S1,60,30,0.6,2,2,0.002,0.002,0,-200,-200,200,-1,-1,1,1,1,1,None
NewRow_80,4S2,60,30,0.6,2,2,0.002,0.002,25,-95,-200,-25,-1,-1,1,1,1,1,None
NewRow_81,4S3,60,30,0.6,2,2,0.002,0.002,25,-85,-200,-25,-1,-1,1,1,1,1,None
NewRow_82,4S4,60,30,0.6,2,2,0.002,0.002,51,-76,-200,-25,-1,-1,1,1,1,1,None
攀升PC围攻,攀升PC围攻,60,30,0.6,2,2,0.001,0.001,51,-200,-200,200,-1,-1,1,1,1,1,None
