RowName,MapID,ReplaceExpertData,RowDescription
NewRow,553,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_0,554,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_1,555,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_2,556,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_3,557,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_4,558,"(Key=10012, Value=(ExpertID=10012, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=10007, Value=(ExpertID=10007, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0)); (Key=30010, Value=(ExpertID=30010, MainWeaponID=0, SecondaryWeaponID=0, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_5,559,"(Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=18070000004, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_6,560,"(Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=18070000004, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_7,561,"(Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=18070000004, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
NewRow_8,562,"(Key=10010, Value=(ExpertID=10010, MainWeaponID=0, SecondaryWeaponID=18070000004, MeleeWeaponID=18100000002, ArmedForceTDMPropID=0))",None
