RowName,MapID,BattleSectorExtraDataMap,RowDescription
NewRow,-1,"(Key=0, Value=(SerialNumber=-1, AddVoteNum=-1, ForbidHalfJoinVoteNum=-1, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=-1, CommanderSectorTransTime=20))",None
Iceland_Breakthrough_2000Ticket_S1,130,"(Key=10010, Value=(SerialNumber=-1, AddVoteNum=1000, ForbidHalfJoinVoteNum=-1, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=-1, CommanderSectorTransTime=20))",None
NewRow_0,-1,,None
NewRow_1,601,"(Key=10010, Value=(SerialNumber=1, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10011, Value=(SerialNumber=2, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10012, Value=(SerialNumber=3, AddVoteNum=35, ForbidHalfJoinVoteNum=50, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10013, Value=(SerialNumber=4, AddVoteNum=35, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10014, Value=(SerialNumber=5, AddVoteNum=35, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_2,602,"(Key=10020, Value=(SerialNumber=1, AddVoteNum=60, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10021, Value=(SerialNumber=2, AddVoteNum=50, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10022, Value=(SerialNumber=3, AddVoteNum=50, ForbidHalfJoinVoteNum=50, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_3,603,"(Key=10030, Value=(SerialNumber=1, AddVoteNum=60, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10031, Value=(SerialNumber=2, AddVoteNum=50, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10032, Value=(SerialNumber=3, AddVoteNum=50, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_4,605,"(Key=10050, Value=(SerialNumber=1, AddVoteNum=65, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10051, Value=(SerialNumber=2, AddVoteNum=65, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10052, Value=(SerialNumber=3, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10053, Value=(SerialNumber=4, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10054, Value=(SerialNumber=5, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_5,606,"(Key=10060, Value=(SerialNumber=1, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10061, Value=(SerialNumber=2, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10062, Value=(SerialNumber=3, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10063, Value=(SerialNumber=4, AddVoteNum=55, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_6,608,"(Key=10080, Value=(SerialNumber=1, AddVoteNum=65, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10081, Value=(SerialNumber=2, AddVoteNum=65, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10082, Value=(SerialNumber=3, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10083, Value=(SerialNumber=4, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10084, Value=(SerialNumber=5, AddVoteNum=45, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
NewRow_7,611,"(Key=10091, Value=(SerialNumber=1, AddVoteNum=60, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10092, Value=(SerialNumber=2, AddVoteNum=50, ForbidHalfJoinVoteNum=35, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15)); (Key=10093, Value=(SerialNumber=3, AddVoteNum=50, ForbidHalfJoinVoteNum=50, EnableHalfJoin=2, ForbidHalfJoinKillNum=-1, MatchDuration=-1, SectorTransTime=30, CommanderSectorTransTime=15))",None
