RowName,BehaviorScoreName,ScoreName,ScoreNameExt,Category,ScoreBoardCategoryType,ScoreBoardContributionType,TLogCategoryType,bIsVoluntarily,ShowText,ShowTextColor,PlayerNameColor,Score,MedalScore,TournamentScore,Icon,IconColor,Audio,Condition,ScoreBoardType,Notation,IntValue1,IntValue2,IntValue3,FloatValue1,FloatValue2,FloatValue3,ScoreBoardCategoryTypeArray1,AvailableMode,AvailableWeapon,AnimName,WeaponUpgradeMultiplier,AccountUpgradeMultiplier,bCheckAntiBrush,AntiBrushDuration,AntiBrushCount,AntiBrushCD,bIsDifferentCamp,AttackerMultiplier,DefenderMultiplier,AILabType,RowDescription
Combat_Hit,Combat_Hit,EScoreName::EHitPlayerCharacter,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",1,1,1,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家对敌人造成伤害每滴血,EScoreBoardType::ENone,仅敌人，载具有“命中载具”,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,3,None
Combat_Hit_0,Combat_Hit_0,EScoreName::EPositionSupportSkillHit,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",0,0,0,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用阵地支援对敌人造成伤害每滴血；玩家对敌方载具造成伤害每1%,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,3,None
Combat_Kill,Combat_Kill,EScoreName::ENormalKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用枪械未爆头击杀敌人,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,0.6,0.4,9,None
Combat_Kill_Vehicle,Combat_Kill_Vehicle,EScoreName::EVehicle_KillCharacter,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家驾驶载具击杀敌人,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,7,None
Combat_Kill_3,Combat_Kill_3,EScoreName::WeaponKillCharacter,18080000001,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",50,50,50,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,None,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,15,None
Combat_Kill_4,Combat_Kill_4,EScoreName::WeaponKillCharacter,18080000005,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",20,20,20,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,None,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,15,None
Combat_Kill_0,Combat_Kill_0,EScoreName::ESceneWeapon_KillCharacter,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EFortification,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",100,100,100,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,None,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,9,None
Combat_Kill_1,Combat_Kill_1,EScoreName::EPositionSupportSkillKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",0,0,0,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,None,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,9,None
NewRow_4,Combat_Hit_2,EScoreName::ESectorArtilerrateSkillHit,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",2,2,2,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用阵地支援对敌人造成伤害每滴血；玩家对敌方载具造成伤害每1%,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,11,None
NewRow_41,Combat_Hit_1,EScoreName::ESectorArtilerrateSkillKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",200,200,200,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用阵地支援对敌人造成伤害每滴血；玩家对敌方载具造成伤害每1%,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,11,None
NewRow_60,Combat_Hit_3,EScoreName::EGuidedMissleSkillHit,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",2,2,2,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用阵地支援对敌人造成伤害每滴血；玩家对敌方载具造成伤害每1%,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,11,None
NewRow_100,Combat_Hit_4,EScoreName::EGuidedMissleSkillKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ETacticsContrib,EBehaviorScoreTLogCategoryType::ESectorSupport,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",200,200,200,(),"(R=1, G=1, B=1, A=1)",UI_BF_MP_Score_Normal,玩家使用阵地支援对敌人造成伤害每滴血；玩家对敌方载具造成伤害每1%,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,0,1,False,0,0,0,False,1,1,11,None
Combat_Headshotkill,Combat_Headshotkill,EScoreName::EHeadKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",120,120,120,(),"(R=1, G=0.423267, B=0.07036, A=1)",UI_BF_MP_Score_Normal,玩家使用枪械爆头击杀敌人,EScoreBoardType::EKill,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1.25,1,False,0,0,0,False,1,1,8,None
ContinueKill,ContinueKill,EScoreName::EContinueKill,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,连续击杀,EScoreBoardType::ENone,,0,0,0,5,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,11,None
KillEnemyPilot,None,EScoreName::EKillEnemyPilot,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::EBuildAndDestroyContrib,EBehaviorScoreTLogCategoryType::EToVehicle,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",30,30,30,(),"(R=1, G=1, B=1, A=1)",,击杀敌方飞行员,EScoreBoardType::ENone,,0,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,6,None
KillEnemyPilot_0,None,EScoreName::EReboot,None,战斗,EScoreBoardCategoryType::ENone,EScoreBoardContributionType::ENone,EBehaviorScoreTLogCategoryType::EKill,True,,"(R=1, G=1, B=1, A=1)","(R=1, G=1, B=1, A=1)",10,10,10,(),"(R=1, G=1, B=1, A=1)",,在连死三次后杀死敌人。三次死亡后每次死亡将再增加10分,EScoreBoardType::ENone,,3,0,0,0,0,0,,EDFMGamePlayMode::GamePlayMode_Breakthrough; EDFMGamePlayMode::GamePlayMode_Conquest,,None,1,1,False,0,0,0,False,1,1,9,None
