RowName,DamagesReduction,ItemId,ProtectionPart,ArmorLevel,bUseNewArmorLevelConfig,ArmorLevelConfig,ProtectionPartText,BaseProtectionPartText,BitmaskProtectionPart,DisableParts,MaxDurability,DamagedDurabilityRate,MaxArmorValue,DamageMaxArmorValue,DamageArmorLevel,AttributeOperateIDs,BuffOps,DurabilityFormula,DurabilityReductionRepair,RepairPricePerDurability,BaseRepairPrice,RepairDurabilityRatio,RepairArmorRate,DurabilityReductionRepairInGame,RepairRatioInGame,BitmaskExceptionProtectionPart,DurabilityReductionRepairInGameStr,bUseMaxDurabilityCurve,MaxDurabilityCurve,bInRange,RowDescription
11050001001,0,11050001001,light,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,20,1,20,20,1,,,1001,1,55,55,1,1,0.15,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=17, MaxDurabilityPercent=0.85); (TotalRepairedDurability=30.250122, MaxDurabilityPercent=0.6625061); (TotalRepairedDurability=39.14347, MaxDurabilityPercent=0.44466737); (TotalRepairedDurability=43.57267, MaxDurabilityPercent=0.22146003); (TotalRepairedDurability=44.43767, MaxDurabilityPercent=0.043250117); (TotalRepairedDurability=46, MaxDurabilityPercent=0))",True,None
11050001002,0,11050001002,light,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,20,1,20,20,1,,,1001,1,55,55,1,1,0.12,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=20, MaxDurabilityPercent=0.88); (TotalRepairedDurability=32.110893, MaxDurabilityPercent=0.72554475); (TotalRepairedDurability=42.858597, MaxDurabilityPercent=0.53738505); (TotalRepairedDurability=49.417763, MaxDurabilityPercent=0.32795832); (TotalRepairedDurability=52.014004, MaxDurabilityPercent=0.12981202); (TotalRepairedDurability=53, MaxDurabilityPercent=0))",True,None
11050001003,0,11050001003,light,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,25,1,25,25,1,,,1001,2,44,44,1,1,0.09,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=22.75, MaxDurabilityPercent=0.91); (TotalRepairedDurability=42.52069, MaxDurabilityPercent=0.7908277); (TotalRepairedDurability=58.49703, MaxDurabilityPercent=0.63905346); (TotalRepairedDurability=69.928696, MaxDurabilityPercent=0.45726654); (TotalRepairedDurability=76.44668, MaxDurabilityPercent=0.26071942); (TotalRepairedDurability=78.57267, MaxDurabilityPercent=0.08503973); (TotalRepairedDurability=80, MaxDurabilityPercent=0))",True,None
11050001004,0,11050001004,light,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,30,1,30,30,1,,,1001,2,37,37,1,1,0.06,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=28.2, MaxDurabilityPercent=0.94); (TotalRepairedDurability=53.950207, MaxDurabilityPercent=0.8583402); (TotalRepairedDurability=76.44711, MaxDurabilityPercent=0.749897); (TotalRepairedDurability=94.782135, MaxDurabilityPercent=0.61116725); (TotalRepairedDurability=108.09629, MaxDurabilityPercent=0.44380528); (TotalRepairedDurability=115.91427, MaxDurabilityPercent=0.2605991); (TotalRepairedDurability=118.69725, MaxDurabilityPercent=0.09276624); (TotalRepairedDurability=120, MaxDurabilityPercent=0))",True,None
11050002001,0,11050002001,light,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,30,1,30,30,2,,,1001,1,101,101,1,1,0.15,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=25.5, MaxDurabilityPercent=0.85); (TotalRepairedDurability=45.375183, MaxDurabilityPercent=0.6625061); (TotalRepairedDurability=58.715202, MaxDurabilityPercent=0.44466737); (TotalRepairedDurability=65.359, MaxDurabilityPercent=0.22146003); (TotalRepairedDurability=66.65651, MaxDurabilityPercent=0.04325); (TotalRepairedDurability=68, MaxDurabilityPercent=0))",True,None
11050002002,0,11050002002,light,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,35,1,35,35,2,,,1001,2,91,91,1,1,0.12,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=30.8, MaxDurabilityPercent=0.88); (TotalRepairedDurability=56.194065, MaxDurabilityPercent=0.72554475); (TotalRepairedDurability=75.00254, MaxDurabilityPercent=0.53738505); (TotalRepairedDurability=86.48109, MaxDurabilityPercent=0.32795832); (TotalRepairedDurability=91.024506, MaxDurabilityPercent=0.12981202); (TotalRepairedDurability=92, MaxDurabilityPercent=0))",True,None
11050002003,0,11050002003,light,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,40,1,40,40,2,,,1001,2,84,84,1,1,0.09,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=36.4, MaxDurabilityPercent=0.91); (TotalRepairedDurability=68.033104, MaxDurabilityPercent=0.7908277); (TotalRepairedDurability=93.595245, MaxDurabilityPercent=0.63905346); (TotalRepairedDurability=111.88591, MaxDurabilityPercent=0.45726654); (TotalRepairedDurability=122.31468, MaxDurabilityPercent=0.26071942); (TotalRepairedDurability=125.71627, MaxDurabilityPercent=0.08503973); (TotalRepairedDurability=127, MaxDurabilityPercent=0))",True,None
11050002004,0,11050002004,light,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,50,1,50,50,2,,,1001,4,71,71,1,1,0.06,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=47, MaxDurabilityPercent=0.94); (TotalRepairedDurability=89.91701, MaxDurabilityPercent=0.8583402); (TotalRepairedDurability=127.41186, MaxDurabilityPercent=0.749897); (TotalRepairedDurability=157.97023, MaxDurabilityPercent=0.61116725); (TotalRepairedDurability=180.16049, MaxDurabilityPercent=0.44380528); (TotalRepairedDurability=193.19044, MaxDurabilityPercent=0.2605991); (TotalRepairedDurability=197.82875, MaxDurabilityPercent=0.09276624); (TotalRepairedDurability=199, MaxDurabilityPercent=0))",True,None
11050003001,0,11050003001,light,3,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,50,1,50,50,3,,"(BuffId=9010101, AttributeOperateIDs=)",1001,1,156,156,0.6,1,0.05,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=47.5, MaxDurabilityPercent=0.95); (TotalRepairedDurability=91.56687, MaxDurabilityPercent=0.8813374); (TotalRepairedDurability=131.01299, MaxDurabilityPercent=0.7889223); (TotalRepairedDurability=164.4252, MaxDurabilityPercent=0.66824424); (TotalRepairedDurability=190.3175, MaxDurabilityPercent=0.517846); (TotalRepairedDurability=207.51518, MaxDurabilityPercent=0.34395364); (TotalRepairedDurability=215.88185, MaxDurabilityPercent=0.16733341); (TotalRepairedDurability=217.33417, MaxDurabilityPercent=0.056090377); (TotalRepairedDurability=219, MaxDurabilityPercent=0))",True,None
11050003002,0,11050003002,light,3,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,2,EEquipmentPart::Thorax,60,1,60,60,3,,"(BuffId=901001, AttributeOperateIDs=); (BuffId=9010101, AttributeOperateIDs=)",1001,2,138,138,0.7,1,0.04,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=57.6, MaxDurabilityPercent=0.96); (TotalRepairedDurability=111.874825, MaxDurabilityPercent=0.90458035); (TotalRepairedDurability=161.61484, MaxDurabilityPercent=0.8290001); (TotalRepairedDurability=205.31415, MaxDurabilityPercent=0.72832185); (TotalRepairedDurability=241.24911, MaxDurabilityPercent=0.5989161); (TotalRepairedDurability=267.74634, MaxDurabilityPercent=0.44162035); (TotalRepairedDurability=283.77844, MaxDurabilityPercent=0.267202); (TotalRepairedDurability=289.98032, MaxDurabilityPercent=0.17258567); (TotalRepairedDurability=291, MaxDurabilityPercent=0))",True,None
