RowName,OutGameMapID,InGameMapID,RowDescription
1,54,100101,None
2,54,110101,None
3,33,100102,None
4,33,110102,None
5,75,100103,None
6,75,110103,None
7,113,100104,None
8,113,110104,None
9,107,100105,None
10,107,110105,None
11,111,100106,None
12,111,110106,None
13,121,100107,None
14,121,110107,None
15,302,100108,None
16,302,110108,None
17,138,110111,None
18,801,100113,None
19,801,110113,None
20,116,100201,None
21,116,110201,None
22,118,100202,None
23,118,110202,None
24,0,100203,None
25,0,110203,None
26,0,100204,None
27,0,110204,None
28,0,100205,None
29,0,110205,None
30,0,100206,None
31,0,110206,None
32,0,100207,None
33,0,110207,None
34,805,100213,None
35,805,110213,None
36,103,200101,None
37,103,210101,None
38,34,200102,None
39,34,210102,None
40,210,200103,None
41,210,210103,None
42,114,200104,None
43,114,210104,None
44,108,200105,None
45,108,210105,None
46,112,200106,None
47,112,210106,None
48,122,200107,None
49,122,210107,None
50,802,200113,None
51,802,210113,None
52,139,210111,None
53,105,200201,None
54,105,210201,None
55,109,200202,None
56,109,210202,None
57,213,200203,None
58,213,210203,None
59,0,200204,None
60,0,210204,None
61,0,200205,None
62,0,210205,None
63,0,200206,None
64,0,210206,None
65,123,200207,None
66,123,210207,None
67,804,200213,None
68,804,210213,None
69,403,200305,None
70,403,210305,None
71,402,200302,None
72,402,210302,None
73,401,200301,None
74,401,210301,None
75,803,200306,None
76,803,210306,None
77,401,110112,None
78,401,100212,None
79,33,100114,None
80,33,110114,None
81,34,200114,None
82,34,210114,None
83,118,100214,None
84,118,110214,None
85,109,200214,None
86,109,210214,None
87,612,110109,None
88,615,110116,None
