RowName,MapIDs,StartGroupName,StepOneEdges,StepTwoProbability,StepTwoEdges,StepThreeProbability,StepThreeEdges,StepFourProbability,StepFourEdges
链路_GroupA_Low,8901; 89,GroupA,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.7); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.3)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.3)",0.98,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.35)",0,
链路_GroupB_Low,8901; 89,GroupB,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.7); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.3)",0.98,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.3)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0)",0,
链路_GroupC_Low,8901; 89,GroupC,"(SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.25)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.9); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.9); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.1)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0)",0,
链路_GroupD_Low,8901; 89,GroupD,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5)",0.98,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.05); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.05); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.1)",0.98,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.55); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.1)",0,
链路_GroupE_Low,8901; 89,GroupE,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5)",0.98,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.05); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.05); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.1)",0.98,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.55); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.4); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.1)",0,
链路_GroupA_High,8902,GroupA,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.5)",0.99,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.05); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.05); (SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.3)",0.99,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.35)",0,
链路_GroupB_High,8902,GroupB,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.5)",0.99,"(SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupB, DstRoomGroup=GroupE, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.05); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.05); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.3)",0.99,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.4); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupA, DstRoomGroup=GroupD, Weight=0.35); (SrcRoomGroup=GroupA, DstRoomGroup=GroupE, Weight=0.35)",0,
链路_GroupC_High,8901; 89,GroupC,"(SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupD, Weight=0.25); (SrcRoomGroup=GroupC, DstRoomGroup=GroupE, Weight=0.25)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.9); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.9); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.9); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.1)",0.98,"(SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=1); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0)",0,
链路_GroupD_High,8902,GroupD,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.5)",0.99,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.1); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.05); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.05); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.3)",0.99,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.35); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.4); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.5); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.35); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.35)",0,
链路_GroupE_High,8902,GroupE,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupE, Weight=0.5)",0.99,"(SrcRoomGroup=GroupE, DstRoomGroup=GroupD, Weight=0.1); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupE, Weight=0.05); (SrcRoomGroup=GroupD, DstRoomGroup=GroupD, Weight=0.05); (SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.3)",0.99,"(SrcRoomGroup=GroupD, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupD, DstRoomGroup=GroupA, Weight=0.35); (SrcRoomGroup=GroupD, DstRoomGroup=GroupB, Weight=0.35); (SrcRoomGroup=GroupC, DstRoomGroup=GroupC, Weight=0.2); (SrcRoomGroup=GroupC, DstRoomGroup=GroupA, Weight=0.4); (SrcRoomGroup=GroupC, DstRoomGroup=GroupB, Weight=0.4); (SrcRoomGroup=GroupA, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupA, DstRoomGroup=GroupB, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupA, Weight=0.5); (SrcRoomGroup=GroupB, DstRoomGroup=GroupB, Weight=0.5); (SrcRoomGroup=GroupE, DstRoomGroup=GroupC, Weight=0.3); (SrcRoomGroup=GroupE, DstRoomGroup=GroupA, Weight=0.35); (SrcRoomGroup=GroupE, DstRoomGroup=GroupB, Weight=0.35)",0,
