RowName,MapIDs,CurrentStepIndex,CurrentRank,NextStepRanks
NewRow_2,8901; 89,0,0,"(Key=1, Value=0.91); (Key=2, Value=0.07); (Key=3, Value=0.02)"
NewRow,8901; 89,1,1,"(Key=2, Value=0.93); (Key=3, Value=0.05); (Key=4, Value=0.02)"
NewRow_0,8901; 89,1,2,"(Key=3, Value=0.9); (Key=4, Value=0.1)"
NewRow_1,8901; 89,1,3,"(Key=4, Value=1)"
NewRow_3,8901; 89,2,2,"(Key=3, Value=0.9); (Key=4, Value=0.1)"
NewRow_4,8901; 89,2,3,"(Key=4, Value=1)"
NewRow_5,8901; 89,2,4,"(Key=0, Value=1)"
NewRow_8,8901; 89,3,3,"(Key=4, Value=1)"
NewRow_12,8901; 89,3,4,"(Key=0, Value=1)"
NewRow_6,8902; 89,0,0,"(Key=1, Value=0.91); (Key=2, Value=0.07); (Key=3, Value=0.02)"
NewRow_7,8902; 89,1,1,"(Key=2, Value=0.93); (Key=3, Value=0.05); (Key=4, Value=0.02)"
NewRow_9,8902; 89,1,2,"(Key=3, Value=0.9); (Key=4, Value=0.1)"
NewRow_10,8902; 89,1,3,"(Key=4, Value=1)"
NewRow_11,8902; 89,2,2,"(Key=3, Value=0.9); (Key=4, Value=0.1)"
NewRow_13,8902; 89,2,3,"(Key=4, Value=1)"
NewRow_14,8902; 89,2,4,"(Key=0, Value=1)"
NewRow_15,8902; 89,3,3,"(Key=4, Value=1)"
NewRow_16,8902; 89,3,4,"(Key=0, Value=1)"
