RowName,State,Priority,ColliisonProfile,ObjectType,CollisionEnabled,ResponseToChannels,NeedActivate,RowDescription
Sol_DefaultSpawn,ECollisionState::Sol_DefaultSpawn,0,CharacterCapsule,ECC_Pawn,ECollisionEnabled::NoCollision,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Block, Visibility=ECR_Block, Camera=ECR_Block, PhysicsBody=ECR_Block, Vehicle=ECR_Block, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Block, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Block, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Block, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Block, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Block, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Ignore)",False,None
Sol_MatchOver,ECollisionState::Sol_MatchOver,1000,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Ignore, Visibility=ECR_Ignore, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Ignore, Destructible=ECR_Ignore, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Ignore, EngineTraceChannel3=ECR_Ignore, EngineTraceChannel4=ECR_Ignore, EngineTraceChannel5=ECR_Ignore, EngineTraceChannel6=ECR_Ignore, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Ignore, GameTraceChannel5=ECR_Ignore, GameTraceChannel6=ECR_Ignore, GameTraceChannel7=ECR_Ignore, GameTraceChannel8=ECR_Ignore, GameTraceChannel9=ECR_Ignore, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Ignore, GameTraceChannel12=ECR_Ignore, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Ignore, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Ignore, GameTraceChannel17=ECR_Ignore, GameTraceChannel18=ECR_Ignore)",False,None
Sol_ImPendingDeath,ECollisionState::Sol_ImpendingDeath,600,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Block, Visibility=ECR_Block, Camera=ECR_Block, PhysicsBody=ECR_Block, Vehicle=ECR_Block, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Overlap, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Overlap, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Block, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Overlap)",False,None
Sol_Dying,ECollisionState::Sol_Dying,800,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Ignore, Visibility=ECR_Ignore, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Ignore, Destructible=ECR_Ignore, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Ignore, EngineTraceChannel3=ECR_Ignore, EngineTraceChannel4=ECR_Ignore, EngineTraceChannel5=ECR_Ignore, EngineTraceChannel6=ECR_Ignore, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Ignore, GameTraceChannel5=ECR_Ignore, GameTraceChannel6=ECR_Ignore, GameTraceChannel7=ECR_Ignore, GameTraceChannel8=ECR_Ignore, GameTraceChannel9=ECR_Ignore, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Ignore, GameTraceChannel12=ECR_Ignore, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Ignore, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Ignore, GameTraceChannel17=ECR_Ignore, GameTraceChannel18=ECR_Ignore)",False,None
Sol_BeCarryBody,ECollisionState::Sol_CarryBody,700,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Overlap, Pawn=ECR_Ignore, Visibility=ECR_Block, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Block, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Block, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Overlap)",False,None
Breakthrough_DefaultSpawn,ECollisionState::Breakthrough_DefaultSpawn,0,CharacterCapsule,ECC_Pawn,ECollisionEnabled::NoCollision,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Block, Visibility=ECR_Block, Camera=ECR_Block, PhysicsBody=ECR_Block, Vehicle=ECR_Block, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Block, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Block, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Block, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Block, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Block, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Ignore)",False,None
Breakthrough_MatchOver,ECollisionState::Breakthrough_MatchOver,1000,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Ignore, Visibility=ECR_Ignore, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Ignore, Destructible=ECR_Ignore, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Ignore, EngineTraceChannel3=ECR_Ignore, EngineTraceChannel4=ECR_Ignore, EngineTraceChannel5=ECR_Ignore, EngineTraceChannel6=ECR_Ignore, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Ignore, GameTraceChannel5=ECR_Ignore, GameTraceChannel6=ECR_Ignore, GameTraceChannel7=ECR_Ignore, GameTraceChannel8=ECR_Ignore, GameTraceChannel9=ECR_Ignore, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Ignore, GameTraceChannel12=ECR_Ignore, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Ignore, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Ignore, GameTraceChannel17=ECR_Ignore, GameTraceChannel18=ECR_Ignore)",False,None
Breakthrough_ImPendingDeath,ECollisionState::Breakthrough_ImpendingDeath,600,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Ignore, Visibility=ECR_Block, Camera=ECR_Block, PhysicsBody=ECR_Block, Vehicle=ECR_Ignore, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Overlap, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Overlap, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Block, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Overlap)",False,None
Breakthrough_Dying,ECollisionState::Breakthrough_Dying,800,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Block, Pawn=ECR_Ignore, Visibility=ECR_Ignore, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Ignore, Destructible=ECR_Ignore, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Ignore, EngineTraceChannel3=ECR_Ignore, EngineTraceChannel4=ECR_Ignore, EngineTraceChannel5=ECR_Ignore, EngineTraceChannel6=ECR_Ignore, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Ignore, GameTraceChannel4=ECR_Ignore, GameTraceChannel5=ECR_Ignore, GameTraceChannel6=ECR_Ignore, GameTraceChannel7=ECR_Ignore, GameTraceChannel8=ECR_Ignore, GameTraceChannel9=ECR_Ignore, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Ignore, GameTraceChannel12=ECR_Ignore, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Ignore, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Ignore, GameTraceChannel17=ECR_Ignore, GameTraceChannel18=ECR_Ignore)",False,None
Breakthrough_BeCarryBody,ECollisionState::Breakthrough_CarryBody,700,None,ECC_Pawn,ECollisionEnabled::QueryOnly,"(WorldStatic=ECR_Block, WorldDynamic=ECR_Overlap, Pawn=ECR_Ignore, Visibility=ECR_Block, Camera=ECR_Ignore, PhysicsBody=ECR_Ignore, Vehicle=ECR_Block, Destructible=ECR_Block, EngineTraceChannel1=ECR_Ignore, EngineTraceChannel2=ECR_Block, EngineTraceChannel3=ECR_Block, EngineTraceChannel4=ECR_Block, EngineTraceChannel5=ECR_Block, EngineTraceChannel6=ECR_Block, GameTraceChannel1=ECR_Ignore, GameTraceChannel2=ECR_Ignore, GameTraceChannel3=ECR_Block, GameTraceChannel4=ECR_Overlap, GameTraceChannel5=ECR_Block, GameTraceChannel6=ECR_Block, GameTraceChannel7=ECR_Block, GameTraceChannel8=ECR_Block, GameTraceChannel9=ECR_Block, GameTraceChannel10=ECR_Ignore, GameTraceChannel11=ECR_Block, GameTraceChannel12=ECR_Block, GameTraceChannel13=ECR_Ignore, GameTraceChannel14=ECR_Block, GameTraceChannel15=ECR_Ignore, GameTraceChannel16=ECR_Block, GameTraceChannel17=ECR_Block, GameTraceChannel18=ECR_Overlap)",False,None
