RowName,FashionList,bUseDefaultWeapons,bUseDefaultItems,DefaultItems,DefaultSkins,ArchiveItemID,RowDescription
SOL_V2_Test,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000012,,None,None
SOL_V2,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000012,,None,None
MGS,18000000001; 18000000008; 18000000009; 18000000006,False,True,10030000001; 11050005003; 11080004005,,None,None
TKV_Normal,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
TKV_Assult,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
TKV_Prudent,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
StealthAI,18000000001; 18000000006; 18000000008,False,True,11010005002; 11050006001; 11080009001; 10010000009,,None,None
StealthAI_1,18000000009,False,True,11010006001; 11050004004; 11080004001; 10010000007,,None,None
StealthAI_2,18000000008,False,True,10020000006,,None,None
StealthAI_3,18000000006,False,True,11080006002; 10010000038,,None,None
SOL-StealthAI_4,18000000001,False,True,11080009001; 10030000005,,None,None
StealthAI_5,18000000006,False,True,11080009001; 10010000038,,None,None
MGS_DarkTide_Normal,18000000006; 18000000010,False,False,10010000002,,None,None
MGS_Hudson,18000000008; 18000000009,False,False,10010000002,,None,None
MGS_DarkTide_Easy,18000000010; 18000000006,False,False,10010000002,,None,None
MGS_Hudson_Paratrooper,18000000008; 18000000009,False,False,10010000002,,None,None
Shield_Test,18000000001; 18000000008; 18000000009; 18000000006,False,True,10070000002,,None,None
MGS_Test,18000000001; 18000000008; 18000000009; 18000000006,False,True,10010000012,,None,None
MGS_T1_Test,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
MGS_T2_Test,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
MGS_T3_Test,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
TKV_Prudent_T2,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
TKV_Prudent_T3,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
TKV_Prudent_T1,18000000001; 18000000008; 18000000009; 18000000006,False,False,10010000002,,None,None
StatueTestAI,18000000001,False,False,10010000012,,None,None
Snip_Normal,18000000006,False,True,10060000009; 11050005006; 11070005006; 11080004002,,None,None
DT_Psycho_01,18000000011,False,True,10020000001,,None,None
DT_Assaulter_01,1000140,False,True,,,None,None
DT_Charger_01,1000136,False,True,10030000001,,None,None
DT_Sniper_01,18000000006,False,True,10060000009; 11050005006; 11070005006; 11080004002,,None,None
DT_RPGer_01,18000000010,False,True,10080000007; 11080009001; 11070004002; 11010004003,,None,None
DT_FireFlamer_01,18000000006,False,True,10010000002,,None,None
DT_Shield_01,18000000006,False,True,10010000002; 11050004004; 11010002006,,None,None
HS_Security_01,1000141,False,True,10020000004,,None,None
HS_Security_02,18000000009,False,True,10010000087; 11070005005,,None,None
HS_Security_03,18000000009,False,True,10010000087; 11070005002,,None,None
HS_Security_04,18000000008,False,True,10010000087; 11050004005; 10020000004,,None,None
HS_Security_05,18000000008,False,True,10010000087; 11070004003,,None,None
HS_Assaulter_01,1000138,False,True,10010000087,,None,None
HS_Assaulter_02,18000000008,False,True,10010000087; 11070006004; 11010004005,,None,None
HS_Assaulter_03,18000000008,False,True,10010000087; 11080004005; 11050005003; 11010005003,,None,None
HS_Charger_01,1000137,False,True,10030000001,,None,None
HS_Charger_02,18000000008,False,True,11050005004; 11010005005; 11070006004; 10030000005 ,,None,None
HS_Sniper_01,18000000009,False,True,11080004005; 11050005005; 10060000009,,None,None
HS_Paratrooper_01,18000000008,False,True,10010000087; 11070004003; 11080006004; 11010006004,,None,None
HS_Paratrooper_02,1000139,False,True,10010000012,,None,None
HS_Shield_01,18000000008,False,True,10010000002; 11050006004; 11010006004,,None,None
HS_FireFlamer_01,1000135,False,True,,,None,None
Raid1_DT_Psycho_01,18000000011,True,True,10020000001,,None,None
Raid1_DT_Charger_01,18000000010,True,True,10030000001; 11010005006; 11050005006; 11070004002; 11080005006,,None,None
Raid1_DT_Sniper_01,18000000006,True,True,10060000009; 11050005006; 11070005006; 11080004002,,None,None
Raid1_DT_Firebat_01,1000140,True,False,,,None,None
Raid1_DT_Psycho_01_Overkill,18000000011,True,True,10020000001,,None,None
Raid1_DT_Charger_01_Overkill,18000000010,True,True,10030000001; 11010005006; 11050005006; 11070004002; 11080005006,,None,None
Raid1_DT_Shield_01_Overkill,18000000006,True,True,10070000002; 11050004004; 11010002006,,None,None
Raid1_HS_Assaulter_01,18000000008,True,True,10010000087; 11050006004; 11010004005,,None,None
Raid1_HS_Charger_01,18000000008,True,True,11050002006; 11070004003; 11010005004; 10030000001,,None,None
