RowName,SkillItemMeshId,FPP,TPP,UI,OverrideUI,RowDescription
38110060001,38110060001,"(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)",None
38110060002,38110060002,"(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)",None
38110060006,38110060006,"(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)",None
38110040022,38110040022,"(MeshPath=(), Materials=(SlotName=Material__61, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Material__61, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Material__61, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110040023,38110040023,"(MeshPath=(), Materials=(SlotName=M83, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=M83, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=M83, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110040024,38110040024,"(MeshPath=(), Materials=(SlotName=02 - Default, MetarialPath=()); (SlotName=22 - Default1, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Assault_MT, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Assault_C301_ Exoskeleton01_01, MetarialPath=()); (SlotName=Assault_C301_ Exoskeleton01_02, MetarialPath=()); (SlotName=Assault_C301_ Exoskeleton01_03, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110050006,38110050006,"(MeshPath=(), Materials=(SlotName=20 - Default, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_UAV01, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_UAV01, MetarialPath=()); (SlotName=Engineering_C401_UAV03, MetarialPath=()); (SlotName=Engineering_C401_UAV02, MetarialPath=()); (SlotName=glass, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110050007,38110050007,"(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)",None
38110050008,38110050008,"(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110040016,38110040016,"(MeshPath=(), Materials=(SlotName=20 - Default, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_UAV01, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_UAV01, MetarialPath=()); (SlotName=Engineering_C401_UAV02, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110040017,38110040017,"(MeshPath=(), Materials=(SlotName=Engineering_C401_SonicTraps01, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_SonicTraps01, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Engineering_C401_SonicTraps01, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110040018,38110040018,"(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Thr_Grenade_M67_001_M, MetarialPath=()))","(MeshPath=(), Materials=)",None
38110050016,38110050016,"(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)","(MeshPath=(), Materials=)",None
38110050002,38110050002,"(MeshPath=(), Materials=(SlotName=Assault_C302_C4, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Assault_C302_C4, MetarialPath=()))","(MeshPath=(), Materials=(SlotName=Assault_C302_C4, MetarialPath=()))","(MeshPath=(), Materials=)",None
