RowName,BagIncrementY,AddBuffs,ItemID,GainEquipPosLength,GainEquipPosWidth,TotalCapacity,ComplexSpaceDescription,RowDescription
11070001001,1,,11070001001,4,2,6,"(1,1)(0,1)|(1,1)(0,-1)|(1,1)(-2,1)|(1,1)(-2,-1)|(1,1)(2,1)|(1,1)(2,-1)",None
11070001002,1,,11070001002,3,3,6,"(1,1)(0,1)|(1,1)(0,-1)|(1,1)(-2,1)|(1,1)(-2,-1)|(1,1)(2,1)|(1,1)(2,-1)",None
11070001003,1,,11070001003,4,3,6,"(1,2)(0,0)|(1,1)(-2,1)|(1,1)(-2,-1)|(1,1)(2,1)|(1,1)(2,-1)",None
11070001004,1,,11070001004,3,4,6,"(1,1)(0,1)|(1,1)(0,-1)|(1,2)(-2,0)|(1,1)(2,1)|(1,1)(2,-1)",None
11070002001,2,,11070002001,4,4,8,"(1,2)(0,-1)|(1,1)(-2,0)|(1,1)(2,0)|(1,1)(-2,2)|(1,1)(2,2)|(1,1)(-2,-2)|(1,1)(2,-2)",None
11070002002,2,,11070002002,5,3,8,"(1,2)(1,1)|(1,2)(-1,1)|(1,1)(-1,-2)|(1,1)(1,-2)|(1,1)(-3,2)|(1,1)(3,2)",None
11070002003,2,,11070002003,4,5,8,"(1,2)(-1,0)|(1,2)(1,0)|(1,2)(3,0)|(1,1)(-3,1)|(1,1)(-3,-1)",None
11070002004,2,,11070002004,3,6,9,"(1,2)(0,0)|(1,2)(-2,0)|(1,2)(2,0)|(2,1)(1,3)|(1,1)(-2,3)",None
11070003001,3,,11070003001,4,6,10,"(1,2)(-1,-1)|(1,2)(1,-1)|(2,1)(0,2)|(1,1)(-3,0)|(1,1)(3,0)|(1,1)(-3,-2)|(1,1)(3,-2)",None
11070003002,3,,11070003002,5,5,12,"(1,2)(1,-1)|(1,2)(-1,-1)|(2,1)(0,2)|(1,2)(3,-1)|(1,1)(-3,0)|(1,1)(-3,-2)|(1,1)(3,2)|(1,1)(-3,2)",None
11070003003,3,,11070003003,4,7,12,"(1,2)(-1,1)|(1,2)(1,1)|(2,1)(-2,-2)|(2,1)(2,-2)|(1,2)(-3,1)|(1,2)(3,1)",None
11070003004,3,,11070003004,5,6,13,"(1,2)(0,1)|(3,1)(0,-2)|(1,2)(2,1)|(1,2)(-2,1)|(1,2)(4,-1)|(1,2)(-4,-1)",None
11070004001,4,"(BuffId=9010101, AttributeOperateIDs=)",11070004001,5,6,14,"(1,2)(0,-1)|(1,2)(-2,-1)|(1,2)(-4,-1)|(1,1)(-2,2)|(1,1)(-4,2)|(1,3)(2,0)|(1,3)(4,0)",None
11070004002,4,"(BuffId=901001, AttributeOperateIDs=)",11070004002,5,6,16,"(2,1)(0,0)|(2,2)(0,3)|(1,2)(-1,-3)|(1,2)(1,-3)|(1,3)(3,-2)|(1,3)(-3,-2)",None
11070004003,4,,11070004003,5,7,16,"(1,3)(0,2)|(1,3)(2,2)|(1,3)(-2,2)|(2,2)(2,-3)|(2,2)(-2,-3)",None
11070004004,4,,11070004004,5,7,18,"(1,3)(1,2)|(1,3)(-1,2)|(1,3)(3,2)|(1,3)(-3,2)|(2,2)(2,-3)|(2,2)(-2,-3)",None
11070005001,5,"(BuffId=9010102, AttributeOperateIDs=)",11070005001,0,0,20,"(1,3)(1,1)|(1,3)(-1,1)|(1,2)(3,2)|(1,2)(-3,2)|(2,2)(0,-4)|(1,3)(3,-3)|(1,3)(-3,-3)|(1,1)(3,5)|(1,1)(-3,5)",None
11070005002,5,"(BuffId=901001, AttributeOperateIDs=); (BuffId=9010103, AttributeOperateIDs=)",11070005002,0,0,22,"(1,2)(1,0)|(1,2)(-1,0)|(1,2)(1,4)|(1,2)(-1,4)|(1,3)(3,1)|(1,3)(-3,1)|(2,2)(2,-4)|(2,2)(-2,-4)",None
11070005003,5,"(BuffId=901001, AttributeOperateIDs=); (BuffId=9010103, AttributeOperateIDs=)",11070005003,0,0,22,"(2,2)(0,2)|(2,3)(0,-3)|(1,3)(3,1)|(1,3)(-3,1)|(1,2)(3,-4)|(1,2)(-3,-4)|(2,1)(0,5)",None
11070005004,5,"(BuffId=901001, AttributeOperateIDs=); (BuffId=9010105, AttributeOperateIDs=)",11070005004,0,0,24,"(1,3)(-1,3)|(2,3)(2,3)|(1,3)(-3,3)|(2,2)(-2,-2)|(2,2)(2,-2)|(2,1)(2,-5)|(2,1)(-2,-5)",None
11070008001,0,,11070008001,0,0,0,"(1,2)(1,2)|(1,2)(-1,2)|(1,1)(3,1)|(1,1)(3,-1)|(1,1)(3,3)|(1,1)(-3,1)|(1,1)(-3,-1)|(1,1)(-3,3)",None
11070005010,0,,11070005010,0,0,1,三角洲一级,None
11070004005,4,,11070004005,5,7,18,"(1,3)(1,2)|(1,3)(-1,2)|(1,3)(3,2)|(1,3)(-3,2)|(2,2)(2,-3)|(2,2)(-2,-3)",None
