RowName,Key,CheckMainType,CheckSubType,Switch,CheckValue,MatchModeIDList,AbnormalDesc,RowDescription
1,1,1,1,True,180,,,None
2,2,1,2,True,180,,,None
3,3,1,3,True,30,,,None
4,4,1,4,True,180,,,None
5,5,1,5,True,60,,,None
6,6,1,6,True,30,,,None
7,7,1,7,True,60,,,None
8,8,1,8,True,2,,,None
9,9,1,15,True,30,,,None
10,10,5,1,True,-1,,,None
11,11,5,2,True,-1,,,None
12,12,5,3,False,-1,,,None
13,13,5,4,False,-1,,,None
14,14,2,101,True,0.5,,,None
15,15,2,105,True,0.5,,,None
16,16,4,0,True,0.5,,,None
17,17,3,0,True,0,,,None
18,18,9,0,True,-1,,,None
19,19,6,0,True,-1,,,None
20,20,7,7,True,-1,142232163,,None
21,21,8,109,True,-1,,,None
22,22,8,116,True,-1,,,None
23,23,10,0,True,-1,,,None
24,24,11,0,True,-1,,,None
