RowName,MapID,Camp0BattleEieldBalanceData,Camp1BattleEieldBalanceData,ConquestCurve1,ConquestCurve2,ConquestCurve3,RowDescription
RULE!!!!,-1,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=None, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=None, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",None
Iceland_Conquest,103,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Cracked_Conquest,34,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Gibraltar_Conquest,210,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Shafted_Conquest,114,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Retrowar_Conquest,108,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Retrowar_Conquest_Night,802,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Derail_Conquest,112,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
Crest_Conquest,122,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
NewRow_9,303,"(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeed.Camp0OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp0OccupySpeedBySector.Camp0OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(TeamRebornCurve=(AssetPath=None, SubPath=), RebornCDCurve=(AssetPath=None, SubPath=), OcuupySpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeed.Camp1OccupySpeed, SubPath=), OcuupyNumCurve=(AssetPath=None, SubPath=), OcuupyStatusSpeedCurve=(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/Camp1OccupySpeedBySector.Camp1OccupySpeedBySector, SubPath=), FightBackOcuupyStatusSpeedCurve=(AssetPath=None, SubPath=), EncouragementScoreEventScoreFactorCurve=(AssetPath=None, SubPath=))","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/ResourceDiffPercent.ResourceDiffPercent, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/SectorScoreSpeed.SectorScoreSpeed, SubPath=)","(AssetPath=/Game/BluePrints/Breakthrough/Curve/IngameBalanceCurve/Conquest/LeadingCampResources.LeadingCampResources, SubPath=)",None
