RowName,MapID,SubGameMode,WinScore,OccupiedScore,KillBonus,OccupySpeedFactor,MatchDuration,BaseScoreSpeed,LandslidePreTime,LandslideScoreSpeed,EdgeKillTime,JetEdgeKillTime,EmptyVehicleDecreaseHPMinTime,EmptyVehicleDecreaseHPPercent,MinVehicleDecreaseHPDist,bVehicleAutoDestroy,VehicleAutoDestroyTime,bVehicleCanGetOff,bVehicleCanAccommodateOtherMembers,bVehicleCanSwap,bVehicleGetOffTip,bDisableDeploy,bDisableDeployHome,GuideAutoCloseDuration,SectorBackDelayTime,SectorBackSpeed,HalfJoinLimitedPercent,BattleFieldForcesTypeArr,SectorSpeedCurve,bOpenGuide,RedeployGuideInfoList,RedeployGuideInfoListHD,HalfJoinScoreCalculation,BattleFieldCharacterDeathConfigMap,OccupySpeedMultiplier,AmmoBoxCD,MatchAnchorScoreReportInterval,CaptureFlagPickupRefreshFlagCD,Camp0CaptureFlagDataRow,Camp1CaptureFlagDataRow,SuperiorityMinFlagOfAddTime,InferiorMinFlagOfAddTime,AddTimeBaseNumber,AddTimeFactor,bIsAddConvoyFlaScoreForHolder,RowDescription
Iceland_Conquest_2000Ticket,131,EDFMGamePlaySubMode::None,2000,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,True,True,True,True,False,False,-1,-1,-1,-1,,,2,,,"(bShowContainScoreReparation=False, ScorePerMinute=-1, PlayerScoreCurveFloat=(AssetPath=None, SubPath=), AIScoreCurveFloat=(AssetPath=None, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Cracked_Conquest_GodWar,134,EDFMGamePlaySubMode::None,1500,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,True,True,True,True,False,False,-1,-1,-1,-1,,,2,,,"(bShowContainScoreReparation=False, ScorePerMinute=-1, PlayerScoreCurveFloat=(AssetPath=None, SubPath=), AIScoreCurveFloat=(AssetPath=None, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Iceland_ArmoredWar_HD,2857,EDFMGamePlaySubMode::None,3000,100,-1,4,1500,0,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Cracked_ArmoredWar_HD,119,EDFMGamePlaySubMode::None,3000,100,-1,4,1500,0,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Retrowar_ArmoredWar_HD,227,EDFMGamePlaySubMode::None,3000,100,-1,4,1500,0,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
derail_ArmoredWar_HD_0,526,EDFMGamePlaySubMode::None,3000,100,-1,4,1500,0,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
制空权————————————————————————————————,-1,EDFMGamePlaySubMode::None,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,True,True,True,True,False,False,-1,-1,-1,-1,,,2,,,"(bShowContainScoreReparation=False, ScorePerMinute=-1, PlayerScoreCurveFloat=(AssetPath=None, SubPath=), AIScoreCurveFloat=(AssetPath=None, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Iceland_AirCombat_HD,521,EDFMGamePlaySubMode::None,1000,50,1,4,1800,1,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Cracked_AirCombat_HD,524,EDFMGamePlaySubMode::None,1000,40,1,4,1800,1,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
Gibraltar_AirCombat_HD,522,EDFMGamePlaySubMode::None,1000,40,1,4,1800,1,45,10,10,-1,5,5,15,False,-1,True,True,True,True,False,False,5,5,0.05,70,EBattleFieldForcesType::Forces_GTI; EBattleFieldForcesType::Forces_Haavk,(),2,,"(GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::AnchorFirstStartCapture, GuideGroup=EBattleFieldInGameGuideGroup::Anchor, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=0, GuidePopFunctionID=0, GuidePopWindowID=58, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100014, CloseGuideCommonEventLogID=14200014); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::BroadcastConquest, GuideGroup=EBattleFieldInGameGuideGroup::Conquest, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=247, GuidePopFunctionID=0, GuidePopWindowID=57, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100013, CloseGuideCommonEventLogID=14200013); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=0, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010); (GuideType=EBattleFieldInGameGuideType::SkillReadyClickSkillButton, GuideGroup=EBattleFieldInGameGuideGroup::Skill, GuideGroupType=EBattleFieldInGameGuideGroupType::Independent, GuideID=167, GuidePopFunctionID=0, GuidePopWindowID=0, GuideStatus=EBreakthroughRedeployOneGuideStatus::NotStart, Camp=1, CloseGuideList=, ShowGuideCommonEventLogID=14100010, CloseGuideCommonEventLogID=14200010)","(bShowContainScoreReparation=False, ScorePerMinute=120, PlayerScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScorePlayerCC.ExtraScorePlayerCC, SubPath=), AIScoreCurveFloat=(AssetPath=/Game/BluePrints/GameModes/TestGame/Curve/ExtraScoreAI.ExtraScoreAI, SubPath=))",,-1,-1,-1,-1,"(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)","(RefreshFlagCD=-1, DroppedBackTime=-1, CaptureFlagLimitTime=-1, CaptureFlagOccupyAnchorBackFactor=-1)",-1,-1,-1,-1,False,None
