RowName,CurrencyId,CurrencyName,CurrencyDesc,CurrencyType,BindType,ItemId,UnbindCurrencyId,BindCurrencyId,TransactionDesc,ImgPath,RichTxtImgId,StoreBuyItemId,RowDescription
1,1,,,ECurrencyType::Timeless,ECurrencyBindType::BindAndUnbind,17888808888,2,3,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0005.Common_Money_Icon_0005,diamond,0,None
2,2,,,ECurrencyType::Timeless,ECurrencyBindType::Unbind,17888808888,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0005.Common_Money_Icon_0005,diamond,0,None
3,3,,,ECurrencyType::None,ECurrencyBindType::Bind,17888808889,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0009.Common_Money_Icon_0009,binddiamond,0,None
4,4,,,ECurrencyType::Play,ECurrencyBindType::None,17020000010,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0004.Common_Money_Icon_0004',bankNote,0,None
7,7,,,ECurrencyType::Play,ECurrencyBindType::None,17020000012,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0001.Common_Money_Icon_0001',gold,0,None
8,8,,,ECurrencyType::Temporary,ECurrencyBindType::None,17666606666,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0001.Common_Money_Icon_0001',luckcoin,100210007,None
9,9,,,ECurrencyType::Temporary,ECurrencyBindType::None,17666606688,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0001.Common_Money_Icon_0001',secretkey,0,None
10,10,,,ECurrencyType::Temporary,ECurrencyBindType::None,17666608888,0,0,,,,0,None
12,12,,,ECurrencyType::None,ECurrencyBindType::None,35000000005,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0102.Common_Money_Icon_0102' ,milestone1,0,None
13,13,,,ECurrencyType::None,ECurrencyBindType::None,35000000006,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0102.Common_Money_Icon_0102' ,milestone1,0,None
14,14,,,ECurrencyType::None,ECurrencyBindType::None,35000000007,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0102.Common_Money_Icon_0102' ,milestone1,0,None
15,15,,,ECurrencyType::None,ECurrencyBindType::None,35000000009,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0102.Common_Money_Icon_0102' ,recruitMileStone,0,None
16,16,,,ECurrencyType::None,ECurrencyBindType::None,35000000011,0,0,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Activity_Icon_0105.CommonHall_Activity_Icon_0105',AsaraGold,0,None
17,17,,,ECurrencyType::None,ECurrencyBindType::None,35000000010,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0102.Common_Money_Icon_0102' ,HavocInfo,0,None
18,18,,,ECurrencyType::None,ECurrencyBindType::None,17888800001,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0005.Common_Money_Icon_0005,money,0,None
19,19,,,ECurrencyType::Fake,ECurrencyBindType::None,35000000015,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0001.Common_Money_Icon_0001',testingCurrency,0,None
20,20,,,ECurrencyType::Fake,ECurrencyBindType::None,35010000001,0,0,,PaperSprite'/Game/UI/UIAtlas/System/Activity/BakedSprite/Activity_Icon_02.Activity_Icon_02',ActivityMoney_05,0,None
21,21,,,ECurrencyType::Fake,ECurrencyBindType::None,17888808887,0,0,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Icon_MandelCoins.CommonHall_Icon_MandelCoins',MandelCoins,0,None
22,22,,,ECurrencyType::None,ECurrencyBindType::None,15200000013,0,0,,,NovaChip,0,None
23,23,,,ECurrencyType::None,ECurrencyBindType::None,35000000028,0,0,,,RoleSurveyClue,0,None
20_0,24,,,ECurrencyType::Fake,ECurrencyBindType::None,32270000001,0,0,,PaperSprite'/Game/UI/UIIcon/ItemIcon/0_0/LogisticsVoucher_Red.LogisticsVoucher_Red',RaidCurrency,0,None
25,25,,,ECurrencyType::None,ECurrencyBindType::None,17020000020,0,0,,PaperSprite'/Game/UI/UIAtlas/CommonHall/BakedSprite/CommonHall_Ranking_Icon_01.CommonHall_Ranking_Icon_01',RankCoin,0,None
26,26,,,ECurrencyType::Fake,ECurrencyBindType::None,32370000001,0,0,,Texture2D'/Game/UI/UIIcon/ItemIcon/0_0/MilitarySuppliesTicket.MilitarySuppliesTicket',ResearchVoucher,0,None
27,27,,,ECurrencyType::Fake,ECurrencyBindType::None,32320000001,0,0,,PaperSprite'/Game/UI/UIAtlas/System/RichImage/BakedSprite/RichImage_Store_Icon_0101.RichImage_Store_Icon_0101',QuantumKey,0,None
28,28,,,ECurrencyType::Fake,ECurrencyBindType::None,32320000003,0,0,,PaperSprite'/Game/UI/UIAtlas/System/RichImage/BakedSprite/RichImage_Reinvention.RichImage_Reinvention',Reinvention,0,None
14_0,29,,,ECurrencyType::None,ECurrencyBindType::None,35000005701,0,0,,PaperSprite'/Game/BluePrints/UI/UMG/System/Event/PlayAccessories/Texture/PlayAccessories_ArmsMerchant.PlayAccessories_ArmsMerchant'',WeaponMerchant,0,None
14_1,30,,,ECurrencyType::None,ECurrencyBindType::None,35000005801,0,0,,PaperSprite'/Game/BluePrints/UI/UMG/System/Event/PlayAccessories/Texture/PlayAccessories_Audit.PlayAccessories_Audit',Government,0,None
14_2,31,,,ECurrencyType::None,ECurrencyBindType::None,35000006101,0,0,,PaperSprite'/Game/BluePrints/UI/UMG/System/Event/PlayVehicle/Texture/PlayVehicle_SOL.PlayVehicle_SOL',SOLGun,0,None
14_3,32,,,ECurrencyType::None,ECurrencyBindType::None,35000006102,0,0,,PaperSprite‘/Game/BluePrints/UI/UMG/System/Event/PlayVehicle/Texture/PlayVehicle_MP.PlayVehicle_MP',MPGun,0,None
14_4,33,,,ECurrencyType::None,ECurrencyBindType::None,35000006103,0,0,,PaperSprite'/Game/BluePrints/UI/UMG/System/Event/PlayVehicle/Texture/PlayVehicle_SOL.PlayVehicle_SOL',SOLGun,0,None
14_5,34,,,ECurrencyType::None,ECurrencyBindType::None,35000006104,0,0,,PaperSprite'/Game/BluePrints/UI/UMG/System/Event/PlayVehicle/Texture/PlayVehicle_MP.PlayVehicle_MP',MPGun,0,None
NewRow,35,,,ECurrencyType::None,ECurrencyBindType::None,35000004401,0,0,,PaperSprite'/Game/UI/UIAtlas/Common/BakedSprite/Common_Money_Icon_0001.Common_Money_Icon_0001',gold,0,None
