Name,Category,KeyCount,MinTime,MaxTime,MinValue,MaxValue,FirstInterpMode
ADSStrafeSpeedMainAttributeCurveType2,MainAttribute,3,-30,30,-0.3,0.3,RCIM_Cubic
ADSTimeMainAttributeCurveType1,MainAttribute,10,0,100,0.13,0.8,RCIM_Cubic
ADSTimeMainAttributeCurveType2,MainAttribute,4,-20,22,0.63,2,RCIM_Cubic
AimMoveGunSwayScaleMainAttributeCurveType2,MainAttribute,3,-20,20,0.3,2,RCIM_Cubic
BeHitShakeScaleMainAttributeCurveType2,MainAttribute,3,-16,20,0.3,2.5,RCIM_Cubic
BreathRecoilScaleMainAttributeCurveType2,MainAttribute,3,-12,16,0.8,1,RCIM_Linear
BreathScaleMainAttributeCurveType2,MainAttribute,3,-16,16,0.3,1.6,RCIM_Cubic
BreathTimeMainAttributeCurveType2,MainAttribute,3,-20,20,0.4,2,RCIM_Cubic
BulletVelocityMainAttributeCurveType2,MainAttribute,2,1,2,2,4,RCIM_Linear
GunkickRandomScaleMainAttributeCurveType2,MainAttribute,3,-8,40,0.6,1.2,RCIM_Linear
GunkickSpringScaleMainAttributeCurveType2,MainAttribute,4,-8,55,0.3,1.3,RCIM_Linear
HipSpreadCountineousMainAttributeCurveType1,MainAttribute,2,0,100,0.5,2.5,RCIM_Linear
HipSpreadMainAttributeCurveType1,MainAttribute,5,-40,100,0.3,1.5,RCIM_Cubic
GunkickSpringScaleMainAttributeCurveTypeM4A1,MainAttribute,4,-8,55,0.3,1.3,RCIM_Linear
RecoilControlMainAttributeCurveTypeM4A1,MainAttribute,3,-15,45,0.3,1.5,RCIM_Linear
RecoilShakeScaleMainAttributeCurveTypeM4A1,MainAttribute,4,-16,16,0.12,1.3,RCIM_Linear
GunkickSpringScaleMainAttributeCurveTypeMk47,MainAttribute,4,-8,55,0.3,1.3,RCIM_Linear
RecoilControlMainAttributeCurveTypeMK47,MainAttribute,3,-15,50,0.3,1.5,RCIM_Linear
RecoilControlMainAttributeCurveTypeMK47MP,MainAttribute,3,-15,40,0.3,1.5,RCIM_Linear
ADSStrafeSpeedMainAttributeCurveType2_k437,MainAttribute,3,-23,37,-0.3,0.3,RCIM_Cubic
ADSStrafeSpeedMainAttributeCurveType2_M14,MainAttribute,3,-24,36,-0.3,0.3,RCIM_Cubic
ADSStrafeSpeedMainAttributeCurveType2_M7,MainAttribute,3,-26,34,-0.3,0.3,RCIM_Cubic
ADSStrafeSpeedMainAttributeCurveType2_SR3,MainAttribute,3,-25,35,-0.3,0.3,RCIM_Cubic
ADSStrafeSpeedMainAttributeCurveType2ASH,MainAttribute,3,-26,34,-0.3,0.3,RCIM_Cubic
SprintToFireTimeMainAttributeCurveType2_K437,MainAttribute,3,-23,37,0.3,2,RCIM_Cubic
SprintToFireTimeMainAttributeCurveType2_M14,MainAttribute,3,-24,36,0.3,2,RCIM_Cubic
SprintToFireTimeMainAttributeCurveType2_M7,MainAttribute,3,-26,34,0.3,2,RCIM_Cubic
SprintToFireTimeMainAttributeCurveType2_SR3,MainAttribute,3,-25,35,0.3,2,RCIM_Cubic
SprintToFireTimeMainAttributeCurveType2ASH12,MainAttribute,3,-26,34,0.3,2,RCIM_Cubic
GunkickSpringScaleMainAttributeCurveTypeQCQ171,MainAttribute,4,-8,55,0.3,1.3,RCIM_Linear
RecoilControlMainAttributeCurveTypeQCQ171,MainAttribute,3,-15,45,0.35,1.5,RCIM_Linear
GunkickSpringScaleMainAttributeCurveTypeQJB201,MainAttribute,4,-8,55,0.3,1.3,RCIM_Linear
RecoilControlMainAttributeCurveTypeQJB201,MainAttribute,3,-15,55,0.35,1.5,RCIM_Linear
RangeMainAttributeCurveType4,MainAttribute,2,0,500,0,50000,RCIM_Linear
RecoilAnimAdditiveScaleMainAttributeCurveType2,MainAttribute,2,0,40,0.65,1,RCIM_Cubic
RecoilControlHMainAttributeCurveType2,MainAttribute,3,-15,40,0.4,1.5,RCIM_Linear
RecoilControlMainAttributeCurveType2,MainAttribute,3,-15,55,0.4,1.5,RCIM_Linear
RecoilControlMainAttributeCurveType4,MainAttribute,2,0,100,2,12,RCIM_Linear
RecoilHControlMainAttributeCurveType2singleburst,MainAttribute,3,-15,40,0.4,1.5,RCIM_Linear
RecoilShakeScaleMainAttributeCurveType3,MainAttribute,4,-16,16,0.12,1.3,RCIM_Linear
RecoilVControlMainAttributeCurveType2singleburst1,MainAttribute,3,-15,40,0.4,1.5,RCIM_Linear
SilentalkSpeedMainAttributeCurveType2,MainAttribute,4,-18,12,0.8,1.15,RCIM_Linear
SprintToFireTimeMainAttributeCurveType2,MainAttribute,3,-30,30,0.3,2,RCIM_Cubic
ViewkickScaleMainAttributeCurveType2,MainAttribute,3,-8,40,0.4,1.4,RCIM_Linear
ADSZoomScaleDisplay,PartTune,3,-0.25,0.25,-0.25,0.25,RCIM_Linear
ADSZoomScaleLarge,PartTune,3,-0.5,0.5,-0.5,0.49999997,RCIM_Linear
ADSZoomScaleLargeDisplay1,PartTune,3,-0.5,0.5,-0.5,0.5,RCIM_Linear
ADSZoomScaleSmall,PartTune,3,-20,20,-0.25,0.25,RCIM_Linear
ADSZoomScaleSmallDisplay,PartTune,3,-20,20,-0.25,0.25,RCIM_Linear
BarrelLengthADStimePartTuneCurve,PartTune,3,-10,10,-0.03,0.03,RCIM_Linear
BarrelLengthADStimePartTuneCurveDisplay,PartTune,3,-10,10,-3,3,RCIM_Linear
