---,ItemId,Type,AmmoName,PenetrateLevel,AttackGroupId,BuffId,DamageRate,ArmorDamageRate,LimbsDamageRate,bEnablePerPartDamageRate,ThrowBlockingDamageRate,BlastShieldGlassDamageRate,WoundRate,DizzyRate,ProjectileNum,WaistShootSpreadId,AimShootSpreadId,WaistCrosshairId,AimCrosshairId,WeaponBulletId,CBowId,bAvailable,AmmoCaliber,CameraSwayHitScale,GunSwayHitScale,AmmoDamageType,AmmoArmorLevelDiff,PenetrateAttenuationRatio,PenetrateAttenuationType,PenetrateAmmoLevelDecrease,AmmoTypeRTPCValue,FireAudioAttenuationCoefficient,bEnableBulletCrackAudio,bEnableBulletFlyByAudio
1,37010100001,2,1级步枪穿甲,1,0,0,1,1,1,False,0.8,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
2,37010200001,1,2级步枪穿甲弹,2,0,0,1,1,1,False,0.9,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
3,37010300001,1,3级步枪穿甲弹,3,0,0,1,1.1,1,False,1,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
4,37010400001,1,4级步枪穿甲弹,4,0,0,1,1.2,1,False,1.1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
5,37010500001,1,5级步枪穿甲弹,5,0,0,1,1.4,1,False,1.2,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
6,37010600001,1,6级步枪穿甲弹,6,0,0,1,1.5,1,False,1.6,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
7,37020000001,2,达姆弹,0,0,0,1.4,0.2,1,False,0.9,0.7,0.4,0,1,0,0,0,0,0,0,False,,1,1,PassHand_IncludeHand,0,0.6,Never,0,0,1,True,True
8,37020000002,2,9mm亚音速弹,0,0,0,1.1,0.4,1,False,1,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
9,37020100001,2,1级9mm穿甲弹,1,0,0,1,1,1,False,0.8,1,0.2,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
10,37020200001,2,2级9mm穿甲弹,2,0,0,1,1,1,False,0.9,1,0.1,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
11,37020300001,2,3级9mm穿甲弹,3,0,0,1,1.1,1,False,1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
12,37020400001,2,4级9mm穿甲弹,4,0,0,1,1.2,1,False,1.1,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
13,37020500001,2,5级9mm穿甲弹,5,0,0,1,1.3,1,False,1.2,1,0,0,1,0,0,0,0,0,0,False,,1,1,PassHand,0,0,Never,0,0,1,True,True
