---,BulletId,InitSpeedFor1P,InitSpeedFor3P,ZeroGravityDistance,AirDragFactor,GravityParam,FlyMode,Radius,MaxDistance,ValidDistance,AttenModes,AttenDistances,AttenRates,SpeedInWaterFactor,WaterDragFactor,bSupportPenetrating,PenetratingPow,bSupportPenetratingWater,bDetectByAPS,BulletBPClass
固定武器-1,12,70000,70000,2500,0,9.8,PhysicSimulate,1,100000,1500,"(BlendMode_Dest,BlendMode_Dest)","(3000,6000)","(0.85,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-1,1113,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,2700,"(BlendMode_Dest,BlendMode_Dest)","(5400,10000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-2,1137,30000,30000,2500,0,9.8,PhysicSimulate,1,100000,2100,"(BlendMode_Dest,BlendMode_Dest)","(4100,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
NewRow_0,11371,45000,45000,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(6000,100000)","(0.85,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-3,1140,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,3500,"(BlendMode_Dest,BlendMode_Dest)","(6000,10000)","(0.9,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-4,1142,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,10000)","(0.85,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-5,1143,52500,52500,2500,0,9.8,PhysicSimulate,1,100000,3000,"(BlendMode_Dest,BlendMode_Dest)","(4500,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-5-1,11431,52500,52500,2500,0,9.8,PhysicSimulate,1,100000,2500,"(BlendMode_Dest,BlendMode_Dest)","(4000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪4-5-2,11432,70000,70000,2500,0,9.8,PhysicSimulate,1,100000,3500,"(BlendMode_Dest,BlendMode_Dest)","(5000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪3-1,1115,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪3-2,1118,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.9,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪3-3,1101,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪2-1,1106,52500,52500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪2-2,1108,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪2-3,1117,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,3500,"(BlendMode_Dest,BlendMode_Dest)","(6500,100000)","(0.85,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪2-4,1138,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,3500,"(BlendMode_Dest,BlendMode_Dest)","(6200,100000)","(0.9,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪1-1,1131,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪1-2,1114,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
突击步枪1-3,1110,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.8,0.6)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪4-1,1112,34000,34000,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪4-1-1,11121,50000,50000,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】突击步枪4-7,1116,63000,63000,2500,0,9.8,PhysicSimulate,1,100000,5000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
【正式武器】突击步枪4-8,1145,52500,52500,2500,0,9.8,PhysicSimulate,1,100000,3500,"(BlendMode_Dest,BlendMode_Dest,BlendMode_Dest,BlendMode_Dest)","(5000,10000)","(0.85,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪3-1,1505,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.8,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪3-2,1121,63000,63000,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.9,0.75)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪2-1,1123,63000,63000,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.9,0.8)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
战斗步枪2-2,1124,63000,63000,2500,0,9.8,PhysicSimulate,1,100000,4000,"(BlendMode_Dest,BlendMode_Dest)","(7000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
HK33,1125,63000,63000,2500,0,9.8,PhysicSimulate,1,50000,5500,"(BlendMode_Dest,BlendMode_Dest)","(10780,300000)","(0.8,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪4-1,1507,55000,55000,5000,0,9.8,PhysicSimulate,1,100000,6000,(BlendMode_Dest),(100000),(0.85),0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪3-1,1504,50000,50000,5000,0,9.8,PhysicSimulate,1,100000,7000,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.9,0.625)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
射手步枪3-2,1506,57500,57500,2500,0,9.8,PhysicSimulate,1,100000,5500,"(BlendMode_Dest,BlendMode_Dest)","(9000,100000)","(0.85,0.7)",0.5,0,False,100,True,False,/Game/BluePrints/Weapons/Common/Bullet/Projectile/WeaponPhysicsBulletReal_BP.WeaponPhysicsBulletReal_BP_C
