---,RuleKey,FunctionId,PartFunctionType,bNegative,PartFunctionDynamicType,Param1,Param2,Param3,Param4,Param5
1,1,140254,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
2,2,140255,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
3,3,140253,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
4,4,1140254,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
5,5,1140255,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
6,6,1140253,StaticAttributeReplace,False,NONE,ChangeClipMode,Initial,0,None,None
7,7,150241,StaticAttributeModify,False,NONE,ChangeClipTime,Mult_A,0.247,None,None
8,8,150247,StaticAttributeModify,False,NONE,ChangeClipTime,Mult_A,0.24,None,None
9,9,150245,StaticAttributeModify,False,NONE,ChangeClipTime,Mult_A,0.1,None,None
10,10,150271,StaticAttributeModify,False,NONE,ChangeClipTime,Mult_A,0.08,None,None
11,11,150268,StaticAttributeReplace,False,NONE,ChangeClipTime,Initial,5.8,None,None
12,12,140254,StaticAttributeReplace,False,NONE,ChangeClipTime,Initial,2.97,None,None
13,13,1140254,StaticAttributeReplace,False,NONE,ChangeClipTime,Initial,2.97,None,None
14,14,150245,StaticAttributeModify,False,NONE,ChangeClipTimewhenEmpty,Mult_A,0.1,None,None
15,15,150241,StaticAttributeModify,False,NONE,ChangeClipTimewhenEmpty,Mult_A,0.186,None,None
16,16,150247,StaticAttributeModify,False,NONE,ChangeClipTimewhenEmpty,Mult_A,0.186,None,None
17,17,150271,StaticAttributeModify,False,NONE,ChangeClipTimewhenEmpty,Mult_A,0.11,None,None
18,18,150268,StaticAttributeReplace,False,NONE,ChangeClipTimewhenEmpty,Initial,6.8,None,None
19,19,140254,StaticAttributeReplace,False,NONE,ChangeClipTimewhenEmpty,Initial,3.3,None,None
20,20,1140254,StaticAttributeReplace,False,NONE,ChangeClipTimewhenEmpty,Initial,3.3,None,None
21,21,240021,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
22,22,240023,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
23,23,240025,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
24,24,240028,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
25,25,240035,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
26,26,240024,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
27,27,240026,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
28,28,240027,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
29,29,240029,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
30,30,240032,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
31,31,240036,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
32,32,240030,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
33,33,240033,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
34,34,240034,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
35,35,240022,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
36,36,240037,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
37,37,240039,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
38,38,240040,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
39,39,240038,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
40,40,240041,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
41,41,240042,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
42,42,120109,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
43,43,120110,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
44,44,570001,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
45,45,570002,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
46,46,120113,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
47,47,120114,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
48,48,120117,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
49,49,120121,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
50,50,120171,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
51,51,120122,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
52,52,120127,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
53,53,120128,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
54,54,120131,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
55,55,120132,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
56,56,120133,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
57,57,120130,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
58,58,120060,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
59,59,120124,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
60,60,120112,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
61,61,120172,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
62,62,120111,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
63,63,120129,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
64,64,120115,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
65,65,120168,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
66,66,120170,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
67,67,120166,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
68,68,120167,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
69,69,120169,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
70,70,120174,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
71,71,120178,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
72,72,110432,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.3,None,None
73,73,110459,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
74,74,110458,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
75,75,110167,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
76,76,110466,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
77,77,110464,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.18,None,None
78,78,110465,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0.06,None,None
79,79,110462,StaticAttributeModify,True,NONE,DisplayAttrValues.2,Mult_A,0,None,None
80,80,110461,StaticAttributeModify,False,NONE,DisplayAttrValues.2,Mult_A,0,None,None
