---,RecoilId,RecoilType,Single_HorizontalRecoils,Single_HorizontalRandomMin,Single_HorizontalRandomMax,Single_HorizontalScale,Single_VerticalRecoils,Single_VerticalRandomMin,Single_VerticalRandomMax,Single_VerticalScale,SingleOrBurstResetTimeTolerant,Continue_HorizontalRecoils,Continue_HorizontalRandomMin,Continue_HorizontalRandomMax,Continue_HorizontalScale,Continue_VerticalRecoils,Continue_VerticalRandomMin,Continue_VerticalRandomMax,Continue_VerticalScale,ContinueLoop_HorizontalRecoils,ContinueLoop_HorizontalRandomMin,ContinueLoop_HorizontalRandomMax,ContinueLoop_HorizontalScale,ContinueLoop_VerticalRecoils,ContinueLoop_VerticalRandomMin,ContinueLoop_VerticalRandomMax,ContinueLoop_VerticalScale,RecoilShakePitch_WholeAmplitude,RecoilShakePitch_Frequency,RecoilShakePitch_ShiftMin,RecoilShakePitch_ShiftMax,RecoilShakePitch_InFireDamping,RecoilShakePitch_Duration,RecoilShakeYaw_WholeAmplitude,RecoilShakeYaw_Frequency,RecoilShakeYaw_ShiftMin,RecoilShakeYaw_ShiftMax,RecoilShakeYaw_InFireDamping,RecoilShakeYaw_Duration,RecoilShakePitchWithCurve_WholeAmplitude,RecoilShakeYawWithCurve_WholeAmplitude,bUseManualCurveEffect,bLimitRecoilEaseTime,RecoilEaseTime,PitchEaseType,YawEaseType,SideAimingRecoilFactor_Horizontal,SideAimingRecoilFactor_Vertical,SideAimingRecoilShakeFactor_Horizontal,SideAimingRecoilShakeFactor_Vertical,bEnableSpringGunKick,SpringYawMin,SpringYawMax,SpringPitchMin,SpringPitchMax,SpringTime,SpringRatio,RecoverStartTime,RecoverSpringTime,RecoverSpringRatio
【范例】,11,WeaponRecoil_DFM,,0,0,1,,0,0,1,0,,0,0,1,,0,0,1.5,,0,0,1,,0,0,1,1,0.5,0,0.5,8,0.2,1,0.5,0,0.5,8,0.2,0.8,0.8,False,True,1,Linear,Linear,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪4-1,11150,WeaponRecoil_DFM,0.673,-0.23,0.23,1,2.314,-0.8,0.8,1,0,"0.9605,0.9435,0.9605,0.5865,0,0,-0.289,-0.595,-0.8755,-1.0965,-1.105,-1.326,-1.5385,-1.6915,-1.836,-1.836,-1.751,-1.666,-1.411,-1.2155,-1.0795,-0.8415,-0.6205,-0.612,-0.612,-0.6205,-0.612,-0.6205,-0.6035																													",-0.2,0.2,1,"3.3065,3.3065,3.298,3.2385,3.23,3.1535,3.162,3.1535,3.162,3.162,3.077,3.0855,3.0855,3.0855,3.0855,3.0855,3.077,3.094,3.077,3.094,3.077,3.077,3.179,3.162,3.179,3.162,3.1705,3.1705,3.1705																													",-0.3,0.3,1.5,"-0.72,-0.72,-0.73,-0.72,-0.73,-0.71",-0.2,0.2,1,"3.162,3.164,3.163,3.165,3.162,3.164,3.163,3.165",-0.3,0.3,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0884,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪4-11,11151,WeaponRecoil_DFM,0.673,-0.23,0.23,1,2.314,-0.8,0.8,1,0,"0.9605,0.9435,0.9605,0.5865,0,0,-0.289,-0.595,-0.8755,-1.0965,-1.105																					",-0.2,0.2,1.5,"3.3065,3.3065,3.298,3.2385,3.23,3.1535,3.162,3.1535,3.162,3.162,3.077																						",-0.15,-0.15,1.7,"-0.72,-0.72,-0.73,-0.72,-0.73,-0.71",-0.2,0.2,1.4,"3.162,3.164,3.163,3.165,3.162,3.164,3.163,3.165",-0.15,-0.15,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.6,0.64,True,True,0.0884,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪4-2,11130,WeaponRecoil_DFM,-0.448,-0.1,0.1,1,2.506,-0.6,0.6,1,0,"-0.64,0.82,-0.96,0.8,0.96,1.04,1,0,-0.6,-1.2,-1.6,-0.8,-1.69,-0.69,-1.55,-0.67,-1.54,-0.58,-0.41,0,0.16,0.32,0.64,1.69,0.72,1.82,0.95,1.88,0.62",-0.15,0.15,1,"4.654,4.472,4.42,5.616,4.862,4.537,4.68,7.15,4.524,4.615,4.966,6.5,5.356,4.732,4.641,6.5,3.9,4.42,4.329,5.2,5.2,5.2,4.472,4.108,4.251,4.108,4.303,4.017,4.173																													",-0.2,0.2,1.5,"1.28,1.28,1.28,1.28,1.28",-0.15,0.15,1,"3.2,3.2,3.2,3.2,3.2",-0.3,0.3,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.55,0.7,True,True,0.0682,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪4-21,11131,WeaponRecoil_DFM,-0.448,-0.1,0.1,1,2.506,-0.6,0.6,1,0,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.4,-1.5,-1.5,-1.4,-1.4,-1.3,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.2,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,3.13,3.34,3.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.8,"1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.2,"3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.55,0.7,True,True,0.0682,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,1,3,0.1,0.25,0.4,1,0.4,0.2,0.5
突击步枪4-3,11370,WeaponRecoil_DFM,0.35,-0.105,0.105,1,1.8,-0.54,0.54,1,0,"1.18,1.5,2.1,2.2,2.3,2.4,1.0,0.5,-0.5,-1.0,-1.1,-1.5,-1.3,-2,-2.1,-1.5,-1,0.5,1.18,1.5,2.1,2.2,2.3,2.4,2.2,1.5,1.0,0.5,-0.5,-1.0,-1.1,-1.5,-1.3,-2,-2.1,-1.5,-1,0.5",-0.1,0.1,1.5,"2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02",-0.2,0.2,2.6,"2.92,2.22,2.7,1.99,1.51,2.17,2.15,1.9,2.56,0,1.44,2.25",-0.1,0.1,1.5,"2.52,3.53,2.52,2.52,2.52,2.01,2.52",-0.2,0.2,2.6,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0617,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪4-31,11371,WeaponRecoil_DFM,0.35,-0.5,0.5,1,1.8,-0.54,0.54,1,0,"1.18,1.5,2.1,2.2,2.3,2.4,1.0,0.5,-0.5,-1.0,-1.1,-1.5,-1.3,-2,-2.1,-1.5,-1,0.5,1.18,1.5,2.1,2.2,2.3,2.4,2.2,1.5,1.0,0.5,-0.5,-1.0,-1.1,-1.5,-1.3,-2,-2.1,-1.5,-1,0.5",-0.1,0.1,1.5,"2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02,2.52,3.02,2.52,3.02,4,3.02",-0.2,0.2,2.6,"2.92,2.22,2.7,1.99,1.51,2.17,2.15,1.9,2.56,0,1.44,2.25",-0.1,0.1,1.5,"2.52,3.53,2.52,2.52,2.52,2.01,2.52",-0.2,0.2,2.6,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.5,0.8,True,True,0.0617,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
NewRow_2,11372,WeaponRecoil_DFM,0.35,-0.105,0.105,1,1.8,-0.54,0.54,1,0,,0,0,0,,0,0,0,"1.3,1.5,1.3,2.1",-0.2,0.2,0.8,"1.3,2.3,2.1,2.4",-0.2,0.2,1.5,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.5,0.8,True,True,0.0617,EaseOutQuad,EaseOutQuad,1,1,1.2,1.2,False,0,0,0,0,0,1,0.05,0,0.5
NewRow_1,11373,WeaponRecoil_DFM,0.35,-0.5,0.5,1,1.8,-0.54,0.54,1,0,,0,0,0,,0,0,0,"1.3,1.5,1.3,2.1",-0.2,0.2,0.8,"1.3,2.3,2.1,2.4",-0.2,0.2,1.5,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.5,0.8,True,True,0.0617,EaseOutQuad,EaseOutQuad,1,1,1.2,1.2,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-1,11180,WeaponRecoil_DFM,-0.42,-0.15,0.15,1,3.08,-0.8,0.8,1,0,"-0.6,-0.63,-0.61,-0.25,0,0,0.38,0.74,1.13,1.46,1.73,1.8,2.16,2.16,2.17,2.06,2.03,1.84,1.51,1.27,1.02,0.8,-0.64,0.63,-0.64,0.64,-0.63,0.64,-0.63",-0.2,0.2,1,"4.41,4.41,4.42,4.31,4.32,4.33,4.32,4.23,4.12,4.02,4.04,4.03,4.03,4.03,4.03,4.03,4.04,4.22,4.34,4.42,4.44,4.44,4.42,4.44,4.42,4.44,4.43,4.43,4.3",-0.4,0.4,1.5,"0.63,-0.64,0.64,-0.63,0.64,-0.63",-0.2,0.2,1,"4.44,4.42,4.44,4.43,4.43,4.3",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0816,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-11,11181,WeaponRecoil_DFM,-0.42,-0.15,0.15,1,3.08,-0.8,0.8,1,0,"-0.6,-0.63,-0.61,-0.25,0,0,0.38,0.74,1.13,1.46,1.73,1.8,2.16,2.16,2.17,2.06,2.03,1.84,1.51,1.27,1.02,0.8,-0.64,0.63,-0.64,0.64,-0.63,0.64,-0.63",-0.2,0.2,1.3,"4.41,4.41,4.42,4.31,4.32,4.33,4.32,4.23,4.12,4.02,4.04,4.03,4.03,4.03,4.03,4.03,4.04,4.22,4.34,4.42,4.44,4.44,4.42,4.44,4.42,4.44,4.43,4.43,4.3",-0.4,0.4,1.45,"0.63,-0.64,0.64,-0.63,0.64,-0.63",-0.2,0.2,1.2,"4.44,4.42,4.44,4.43,4.43,4.3",-0.4,0.4,0.85,1,1,0.5,0.8,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.0816,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-2,11060,WeaponRecoil_DFM,-0.763,-0.1962,0.1962,1,4.067,-1.046,1.046,1,0,"-1.09,-1.65,-0.6,3.96,2.24,3.51,1.33,3.29,1.55,2.72,1.58,1.42,1.08,3.63,2.37,2.7,1.87,3.63,1.7,2.53,3.15,-1.32,-1.32,-1.32,-1.32,-1.32,2.78,2.26,2.47",-0.2,0.2,1,"5.81,6.05,8.23,5.46,3.75,3.17,3.73,3.35,2.92,3.61,5.5,5.75,5.43,3.86,3.88,3.11,3.63,3.74,4.31,4.36,5.27,6.15,5.15,5.25,5.89,5.73,3.78,3.04,2.9",-0.4,0.4,1.5,"2.78,2.26,2.47",-0.2,0.2,1,"3.78,3.04,2.9",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-21,11061,WeaponRecoil_DFM,-0.763,-0.1962,0.1962,1,4.067,-1.046,1.046,1,0,"-1.09,-1.65,-0.6,3.96,2.24,3.51,1.33,3.29,1.55,2.72,1.58,1.42,1.08,3.63,2.37,2.7,1.87,3.63,1.7,2.53,3.15,-1.32,-1.32,-1.32,-1.32,-1.32,2.78,2.26,2.47",-0.2,0.2,1.15,"5.81,6.05,8.23,5.46,3.75,3.17,3.73,3.35,2.92,3.61,5.5,5.75,5.43,3.86,3.88,3.11,3.63,3.74,4.31,4.36,5.27,6.15,5.15,5.25,5.89,5.73,3.78,3.04,2.9",-0.4,0.4,1.3,"2.78,2.26,2.47",-0.2,0.2,1,"3.78,3.04,2.9",-0.4,0.4,1,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.1,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-3,11010,WeaponRecoil_DFM,0.588,-0.1512,0.1512,1.3,2.394,-0.6156,0.6156,1.4,0,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.3,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,5.13,5.13,5.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,"1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.3,"3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.075,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-31,11011,WeaponRecoil_DFM,0.588,-0.1512,0.1512,1.3,2.394,-0.6156,0.6156,1.4,0,"1.14,1.13,1.14,0.72,0.51,0,-0.7,-1.9,-0.47,-0.95,-1.43,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.23,-0.57,0,0,0.63,0.95,1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.3,"3.42,3.61,3.8,5.32,3.61,3.61,3.61,5.32,3.76,3.52,3.42,3.62,3.07,3.34,3.3,3.34,3.34,3.35,3.34,5.13,5.13,5.13,3.35,3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,"1.52,1.52,1.52,1.52,1.52,1.52",-0.13,0.13,1.3,"3.34,3.34,3.35,3.34,3.35,3.34",-0.35,0.35,1.4,1,0.5,0.1,0.3,0,0,1,1,0.5,0.8,0,0,0.8,0.8,True,True,0.075,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,True,0,-0.2,0.2,0.3,0.05,1,0.05,0.2,0.5
突击步枪3-4,11110,WeaponRecoil_DFM,-3,0,1,1,10,0,1,1,0,"0,2.2,1.7,-1.9,2.8,-2.5,2.1,2.4,-3.7,1.7,-2.9,1.5,1.9,-6.2,1.3",0,1,1,"3.7,3,3.9,3.9,4.4,4.1,5.5,5,3,4.2,3,4.5,5.6,3.1,6.4",0,1,1.5,"-5.9,-1.2,-2,-6.4,0.6,-6,0.8,-0.7,-7.8,0.4,-5.7,-0.1,0.2,-4.7,-0.7",0,1,1,"0.1,5.4,5.6,1.3,5.2,1.7,6.1,9.9,1.5,5.4,1.8,5.8,4.4,1.4,5.1",0,1,1,1,0.5,0.15,0.3,0,0,1,1,0.6,0.75,0,0,0.8,0.8,False,True,0.091,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
突击步枪3-41,11111,WeaponRecoil_DFM,0,0,1,1,5.97,0,1,1,0,"-1,2.3,2.3,-3.2,3,-3.4,2.9,3,-5.2,0.4,-2.6,1.1,2.3,-4.8,0.2",0,1,1,"4.3,2.4,2.4,4.1,3.5,4,3.8,3.2,2.3,5.7,3.1,5,4.9,3.6,7.3",0,1,1.5,"-4,-1.1,0.1,-5.3,-0.3,-6.4,-0.4,-0.1,-6.6,0.4,-5.9,0.5,-1.1,-4.5,0.2",0,1,1,"1.8,5.3,4.5,2.1,6,1.3,7.2,9.4,2.3,5.5,1.7,5.3,5.3,1.5,4.4",0,1,1,1,0.5,0.15,0.3,0,0,1,1,0.6,0.75,0,0,0.8,0.8,False,True,0.091,EaseOutQuad,EaseOutQuad,1.2,1.2,1,1,False,0,0,0,0,0,1,0.05,0,0.5
