---,SpreadId,AreaType,AreaSize,SpreadMax,SpreadMaxFinal,bLimitSpreadRecoverSpeed,SpreadRecoverSpeed,ModifierEnableAtShootNum,ModifierEnableAtShootNumCDSeconds,FireSpreadRecoverSpeed,FireSpreadFactor,LuaDisplaySpreadFactor,LuaDisplaySpreadUIFactor
【范例】,11,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
14,11130,Oval,"(2.1632,2.1632)","(X=5.500,Y=5.500)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
15,11131,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
129,11370,Oval,"(1.95,1.95)","(X=4.850,Y=4.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
130,11371,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
18,11150,Oval,"(2.3296,2.3296)","(X=5.750,Y=5.750)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
129_0,11400,Oval,"(2.3,2.3)","(X=5.800,Y=5.800)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
130_1,11401,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
44_0,11420,Oval,"(2.7456,2.7456)","(X=6.850,Y=6.850)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
45_0,11421,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
突击步枪4-5,11430,Oval,"(2.2464,2.2464)","(X=5.600,Y=5.600)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
突击步枪4-5-2,11432,Oval,"(1.8,1.8)","(X=5.600,Y=5.600)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
突击步枪4-5-1,11431,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=1.000,Y=1.000)",1,1.25,0.7
19,11151,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
24,11180,Oval,"(2.288,2.288)","(X=5.700,Y=5.700)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
25,11181,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
2,11010,Oval,"(2.2464,2.2464)","(X=5.600,Y=5.600)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
3,11011,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=1.000,Y=1.000)",1,1.25,0.7
4,11060,Oval,"(2.3296,2.3296)","(X=5.750,Y=5.750)","(X=180.000,Y=180.000)",False,"(X=10.000,Y=10.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
5,11061,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
6,11080,Oval,"(2.288,2.288)","(X=5.700,Y=5.700)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
7,11081,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
173,11380,Oval,"(2.18,2.18)","(X=5.450,Y=5.450)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
130_0,11381,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=0.000,Y=0.000)",1,1.25,0.7
22,11170,Oval,"(2.3296,2.3296)","(X=5.800,Y=5.800)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,1,"(X=15.000,Y=15.000)",1,1.25,0.7
23,11171,Oval,"(0,0)","(X=180.000,Y=180.000)","(X=180.000,Y=180.000)",False,"(X=0.000,Y=0.000)",1,2,"(X=0.000,Y=0.000)",1,1.25,0.7
