RowName,ClassName,ClassPath,Health,DamagePreset,DamagePreset_HDOverride,PhxPreset,bDynamicUpdateNavMesh,bBrokenNeedUpdateNavMesh,BlockVehicleLevel,Id,Tag,Category,SubCategory,DefaultPath,DefaultUFSPath,DefaultNonUFSPath,bPure,FallbackId,PublishType,PublishVersion,RowDescription
1,BushDefault,"(AssetPath=None, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_Bush.D_Bush, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",False,False,0,1,Default,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
2,TreeDefault,"(AssetPath=None, SubPath=)",9999,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_Ind.D_Ind, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",False,False,3,2,Default,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
3,FoliageCommon,"(AssetPath=None, SubPath=)",9999,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_FoliageCommon.D_FoliageCommon, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",False,False,0,3,Default,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1001,BP_D_Fence_ConcreteWall_260x256_Broken,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Fence_ConcreteWall_260x256_Broken/BP_D_Fence_ConcreteWall_260x256_Broken.BP_D_Fence_ConcreteWall_260x256_Broken, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1001,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1002,BP_D_Fence_ConcreteWall_260x512_Broken,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Fence_ConcreteWall_260x512_Broken/BP_D_Fence_ConcreteWall_260x512_Broken.BP_D_Fence_ConcreteWall_260x512_Broken, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1002,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1003,BP_D_Fence_ConcreteWall_80x320_Broken,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Fence_ConcreteWall_80x320_Broken/BP_D_Fence_ConcreteWall_80x320_Broken.BP_D_Fence_ConcreteWall_80x320_Broken, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1003,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1004,BP_D_Fence_BrickWall_300x140_02,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Fence_BrickWall_300x140_02/BP_D_Fence_BrickWall_300x140_02.BP_D_Fence_BrickWall_300x140_02, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1004,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1005,BP_D_Industrial_Container_WoodenBox_85_01,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Industrial_Container_WoodenBox_85_01/BP_D_Industrial_Container_WoodenBox_85_01.BP_D_Industrial_Container_WoodenBox_85_01, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1005,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1006,BP_D_FutureTech_Container_WoodenBox_01,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_FutureTech_Container_WoodenBox_01/BP_D_FutureTech_Container_WoodenBox_01.BP_D_FutureTech_Container_WoodenBox_01, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1006,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
1007,BP_D_Fence_residential_exterior_fence_256x200_01,"(AssetPath=/Game/BluePrints/Destructible/BattleField/BP_D_Fence_residential_exterior_fence_256x200_01/BP_D_Fence_residential_exterior_fence_256x200_01.BP_D_Fence_residential_exterior_fence_256x200_01, SubPath=)",200,"(AssetPath=/Game/BluePrints/Destructible/DamagePreset/D_2.D_2, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=/Game/BluePrints/Destructible/PhxPreset/DefaultPhxPreset.DefaultPhxPreset, SubPath=)",True,True,1,1007,Cracked,MP,None,(),,,False,None,EPackagingConfigurations::Shipping,None,None
