RowName,WeaponItemType,RecommendNum,AddNum,RowDescription
1,1,240,60,None
2,2,240,60,None
3,3,40,20,None
4,4,240,60,None
5,5,120,30,None
6,6,40,20,None
7,7,120,30,None
8,8,30,30,None
9,9,30,30,None
10,10,30,30,None
11,11,30,30,None
12,12,30,30,None
13,13,30,30,None
14,14,30,30,None
15,15,30,30,None
16,16,30,30,None
17,17,30,30,None
18,18,30,30,None
19,19,30,30,None
20,20,30,30,None
21,21,30,30,None
22,22,30,20,None
23,23,30,20,None
24,24,30,20,None
25,25,30,20,None
26,26,30,30,None
27,27,30,30,None
28,28,16,16,None
29,29,30,20,None
30,30,30,20,None
