RowName,Key,TypeID,PresetID,PresetPrice,RowDescription
1,1,1,1,50000,None
2,2,1,2,50000,None
3,3,2,1,50000,None
4,4,2,2,50000,None
5,5,3,1,50000,None
6,6,3,2,50000,None
7,7,3,3,50000,None
8,8,1,1,200000,None
9,9,1,2,200000,None
10,10,1,3,200000,None
11,11,1,4,200000,None
12,12,2,1,200000,None
13,13,2,2,200000,None
14,14,2,3,200000,None
15,15,2,4,200000,None
16,16,3,1,200000,None
17,17,3,2,200000,None
18,18,3,3,200000,None
19,19,3,4,200000,None
20,20,1,1,550000,None
21,21,1,2,550000,None
22,22,1,3,550000,None
23,23,1,4,550000,None
24,24,2,1,550000,None
25,25,2,2,550000,None
26,26,2,3,550000,None
27,27,2,4,550000,None
28,28,3,1,550000,None
29,29,3,2,550000,None
30,30,3,3,550000,None
31,31,3,4,550000,None
32,32,1,1,780000,None
33,33,1,2,780000,None
34,34,1,3,780000,None
35,35,2,1,780000,None
36,36,2,2,780000,None
37,37,2,3,780000,None
38,38,3,1,780000,None
39,39,3,2,780000,None
40,40,3,3,780000,None
41,41,1,1,780000,None
42,42,1,2,780000,None
43,43,1,3,780000,None
44,44,2,1,780000,None
45,45,2,2,780000,None
46,46,2,3,780000,None
47,47,1,1,550000,None
48,48,2,1,550000,None
49,49,3,1,550000,None
50,50,1,1,780000,None
51,51,1,2,780000,None
52,52,2,1,780000,None
53,53,2,2,780000,None
54,54,1,1,550000,None
55,55,1,2,550000,None
56,56,2,1,550000,None
57,57,2,2,550000,None
58,58,1,1,550000,None
59,59,1,2,550000,None
60,60,2,1,550000,None
61,61,2,2,550000,None
62,62,1,1,200000,None
63,63,1,2,200000,None
64,64,2,1,200000,None
65,65,2,2,200000,None
