RowName,IDPrefix,Inventory,InventoryName,Desc,RowDescription
12,12,99,,,None
22,22,99,,,None
99,99,99,,,None
10,10,1,,,None
11,11,1,,,None
13,13,1,,,None
14,14,1,,,None
15,15,1,,,None
16,16,1,,,None
18,18,1,,,None
19,19,1,,,None
20,20,1,,,None
37,37,1,,,None
17020000010,17020000010,1,,,None
17,17,4,,,None
28,28,3,,,None
29,29,3,,,None
32,32,3,,,None
33,33,3,,,None
34,34,3,,,None
21,21,5,,,None
24,24,5,,,None
25,25,5,,,None
30,30,5,,,None
88,88,5,,,None
35,35,7,,,None
26010000001,26010000001,11,,,None
26010000002,26010000002,10,,,None
2602,2602,12,,,None
26010000003,26010000003,13,,,None
