RowName,HeadDamagesReduction,DamageHeadDamagesReduction,MaxHP,HPDamageSet,BorderTexturePath,SurfaceTexturePath,HelmetMeshPtr,HelmetMaterialPtr,DamageTexturePaths,DamageImageSizeScale,HelmetBreakAudioPath,HelmetPostMaterialPtr,BorderSizeScale,HelmetPostMaterialPtr_HighQuality,FaceMaskDistance,DistanceCurve,HeadsetId,PerformanceScore,bHasNightVisionGoggles,NightVisionBorderTexturePath,NightVisionMaskBPPaths,FadeInAnim_UI,FadeOutAnim_UI,FadeInFloatParams,FadeinTime,FadeOutFloatParams,FadeoutTime,bHideMaskOn,ItemId,ProtectionPart,ArmorLevel,bUseNewArmorLevelConfig,ArmorLevelConfig,ProtectionPartText,BaseProtectionPartText,BitmaskProtectionPart,DisableParts,MaxDurability,DamagedDurabilityRate,MaxArmorValue,DamageMaxArmorValue,DamageArmorLevel,AttributeOperateIDs,BuffOps,DurabilityFormula,DurabilityReductionRepair,RepairPricePerDurability,BaseRepairPrice,RepairDurabilityRatio,RepairArmorRate,DurabilityReductionRepairInGame,RepairRatioInGame,BitmaskExceptionProtectionPart,DurabilityReductionRepairInGameStr,bUseMaxDurabilityCurve,MaxDurabilityCurve,bInRange,RowDescription
11010001001,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010001001,Helmet1,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,10,1,10,10,1,,,1002,0,87,87,0.8,1,0.15,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=8.5, MaxDurabilityPercent=0.85); (TotalRepairedDurability=15.125061, MaxDurabilityPercent=0.6625061); (TotalRepairedDurability=19.571735, MaxDurabilityPercent=0.44466737); (TotalRepairedDurability=21.786335, MaxDurabilityPercent=0.22146003); (TotalRepairedDurability=22.218836, MaxDurabilityPercent=0.043250117); (TotalRepairedDurability=23, MaxDurabilityPercent=0))",True,None
11010001002,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010001002,Helmet1,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,10,1,10,10,1,,,1002,1,87,87,0.8,1,0.12,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=8.8, MaxDurabilityPercent=0.88); (TotalRepairedDurability=16.055447, MaxDurabilityPercent=0.72554475); (TotalRepairedDurability=21.429298, MaxDurabilityPercent=0.53738505); (TotalRepairedDurability=24.708881, MaxDurabilityPercent=0.32795832); (TotalRepairedDurability=26.007002, MaxDurabilityPercent=0.12981202); (TotalRepairedDurability=27, MaxDurabilityPercent=0))",True,None
11010001003,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010001003,Helmet1,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,10,1,10,10,1,,,1002,1,87,87,0.8,1,0.09,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=9.1, MaxDurabilityPercent=0.91); (TotalRepairedDurability=17.008276, MaxDurabilityPercent=0.7908277); (TotalRepairedDurability=23.398811, MaxDurabilityPercent=0.63905346); (TotalRepairedDurability=27.971478, MaxDurabilityPercent=0.45726654); (TotalRepairedDurability=30.57867, MaxDurabilityPercent=0.26071942); (TotalRepairedDurability=31.429068, MaxDurabilityPercent=0.08503973); (TotalRepairedDurability=32, MaxDurabilityPercent=0))",True,None
11010001004,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",10001,0,False,(),,None,None,,0,,0,False,11010001004,Helmet1,1,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,12,1,12,12,1,,"(BuffId=905001, AttributeOperateIDs=); (BuffId=902001, AttributeOperateIDs=); (BuffId=902009, AttributeOperateIDs=)",1002,2,72,72,0.8,1,0.06,,10,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=11.28, MaxDurabilityPercent=0.94); (TotalRepairedDurability=21.580082, MaxDurabilityPercent=0.8583402); (TotalRepairedDurability=30.578846, MaxDurabilityPercent=0.749897); (TotalRepairedDurability=37.912853, MaxDurabilityPercent=0.61116725); (TotalRepairedDurability=43.238518, MaxDurabilityPercent=0.44380528); (TotalRepairedDurability=46.365707, MaxDurabilityPercent=0.2605991); (TotalRepairedDurability=47.4789, MaxDurabilityPercent=0.09276624); (TotalRepairedDurability=48, MaxDurabilityPercent=0))",True,None
11010002001,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",10013,0,False,(),,None,None,,0,,0,False,11010002001,Helmet2,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,18,1,18,18,2,,"(BuffId=905002, AttributeOperateIDs=); (BuffId=902006, AttributeOperateIDs=); (BuffId=902010, AttributeOperateIDs=)",1002,0,155,155,0.7,1,0.15,,10,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=15.3, MaxDurabilityPercent=0.85); (TotalRepairedDurability=27.22511, MaxDurabilityPercent=0.6625061); (TotalRepairedDurability=35.229122, MaxDurabilityPercent=0.44466737); (TotalRepairedDurability=39.215405, MaxDurabilityPercent=0.22146003); (TotalRepairedDurability=39.993904, MaxDurabilityPercent=0.043250117); (TotalRepairedDurability=40, MaxDurabilityPercent=0))",True,None
11010002002,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010002002,Helmet1,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,12,1,12,12,2,,,1002,1,204,204,0.7,1,0.12,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=10.56, MaxDurabilityPercent=0.88); (TotalRepairedDurability=19.266537, MaxDurabilityPercent=0.72554475); (TotalRepairedDurability=25.715157, MaxDurabilityPercent=0.53738505); (TotalRepairedDurability=29.650658, MaxDurabilityPercent=0.32795832); (TotalRepairedDurability=31.2084, MaxDurabilityPercent=0.12981202); (TotalRepairedDurability=32, MaxDurabilityPercent=0))",True,None
11010002003,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010002003,Helmet2,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,15,1,15,15,2,,,1002,1,174,174,0.7,1,0.09,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=13.65, MaxDurabilityPercent=0.91); (TotalRepairedDurability=25.512415, MaxDurabilityPercent=0.790828); (TotalRepairedDurability=35.098217, MaxDurabilityPercent=0.63905346); (TotalRepairedDurability=41.957214, MaxDurabilityPercent=0.45726654); (TotalRepairedDurability=45.868008, MaxDurabilityPercent=0.26071942); (TotalRepairedDurability=47.143604, MaxDurabilityPercent=0.08503973); (TotalRepairedDurability=48, MaxDurabilityPercent=0))",True,None
11010002004,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010002004,Helmet2,2,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,20,1,20,20,2,,,1002,2,144,144,0.7,1,0.06,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=18.8, MaxDurabilityPercent=0.94); (TotalRepairedDurability=35.966805, MaxDurabilityPercent=0.8583402); (TotalRepairedDurability=50.964745, MaxDurabilityPercent=0.749897); (TotalRepairedDurability=63.188087, MaxDurabilityPercent=0.61116725); (TotalRepairedDurability=72.06419, MaxDurabilityPercent=0.44380528); (TotalRepairedDurability=77.27618, MaxDurabilityPercent=0.2605991); (TotalRepairedDurability=79.1315, MaxDurabilityPercent=0.09276624); (TotalRepairedDurability=80, MaxDurabilityPercent=0))",True,None
11010003001,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",10014,0,False,(),,None,None,,0,,0,False,11010003001,Helmet2,3,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,28,1,28,28,3,,"(BuffId=901001, AttributeOperateIDs=); (BuffId=9010103, AttributeOperateIDs=); (BuffId=905002, AttributeOperateIDs=); (BuffId=902006, AttributeOperateIDs=); (BuffId=902010, AttributeOperateIDs=)",1002,0,265,265,0.5,1,0.06,,10,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=26.32, MaxDurabilityPercent=0.94); (TotalRepairedDurability=50.353523, MaxDurabilityPercent=0.8583402); (TotalRepairedDurability=71.35064, MaxDurabilityPercent=0.749897); (TotalRepairedDurability=88.463326, MaxDurabilityPercent=0.61116725); (TotalRepairedDurability=100.88987, MaxDurabilityPercent=0.44380528); (TotalRepairedDurability=108.186646, MaxDurabilityPercent=0.2605991); (TotalRepairedDurability=110.7841, MaxDurabilityPercent=0.09276624); (TotalRepairedDurability=111, MaxDurabilityPercent=0))",True,None
11010003002,0,0,50,,(),(),"(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",,1,(),"(AssetPath=None, SubPath=)",1,"(AssetPath=None, SubPath=)",1000,"(AssetPath=None, SubPath=)",0,0,False,(),,None,None,,0,,0,False,11010003002,Helmet1,3,False,"(BaseArmorType=EBaseArmorType::None, GlobalArmorLevel=0, PartNames=)",,,0,EEquipmentPart::TopOfHead,20,1,20,20,3,,,1002,1,333,333,0.5,1,0.1,,2,,True,"(DurabilityKeys=(TotalRepairedDurability=0, MaxDurabilityPercent=1); (TotalRepairedDurability=18, MaxDurabilityPercent=0.9); (TotalRepairedDurability=33.376366, MaxDurabilityPercent=0.76881826); (TotalRepairedDurability=45.459476, MaxDurabilityPercent=0.6041556); (TotalRepairedDurability=53.689873, MaxDurabilityPercent=0.41151986); (TotalRepairedDurability=57.923515, MaxDurabilityPercent=0.21168204); (TotalRepairedDurability=58.87898, MaxDurabilityPercent=0.04777325); (TotalRepairedDurability=59, MaxDurabilityPercent=0))",True,None
