RowName,FashionID,WearPosition,BelongedHeroID,IsDefUnlock,IsDefEquip,Name,BrandIcon,HeroItemIDs,Class,Icon,Desc,BundleIcons,GoodsId,SocialShareCDN,FashionMusicName,DisplayType,RowDescription
30000020001,30000020001,0,88000000033,True,True,,(),,2,(),,,0,,,2,None
30000020005,30000020005,0,88000000030,True,True,,(),,2,(),,,0,C=A65C5BA09110CF586DE8DB3B43D680131EA4A649AA742DF2B4B338752A4AC6CF49127BE58BF8C9090D0D60A0DE8CB421.jpg,,2,None
30000020003,30000020003,0,88000000028,True,True,,(),,2,(),,,0,C=6D393C3EF0203959918394031F692EC782A883FBF12FDA435B38EF738B3833F9DA28EFBEDFBC76BE899265F144C75B72.jpg,,2,None
30000020004,30000020004,0,88000000029,True,True,,(),,2,(),,,0,C=10A57DD375FEE047E6F282D0E3A55D66CBC4A0C7C54059EFE9334BFE8159E3203B6B9D946B42D648A03E60CD90ABBAAB.jpg,,2,None
30000020002,30000020002,0,88000000027,True,True,,(),,2,(),,,0,C=16A5032E8A8A7B63DC1F77C39814084D1EA4A649AA742DF2B4B338752A4AC6CF49127BE58BF8C9090D0D60A0DE8CB421.jpg,,2,None
30000020006,30000020006,0,88000000025,True,True,,(),,2,(),,,0,C=EEAEF1CF6470564595D994F046DAF7D33CF5CABE9C37A7525ED30608028D1C40DA28EFBEDFBC76BE899265F144C75B72.jpg,,2,None
30000020007,30000020007,0,88000000026,True,True,,(),,2,(),,,0,C=F5FA1E5EE7C87AA0A0DDA74B447A2E991EA4A649AA742DF2B4B338752A4AC6CF49127BE58BF8C9090D0D60A0DE8CB421.jpg,,2,None
30000020008,30000020008,0,88000000035,True,True,,(),,2,(),,,0,C=EE50B7B2156EDEF0A7A333B3288C484E341A60EA8A2738D0FFC685561C2847743B6B9D946B42D648A03E60CD90ABBAAB.jpg,,2,None
30000020009,30000020009,0,88000000036,True,True,,(),,2,(),,,0,C=A9E3EE89D9DB7C99DD5FBAF1B063203582A883FBF12FDA435B38EF738B3833F9DA28EFBEDFBC76BE899265F144C75B72.jpg,,2,None
30000020010,30000020010,0,88000000037,True,True,,(),,2,(),,,0,C=B87FF03BB7A998ECB09D70FB25937C86D56073193714A58B9644ECBBD3D67D40F6C144FAD9ACE84D8A81FE57F7B57118.jpg,,2,None
30000040003,30000040003,0,88000000030,False,False,,(),,4,(),,,0,C=11FC2B2552EC651F95379BD6837B918E30B0EDFBF0B3B1C67195C2C4323FBB64.jpg,,2,None
30000050002,30000050002,0,88000000025,False,False,,(),38110050001; 38110050002,5,(),,(); (),0,C=EEAEF1CF6470564595D994F046DAF7D383CF391F2CDF8A72A4420F4D75454B853B6B9D946B42D648A03E60CD90ABBAAB.jpg,,3,None
30000050008,30000050008,0,88000000027,False,False,,(),38110050003; 38110050004; 38110050005,5,(),,(); (); (),0,C=16A5032E8A8A7B63DC1F77C39814084D29B81E7EBC2B1D873B68BADFF1471136AD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000050009,30000050009,0,88000000029,False,False,,(),38110050006; 38110050007; 38110050008,5,(),,(); (); (),0,C=10A57DD375FEE047E6F282D0E3A55D6655CD074E637DB877447059E3BFC8A1C93B6B9D946B42D648A03E60CD90ABBAAB.jpg,,3,None
30000060001,30000060001,0,88000000030,False,False,,(),38110060001; 38110060002; 38060060001,6,(),,(); (); (),0,C=A65C5BA09110CF586DE8DB3B43D6801304DC0DC45BB451F073EBED0CE2A9841749127BE58BF8C9090D0D60A0DE8CB421.jpg,Music_BF_Win_KaiSkin1,3,None
30000060002,30000060002,0,88000000026,False,False,,(),38110060003; 38110060004; 38110060005; 38060060002,6,(),,(); (); (); (),0,C=F5FA1E5EE7C87AA0A0DDA74B447A2E9970CC6FBA73D94FFF4877ED48615EC12C9711668FA865990DD92CA5DDBF5D94AD.jpg,Music_BF_Win_HaizhuaSkin1,3,None
30000050010,30000050010,0,88000000025,False,False,,(),38110050012; 38110050013,5,(),,(); (),0,C=EEAEF1CF6470564595D994F046DAF7D3DD576C61F44F2F6E6B686FC84FA19661AD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000040004,30000040004,0,88000000035,False,False,,(),38110040009; 38110040010; 38110040011,4,(),,(); (); (),0,C=D9845E713AE34AC865ECCC889616DD88277296733877706767285343D8C543DE.jpg,,1,None
30000040005,30000040005,0,88000000030,False,False,,(),38110040022; 38110040023,4,(),,(); (),0,C=D9845E713AE34AC865ECCC889616DD88277296733877706767285343D8C543DE.jpg,,1,None
30000040006,30000040006,0,88000000027,False,False,,(),38110040019; 38110040020; 38110040021,4,(),,(); (); (),0,C=D9845E713AE34AC865ECCC889616DD88277296733877706767285343D8C543DE.jpg,,1,None
30000040007,30000040007,0,88000000029,False,False,,(),38110040016; 38110040017; 38110040018,4,(),,(); (); (),0,C=D9845E713AE34AC865ECCC889616DD88277296733877706767285343D8C543DE.jpg,,1,None
30000050011,30000050011,0,88000000025,False,False,,(),38110050014; 38110050015,5,(),,(); (),0,C=EEAEF1CF6470564595D994F046DAF7D353833AAE7FA4CFA452655EC26E3DE8099711668FA865990DD92CA5DDBF5D94AD.jpg,,3,None
30000020011,30000020011,0,88000000038,True,True,,(),,2,(),,,0,C=D2A6D06F7A68D1E25121A8629F6FE7611EA4A649AA742DF2B4B338752A4AC6CF49127BE58BF8C9090D0D60A0DE8CB421.jpg,,2,None
30000060003,30000060003,0,88000000027,False,False,,(),,6,(),,,0,,,2,None
30000050012,30000050012,0,88000000038,False,False,,(),38110050023; 38110050024,5,(),,(); (),0,C=90E2E52522B6499B214727DE2741581EE910C33299C1001BF00F0270693E5D9EF6C144FAD9ACE84D8A81FE57F7B57118.jpg,,3,None
30000050013,30000050013,0,88000000025,False,False,,(),38110050020; 38110050021,5,(),,(); (),0,C=84B8D101C4C57B00B23572300DA3747A7CA1EF54778CF983258986C1536DAC2849127BE58BF8C9090D0D60A0DE8CB421.jpg,,3,None
30000020012,30000020012,0,88000000039,True,True,,(),,2,(),,,0,C=BD2FD0589897635BB573360529C77EAEDC141B37A348BE0E0FD7C428FB9E793DF6C144FAD9ACE84D8A81FE57F7B57118.jpg,,2,None
30000060004,30000060004,0,88000000028,False,False,,(),38110060007; 38110060008; 38060060004,6,(),,(); (); (),0,C=8E69520049EDFC4D536A03ECCB30276503F679F46C24A266CA0BBE6354DEF8759711668FA865990DD92CA5DDBF5D94AD.jpg,Music_BF_Win_Luna_Black,3,None
30000060005,30000060005,0,88000000036,False,False,,(),38110060009; 38110060010; 38110060011; 38060060003,6,(),,(); (),0,C=DBE9C15D4258000E6D2B51779DDD4608CFEC510084355B3115295DDFF3BC662B9711668FA865990DD92CA5DDBF5D94AD.jpg,Music_BF_Win_Zoya_Angel,3,None
30000050014,30000050014,0,88000000027,False,False,,(),38110050026; 38110050025; 38110050027,5,(),,(); (); (),0,C=8B76B4A5881A0E7F0AC6B8C5E0C2EF8B77DF6BC6D06615BA87DE485C677848199711668FA865990DD92CA5DDBF5D94AD.jpg,,3,None
30000020013,30000020013,0,88000000040,True,True,,(),,2,(),,,0,C=AD94EE57D3EE3525AA1B2430959609624E6F5E305CA9A06A666E4387798C7875AD9561FDA37BA0786A55FC11A68CCE76.jpg,,2,None
30000060006,30000060006,0,88000000026,False,False,,(),38110060012; 38110060013; 38110060014; 38060060005,6,(),,(); (); (); (),0,C=F5FA1E5EE7C87AA0A0DDA74B447A2E995C80C26106D1D46A4003820A76105BC6AD9561FDA37BA0786A55FC11A68CCE76.jpg,Music_BF_Win_AN252G_xl,3,None
30000050015,30000050015,0,88000000030,False,False,,(),38110050028; 38110050029,5,(),,,0,C=A65C5BA09110CF586DE8DB3B43D68013E20CE74E6C69067790D0AAE1C5DB81B6AD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000050016,30000050016,0,88000000037,False,False,,(),38110050031; 38110050032; 38110050033,5,(),,,0,C=B87FF03BB7A998ECB09D70FB25937C86281EC764B5E8BB7AEAACA764F22552ACAD9561FDA37BA0786A55FC11A68CCE76.jpg,,3,None
30000050017,30000050017,0,88000000038,False,False,,(),38110050037; 38110050038,5,(),,,0,C=90E2E52522B6499B214727DE2741581EE0E881F841D252A16999D7DBD17412789711668FA865990DD92CA5DDBF5D94AD.jpg,,2,None
30000020014,30000020014,0,88000000041,True,True,,(),,2,(),,,0,C=9BA5C70FACB0665F1DF8A77C9A7AA57DA7D791C29B402AE19D814284219F9C943B6B9D946B42D648A03E60CD90ABBAAB.jpg,,2,None
