RowName,HeroItemID,HeroItemName,HeroItemLevel,HeroItemImage,HeroItemModel,HeroItemVideoName,MysticalHeroItemVideoNames,AnimClassPath,HeroItemDesc,GoodsId,DisplayType,RowDescription
38110050001,38110050001,,5,(),(),None,,(),,0,1,None
38110050002,38110050002,,5,(),(),None,,(),,0,1,None
38110060001,38110060001,,6,(),(),38110060001,,(),,0,1,None
38110060002,38110060002,,6,(),(),38110060002,,(),,0,1,None
38110050003,38110050003,,5,(),(),None,,(),,0,1,None
38110050004,38110050004,,5,(),(),None,,(),,0,1,None
38110050005,38110050005,,5,(),(),None,,(),,0,1,None
38110050006,38110050006,,5,(),(),None,,(),,0,1,None
38110050007,38110050007,,5,(),(),None,,(),,0,1,None
38110050008,38110050008,,5,(),(),None,,(),,0,1,None
38110060003,38110060003,,6,(),(),38110060003,Inspect_Basic; Inspect_Knife; Inspect_UAV; Inspect_Song; Inspect_Surprise; Inspect_Photo,(),,0,1,None
38110060004,38110060004,,6,(),(),38110060004,,(),,0,1,None
38110060005,38110060005,,6,(),(),38110060005,,(),,0,1,None
38110040009,38110040009,,4,(),(),None,,(),,0,1,None
38110040010,38110040010,,4,(),(),None,,(),,0,1,None
38110040011,38110040011,,4,(),(),None,,(),,0,1,None
38110050012,38110050012,,5,(),(),None,,(),,0,1,None
38110050013,38110050013,,5,(),(),None,,(),,0,1,None
38110050014,38110050014,,5,(),(),None,,(),,0,1,None
38110050015,38110050015,,5,(),(),None,,(),,0,1,None
38110040016,38110040016,,4,(),(),None,,(),,0,1,None
38110040017,38110040017,,4,(),(),None,,(),,0,1,None
38110040018,38110040018,,4,(),(),None,,(),,0,1,None
38110040019,38110040019,,4,(),(),None,,(),,0,1,None
38110040020,38110040020,,4,(),(),None,,(),,0,1,None
38110040021,38110040021,,4,(),(),None,,(),,0,1,None
38110040022,38110040022,,4,(),(),None,,(),,0,1,None
38110040023,38110040023,,4,(),(),None,,(),,0,1,None
38110040024,38110040024,,4,(),(),None,,(),,0,1,None
38110060006,38110060006,,6,(),(),None,,(),,0,1,None
38110050016,38110050016,,5,(),(),None,,(),,0,1,None
38110050017,38110050017,,5,(),(),None,,(),,0,1,None
38110050018,38110050018,,5,(),(),None,,(),,0,1,None
38110050019,38110050019,,5,(),(),None,,(),,0,1,None
38110050020,38110050020,,5,(),(),None,,(),,0,1,None
38110050021,38110050021,,5,(),(),None,,(),,0,1,None
38110050022,38110050022,,5,(),(),None,,(),,0,1,None
38110050023,38110050023,,5,(),(),None,,(),,0,1,None
38110050024,38110050024,,5,(),(),None,,(),,0,1,None
38110060007,38110060007,,6,(),(),38110060007,,(),,0,1,None
38110060008,38110060008,,6,(),(),38110060008,,(),,0,1,None
38110060009,38110060009,,6,(),(),38110060009,,(),,0,1,None
38110060010,38110060010,,6,(),(),38110060010,,(),,0,1,None
38110060011,38110060011,,6,(),(),38110060011,,(),,0,1,None
38110050025,38110050025,,5,(),(),None,,(),,0,1,None
38110050026,38110050026,,5,(),(),None,,(),,0,1,None
38110050027,38110050027,,5,(),(),None,,(),,0,1,None
38110060012,38110060012,,6,(),(),38110060012,,(),,0,1,None
38110060013,38110060013,,6,(),(),38110060013,,(),,0,1,None
38110060014,38110060014,,6,(),(),38110060014,,(),,0,1,None
38110050028,38110050028,,5,(),(),None,,(),,0,1,None
38110050029,38110050029,,5,(),(),None,,(),,0,1,None
38110050030,38110050030,,5,(),(),None,,(),,0,1,None
38110050031,38110050031,,5,(),(),None,,(),,0,1,None
38110050032,38110050032,,5,(),(),None,,(),,0,1,None
38110050033,38110050033,,5,(),(),None,,(),,0,1,None
38110060015,38110060015,,6,(),(),None,,(),,0,1,None
38110060016,38110060016,,6,(),(),None,,(),,0,1,None
38110050034,38110050034,,5,(),(),None,,(),,0,1,None
38110050035,38110050035,,5,(),(),None,,(),,0,1,None
38110050036,38110050036,,5,(),(),None,,(),,0,1,None
38110050037,38110050037,,5,(),(),None,,(),,0,1,None
38110050038,38110050038,,5,(),(),None,,(),,0,1,None
38110050039,38110050039,,5,(),(),None,,(),,0,1,None
38110050040,38110050040,,5,(),(),None,,(),,0,1,None
38110050041,38110050041,,5,(),(),None,,(),,0,1,None
38110060017,38110060017,,6,(),(),38110060017,,(),,0,1,None
38110060018,38110060018,,6,(),(),38110060018,,(),,0,1,None
38110060019,38110060019,,6,(),(),38110060019,,(),,0,1,None
38110050042,38110050042,,5,(),(),None,,(),,0,1,None
38110050043,38110050043,,5,(),(),None,,(),,0,1,None
38110050044,38110050044,,5,(),(),None,,(),,0,1,None
38110050045,38110050045,,5,(),(),None,,(),,0,1,None
38110050046,38110050046,,5,(),(),None,,(),,0,1,None
38110050047,38110050047,,5,(),(),None,,(),,0,1,None
38110050048,38110050048,,5,(),(),None,,(),,0,1,None
38110050049,38110050049,,5,(),(),None,,(),,0,1,None
38110060020,38110060020,,6,(),(),None,,(),,0,1,None
38110060021,38110060021,,6,(),(),None,,(),,0,1,None
38110060022,38110060022,,6,(),(),None,,(),,0,1,None
