RowName,ID,Name,Title,TeamIcon,Birthday,Height,Weight,Organization,OrganizationIcon,Evaluation,HeroBGPath,ArchiveIds,ArmIcon,RowDescription
88000000030,88000000030,,,(),,,,,(),,(),1001; 1002; 2001; 3001,(),None
88000000028,88000000028,,,(),,,,,(),,(),1003; 2002; 3002,(),None
88000000029,88000000029,,,(),,,,,(),,(),1004; 1016; 2003; 3003,(),None
88000000027,88000000027,,,(),,,,,(),,(),1005; 1006; 1007; 2004; 3004,(),None
88000000025,88000000025,,,(),,,,,(),,(),1008; 1009; 1010; 2005; 3005,(),None
88000000026,88000000026,,,(),,,,,(),,(),1011; 1012; 1013; 2006; 3006,(),None
88000000035,88000000035,,,(),,,,,(),,(),1014; 1015; 2007; 3007,(),None
88000000036,88000000036,,,(),,,,,(),,(),1019; 1017; 1018; 2008; 3008,(),None
88000000037,88000000037,,,(),,,,,(),,(),1020; 1021; 1022; 2009; 3009,(),None
88000000038,88000000038,,,(),,,,,(),,(),1023; 1024; 1025; 2010; 3010,(),None
88000000039,88000000039,,,(),,,,,(),,(),1026; 1027; 2011; 3011,(),None
88000000040,88000000040,,,(),,,,,(),,(),1026; 1027; 2011; 3011,(),None
88000000041,88000000041,,,(),,,,,(),,(),1031; 1032; 1033; 2013; 3013,(),None
88000000045,88000000045,,,(),,,,,(),,(),1034; 1035; 1036; 2014; 3014,(),None
88000000046,88000000046,,,(),,,,,(),,(),1037; 1038; 1039; 2015; 3015,(),None
