RowName,SceneVideoId,DefaultSceneVideoId,MatchSceneVideoInId,MatchSceneVideoLoopId,RowDescription
DefaultVideo,DefaultVideoIn,DefaultVideoLoop,DefaultVideoIn,DefaultVideoLoop,None
88000000028,Luna_in,Luna_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000025,Wang_in,Wang_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000026,Mai_in,Mai_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000027,Roy_in,Roy_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000029,Terry_in,Terry_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000030,Kai_in,Kai_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000035,David_in,David_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000036,Zoya_in,Zoya_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000037,Sineva_in,Sineva_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000038,Nox_in,Nox_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000039,Claire_in,Claire_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000040,Raptor_in,Raptor_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000041,Rashid_in,Rashid_loop,DefaultVideoIn,DefaultVideoLoop,None
88000000045,Vlinder_in,Vlinder_loop,DefaultVideoIn,DefaultVideoLoop,None
30000060001,Kai-Subrosa-in,Kai-Subrosa-loop,Kai-Subrosa-in,Kai-Subrosa-loop,None
30000060002,Hack_ink_in,Hack_ink_loop,Hack_ink_in,Hack_ink_loop,None
30000060003,Roy_Deep_in,Roy_Deep_loop,Roy_Deep_in,Roy_Deep_loop,None
30000060004,Luna_AN_in,Luna_AN_loop,Luna_AN_in,Luna_AN_loop,None
30000060005,Zoya_AN_in,Zoya_AN_loop,Zoya_AN_in,Zoya_AN_loop,None
30000060006,Hack_AN_in,Hack_AN_loop,Hack_AN_in,Hack_AN_loop,None
30000060007,Wang_in,Wang_loop,Wang_in,Wang_loop,None
30000020015,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
30000020016,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
30000020017,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
88000000042,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
88000000043,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
88000000044,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,FieryOwl_loop,None
88000000046,Morse_in,Morse_loop,DefaultVideoIn,DefaultVideoLoop,None
