RowName,UniqueID,MatchModeID,MapBoxConfig,BoxId,HighValueProportion
1,1,141901103,0,934;952;938;930;946,0.3
2,2,142201103,0,934;952;938;930;946,0.3
3,3,148101103,0,934;952;938;930;946,0.3
4,4,141911101,0,934;952;938;930;946,0.3
5,5,142211101,0,934;952;938;930;946,0.3
6,6,148801103,0,934;952;938;930;946,0.3
7,7,142231133,0,934;952;938;930;946,0.3
8,8,141901103,0,955;909;957;956,0.3
9,9,142201103,0,955;909;957;956,0.3
10,10,148101103,0,955;909;957;956,0.3
11,11,141911101,0,955;909;957;956,0.3
12,12,142211101,0,955;909;957;956,0.3
13,13,148801103,0,955;909;957;956,0.3
14,14,142231133,0,955;909;957;956,0.3
15,15,141902113,0,934;952;938;930;946,0.4
16,16,142202113,0,934;952;938;930;946,0.4
17,17,141912111,0,934;952;938;930;946,0.4
18,18,142212111,0,934;952;938;930;946,0.4
19,19,142232143,0,934;952;938;930;946,0.4
20,20,148102113,0,934;952;938;930;946,0.4
21,21,143901113,0,934;952;938;930;946,0.4
22,22,148802113,0,934;952;938;930;946,0.4
23,23,142242173,0,934;952;938;930;946,0.4
24,24,141902113,0,955;909;957;956,0.4
25,25,142202113,0,955;909;957;956,0.4
26,26,141912111,0,955;909;957;956,0.4
27,27,142212111,0,955;909;957;956,0.4
28,28,142232143,0,955;909;957;956,0.4
29,29,148102113,0,955;909;957;956,0.4
30,30,143901113,0,955;909;957;956,0.4
31,31,148802113,0,955;909;957;956,0.4
32,32,142242173,0,955;909;957;956,0.4
33,33,148103123,0,934;952;938;930;946,0.5
34,34,143902123,0,934;952;938;930;946,0.5
35,35,148803123,0,934;952;938;930;946,0.5
36,36,148103123,0,955;909;957;956,0.5
37,37,143902123,0,955;909;957;956,0.5
38,38,148803123,0,955;909;957;956,0.5
39,39,141901103,100,934;952;938;930;946,0.3
40,40,142201103,100,934;952;938;930;946,0.3
41,41,148101103,100,934;952;938;930;946,0.3
42,42,141911101,100,934;952;938;930;946,0.3
43,43,142211101,100,934;952;938;930;946,0.3
44,44,148801103,100,934;952;938;930;946,0.3
45,45,142231133,100,934;952;938;930;946,0.3
46,46,141901103,100,955;909;957;956,0.3
47,47,142201103,100,955;909;957;956,0.3
48,48,148101103,100,955;909;957;956,0.3
49,49,141911101,100,955;909;957;956,0.3
50,50,142211101,100,955;909;957;956,0.3
51,51,148801103,100,955;909;957;956,0.3
52,52,142231133,100,955;909;957;956,0.3
53,53,141901103,200,934;952;938;930;946,0.3
54,54,142201103,200,934;952;938;930;946,0.3
55,55,148101103,200,934;952;938;930;946,0.3
56,56,141911101,200,934;952;938;930;946,0.3
57,57,142211101,200,934;952;938;930;946,0.3
58,58,148801103,200,934;952;938;930;946,0.3
59,59,142231133,200,934;952;938;930;946,0.3
60,60,141901103,200,955;909;957;956,0.3
61,61,142201103,200,955;909;957;956,0.3
62,62,148101103,200,955;909;957;956,0.3
63,63,141911101,200,955;909;957;956,0.3
64,64,142211101,200,955;909;957;956,0.3
65,65,148801103,200,955;909;957;956,0.3
66,66,142231133,200,955;909;957;956,0.3
