RowName,UniqueID,MapIDs,RoomId,BoxIDs,SpawnExpectation,FloatingCoefficient
Room_001,1,8901; 8902; 89,S1_后处理厂一号楼_二楼_办公室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_002,2,8901; 8902; 89,S1_后处理厂三号楼_二楼_控制室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_003,3,8901; 8902; 89,S1_科学院_一楼_办公室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_004,4,8901; 8902; 89,S1_科学院_三楼_控制室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_005,5,8901; 8902; 89,S2_发电厂_一楼_机房,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_006,6,8901; 8902; 89,S2_发电厂_一楼_库房,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_007,7,8901; 8902; 89,S3_RBMK主楼_三楼_机房,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_008,8,8901; 8902; 89,S3_RBMK主楼_二楼_办公室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_009,9,8901; 8902; 89,S3_RBMK主楼_一楼_线圈库房,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_010,10,8901; 8902; 89,S3_RBMK主楼_一楼_库房1,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_011,11,8901; 8902; 89,S3_RBMK主楼_二楼_蒸汽机室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_012,12,8901; 8902; 89,S3_RBMK主楼_三楼_实验室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_013,13,8901; 8902; 89,S5_仓库_一楼_库房1,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_014,14,8901; 8902; 89,S5_污水处理厂_负一楼_废水池,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_015,15,8901; 8902; 89,S5_仿星室_负一楼_库房3,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_016,16,8901; 8902; 89,S5_污水处理厂_负一楼_下水道控制室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_017,17,8901; 8902; 89,S5_水房_二楼_控制室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
Room_018,18,8901; 8902; 89,S5_办公楼_一楼_办公室,937; 900; 943; 950; 956; 957; 909; 947; 908; 955; 934; 952; 946; 926; 930; 940; 938; 936; 914; 913; 906; 933; 948; 916; 905; 927; 945; 949; 902,1,()
