RowName,Key,TypeID,PresetID,PresetPrice,ApplyScore,RefreshScore,Weight,PresetTitle,RowDescription
1,1,1,1,200,200,0,1,,None
2,2,1,2,200,200,0,1,,None
3,3,2,1,200,200,0,1,,None
4,4,2,2,200,200,0,1,,None
5,5,2,3,200,200,0,1,,None
6,6,3,1,200,200,0,1,,None
7,7,3,2,200,200,0,1,,None
8,8,4,1,1000,1000,0,1,,None
9,9,4,2,1000,1000,0,1,,None
10,10,4,3,1000,1000,0,1,,None
11,11,4,4,1000,1000,0,1,,None
12,12,5,1,1000,1000,0,1,,None
13,13,5,2,1000,1000,0,1,,None
14,14,5,3,1000,1000,0,1,,None
15,15,5,4,1000,1000,0,1,,None
16,16,6,1,1000,1000,0,1,,None
17,17,6,2,1000,1000,0,1,,None
18,18,7,1,2500,2500,0,1,,None
19,19,7,2,2500,2500,0,1,,None
20,20,8,1,2500,2500,0,1,,None
21,21,8,2,2500,2500,0,1,,None
22,22,8,3,2500,2500,0,1,,None
23,23,8,4,2500,2500,0,1,,None
24,24,8,5,2500,2500,0,1,,None
25,25,9,1,2500,2500,0,1,,None
26,26,9,2,2500,2500,0,1,,None
27,27,10,1,4000,4000,0,1,,None
28,28,10,2,4000,4000,0,1,,None
29,29,11,1,4000,4000,0,1,,None
30,30,11,2,4000,4000,0,1,,None
31,31,11,3,4000,4000,0,1,,None
32,32,11,4,4000,4000,0,1,,None
33,33,12,1,4000,4000,0,1,,None
34,34,13,1,6000,6000,0,1,,None
35,35,13,2,6000,6000,0,1,,None
36,36,14,1,6000,6000,0,1,,None
37,37,14,2,6000,6000,0,1,,None
38,38,15,1,6000,6000,500,3,,None
39,39,15,2,6000,6000,500,3,,None
40,40,15,3,6000,6000,500,1,,None
41,41,12,2,4000,4000,0,1,,None
