RowName,ExchangeID,ItemID,PageId,PagePropTypes,Level,Name,ItemIcon,AttachPosition,ConsumeMerit,Quality,ItemIDInBP,RowDescription
101001,101001,10010000002,3,1001,1,M4A1标准预设,"(AssetPath=/Game/UI/UIAtlas/Global/G_Temp/G_Temp/BakedSprite/G_Temp_Icon_05.G_Temp_Icon_05, SubPath=)",112,10,1,"(Category=1001000, Sequence=2)",None
101003,101003,10010000004,3,1001,3,AKM低档预设2号,"(AssetPath=/Game/UI/UIAtlas/Global/G_Temp/G_Temp/BakedSprite/G_Temp_Icon_03.G_Temp_Icon_03, SubPath=)",112,11,3,"(Category=1001000, Sequence=4)",None
101004,101004,10060000001,3,1006,1,SV98M标准预设,"(AssetPath=/Game/UI/UIAtlas/Global/G_Temp/G_Temp/BakedSprite/G_Temp_Icon_03.G_Temp_Icon_03, SubPath=)",112,12,1,"(Category=1006000, Sequence=1)",None
101005,101005,10010000014,3,1001,2,QBZ97A标准预设,"(AssetPath=None, SubPath=)",112,13,2,"(Category=1001000, Sequence=14)",None
101006,101006,10010000015,3,1001,3,AKM精英预设,"(AssetPath=None, SubPath=)",112,14,3,"(Category=1001000, Sequence=15)",None
101007,101007,10070000001,3,1007,1,MP443标准预设,"(AssetPath=None, SubPath=)",112,15,1,"(Category=1007000, Sequence=1)",None
101008,101008,10020000001,3,1002,2,MP5标准预设,"(AssetPath=None, SubPath=)",112,16,2,"(Category=1002000, Sequence=1)",None
101009,101009,10020000004,3,1002,3,P90标准预设,"(AssetPath=None, SubPath=)",112,17,3,"(Category=1002000, Sequence=4)",None
101010,101010,11010001001,4,1101,1,坦克头盔,"(AssetPath=None, SubPath=)",101,18,1,"(Category=1101000, Sequence=1001)",None
101011,101011,11010002001,4,1101,2,三角洲部队HAT,"(AssetPath=None, SubPath=)",101,19,2,"(Category=1101000, Sequence=2001)",None
101012,101012,11010002002,4,1101,3,防火头盔,"(AssetPath=None, SubPath=)",101,20,3,"(Category=1101000, Sequence=2002)",None
101013,101013,11020000001,4,1102,1,军用通信蓝牙耳机,"(AssetPath=None, SubPath=)",102,21,1,"(Category=1102000, Sequence=1)",None
101014,101014,11020000002,4,1102,2,GSSh-01有源耳机,"(AssetPath=None, SubPath=)",102,22,2,"(Category=1102000, Sequence=2)",None
101015,101015,11020000003,4,1102,3,DF-1降噪监听耳机,"(AssetPath=None, SubPath=)",102,23,3,"(Category=1102000, Sequence=3)",None
101016,101016,15010010001,5,1501,1,换药包,"(AssetPath=None, SubPath=)",0,24,1,"(Category=1501001, Sequence=1)",None
101017,101017,15010010001,5,1501,2,止血绷带,"(AssetPath=None, SubPath=)",0,25,2,"(Category=1501001, Sequence=1)",None
101018,101018,15010010001,5,1501,3,高级换药盒,"(AssetPath=None, SubPath=)",0,26,3,"(Category=1501001, Sequence=1)",None
101019,101019,19010020001,5,1901,1,士力架,"(AssetPath=None, SubPath=)",0,27,1,"(Category=1901002, Sequence=1)",None
101020,101020,19010020002,5,1901,2,柠檬茶,"(AssetPath=None, SubPath=)",0,28,2,"(Category=1901002, Sequence=2)",None
101021,101021,19010030001,5,1901,3,炒面,"(AssetPath=None, SubPath=)",0,29,3,"(Category=1901003, Sequence=1)",None
101022,101022,21010000001,5,210,2,进攻型破片手雷M67,"(AssetPath=None, SubPath=)",0,30,2,"(Category=2101000, Sequence=1)",None
101023,101023,21020100001,5,210,3,M83烟雾弹,"(AssetPath=None, SubPath=)",0,31,3,"(Category=2102010, Sequence=1)",None
101024,101024,21020100002,5,210,1,原创烟雾弹,"(AssetPath=None, SubPath=)",0,32,1,"(Category=2102010, Sequence=2)",None
101025,101025,21020200001,5,210,2,M84闪光弹,"(AssetPath=None, SubPath=)",0,33,2,"(Category=2102020, Sequence=1)",None
