RowName,TagID,Desc,bIsMainTag,ParentTagID,RowDescription
0,0,,1,0,None
1,1,,1,0,None
2,2,,1,0,None
3,3,,1,0,None
4,4,,1,0,None
5,5,,1,0,None
6,6,,1,0,None
7,7,,1,0,None
8,8,,1,0,None
9,9,,1,0,None
10,10,,1,0,None
11,11,,1,0,None
12,12,,1,0,None
13,13,,1,0,None
14,14,,1,0,None
15,15,,1,0,None
16,16,,1,0,None
101,101,,0,1,None
102,102,,0,1,None
103,103,,0,1,None
104,104,,0,1,None
105,105,,0,1,None
106,106,,0,1,None
107,107,,0,1,None
108,108,,0,1,None
201,201,,0,2,None
202,202,,0,2,None
203,203,,0,2,None
204,204,,0,2,None
301,301,,0,3,None
302,302,,0,3,None
303,303,,0,3,None
304,304,,0,3,None
305,305,,0,3,None
306,306,,0,3,None
307,307,,0,3,None
315,315,,0,3,None
401,401,,0,4,None
402,402,,0,4,None
403,403,,0,4,None
404,404,,0,4,None
405,405,,0,4,None
406,406,,0,4,None
407,407,,0,4,None
408,408,,0,4,None
409,409,,0,4,None
501,501,,0,5,None
502,502,,0,5,None
503,503,,0,5,None
504,504,,0,5,None
505,505,,0,5,None
506,506,,0,5,None
507,507,,0,5,None
510,510,,0,5,None
511,511,,0,5,None
512,512,,0,5,None
513,513,,0,5,None
514,514,,0,5,None
515,515,,0,5,None
516,516,,0,5,None
517,517,,0,5,None
518,518,,0,5,None
519,519,,0,5,None
520,520,,0,5,None
521,521,,0,5,None
522,522,,0,5,None
523,523,,0,5,None
524,524,,0,5,None
525,525,,0,5,None
526,526,,0,5,None
527,527,,0,5,None
528,528,,0,5,None
529,529,,0,5,None
601,601,,0,6,None
701,701,,0,7,None
702,702,,0,7,None
801,801,,0,8,None
802,802,,0,8,None
803,803,,0,8,None
1601,1601,,0,16,None
1602,1602,,0,16,None
1603,1603,,0,16,None
1604,1604,,0,16,None
1605,1605,,0,16,None
1606,1606,,0,16,None
1607,1607,,0,16,None
1608,1608,,0,16,None
1609,1609,,0,16,None
1610,1610,,0,16,None
1621,1621,,0,16,None
1631,1631,,0,16,None
