RowName,MapID,DisplayName,LevelName,SubWorldName,LevelFullPath,TargetKillCount,MaxMatchDuration,bAddToCook,bShowInMapSelection,bUseFastNetFrame,MapDesc,bStreamingLevel,bUsePSOCache,bInGameLevel,bShouldWaitingAllPlayerLoadComplete,DoorKeyConsumeMultiple,RowDescription
1,1,,TestMap_LootGame,,/Game/Maps/TestMap/GameTest/TestMap_LootGame,80,360,False,True,True,,False,False,False,False,1,None
2,2,,TestMap_3C,,/Game/Maps/TestMap/3CTest/TestMap_3C,0,1800,True,True,True,,False,False,False,False,1,None
3,3,,TestAIMap,,/Game/Maps/TestMap/AITest/TestAIMap,0,1800,False,True,True,,False,False,False,False,1,None
4,4,,Demo0_Main,,/Game/Maps/Demo0/Demo0_Main,0,1800,False,True,True,,False,False,False,False,1,None
5,5,,Sandbox,,/Game/Maps/TestMap/Sandbox,0,1800,True,True,True,,False,False,False,False,1,None
6,6,,FrontEndStart,,/Game/Maps/FrontEnd/FrontEndStart,0,1800,True,True,True,,False,False,False,False,1,None
7,7,,TestMaps,,/Game/Maps/TestMap/TestMaps,0,1800,True,True,True,,False,False,False,False,1,None
8,8,,Demo1_Main,,/Game/Maps/Demo1/Demo1_Main,0,1800,False,True,True,,False,False,False,False,1,None
9,9,,LDOnBoarding_v15,,/Game/Maps/TestMap/Level_Prototype/LD_Zap/ExportedTDMLevel_V11M/LDOnBoarding/LDOnBoarding_v15,0,1800,False,True,True,,False,False,False,False,1,None
10,10,,ZeroDam,,/Game/Maps/Dam/ZeroDam,0,1800,False,True,True,,True,False,True,False,1,None
11,11,,FrontEndQuickStart,,/Game/Maps/FrontEnd/FrontEndQuickStart,0,1800,False,True,True,,False,False,False,False,1,None
12,12,,MatTest,,/Game/Maps/WeaponAssemble/MatTest,0,1800,False,True,True,,False,False,False,False,1,None
14,14,,LandscapeTestMap,,/Game/Maps/LandscapeShdingTest/LandscapeTestMap,0,1800,False,True,True,,False,False,False,False,1,None
15,15,,Provence,,/Game/Maps/Provence/Provence,0,1800,False,True,True,,False,False,False,False,1,None
16,16,,DataCenterTDM,,/Game/Maps/TestMap/Level_Prototype/LD_Kai/DataCenterTDM,0,1800,False,True,True,,False,False,False,False,1,None
17,17,,EmptyScene,,/Game/Maps/EmptyScene,0,1800,False,True,True,,False,False,False,False,1,None
18,18,,OldCity,,/Game/Maps/CooPVE/OldCity/OldCity,0,1800,True,True,True,,True,False,False,True,1,None
19,19,,Forrest,Forrest,/Game/Maps/Iris_Entry/Iris_Entry,0,24000,False,True,True,,True,True,True,False,1,None
20,20,,Tank,,/Game/Maps/Tank/Tank,0,1800,False,True,True,,False,False,False,False,1,None
21,21,,Sandbox_Car,,/Game/Maps/TestMap/Sandbox_Car,80,1800,False,True,True,,False,False,False,False,1,None
22,22,,Dam_Iris,Dam_Iris,/Game/Maps/Iris_Entry/Iris_Entry,0,1800,False,True,True,,True,True,True,False,1,None
23,23,,Loading,,/Game/Maps/Loading/LoadingMap,0,1800,True,True,True,,False,False,False,False,1,None
24,24,,Iris_Raid,,/Game/Maps/Iris_Raid/Iris_Raid,0,1800,False,True,True,,True,False,True,True,1,None
241,241,,DestructibleItemDemo,,/Game/Maps/TestMap/DestructibleItem/DestructibleItemDemo,0,24000,True,True,True,,True,True,True,False,1,None
25,25,,TestMap_IrisWorld,,/Game/Maps/TestMap/GameTest/TestMap_IrisWorld,0,1800,False,True,True,,False,False,True,False,1,None
26,26,,TestMap_CharacterAvatar,,/Game/Maps/TestMap/CharacterTest/TestMap_Character,0,1800,False,True,True,,False,False,False,False,1,None
27,27,,GroupAI_Debug,,/Game/Maps/TestMap/AITest/GroupAI_Debug,0,1800,False,True,True,,False,False,False,False,1,None
28,28,,AntarcticStationTestBP1,,/Game/Maps/TestMap/Level_Prototype/LD_aurelianbai/Maps/TDM/AntarcticStationTestBP1,80,1800,False,True,True,,False,False,False,False,1,None
29,29,,TestMap_PVPVE,,/Game/Maps/TestMap/GameTest/TestMap_PVPVE,0,1800,False,True,True,,False,False,False,False,1,None
30,30,,Audiovisualize,,/Game/Maps/TestMap/GameTest/TestMap_Audiovisualize,0,1800,False,True,True,,False,False,False,False,1,None
31,31,,Museum_v13_Release,,/Game/Maps/TestMap/Level_Prototype/LD_Seth/Museum_v13_Release,80,1800,False,True,True,,False,False,False,False,1,None
32,32,,TestMap_Effect,,/Game/Maps/TestMap/EffectTest/TestMap_Effect,0,1800,False,True,True,,False,False,False,False,1,None
33,33,,Cracked_Breakthrough,,/Game/Maps/Cracked_Breakthrough/Cracked_Breakthrough,80,1800,True,True,True,,False,False,False,False,1,None
34,34,,Cracked_Conquest,,/Game/Maps/Cracked_Conquest/Cracked_Conquest,80,1800,True,True,True,,False,False,False,False,1,None
35,35,,ghongxu,,/Game/Maps/Iris_SceneProfile/Iris_SceneProfile,0,1800,False,True,True,,False,False,False,False,1,None
36,36,,PracticeRange,,/Game/Maps/PracticeRange/TestMap_PracticeRange,0,1800,False,True,True,,False,False,False,False,1,None
37,37,,Bristol_Dom,,/Game/Maps/TestMap/Level_Prototype/LD_AceQin/Bristol_Dom,80,1800,False,True,True,,False,False,False,False,1,None
