RowName,HeatMapTag,GemGameSettings,RowDescription
Iceland,Iceland,"(MapName=Iceland, SceneLoc=[(1224, -1160), (1224, -2725), (2789.25070312, -2725), (2789, -1160)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Monument,Monument,"(MapName=Monument, SceneLoc=[(62, -12), (62, -1907), (1957.43554688, -1907), (1957, -12)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Cracked,Cracked,"(MapName=Cracked, SceneLoc=[(452, -363), (452, -1563), (1652.8, -1563), (1652, -363)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Collapse,Collapse,"(MapName=Collapse, SceneLoc=[(422, -487), (422, -1547), (1522, -1547), (1522, -487)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Fault,Fault,"(MapName=Fault, SceneLoc=[(1247, -1124), (1247, -2674), (2797.79703125, -2674), (2797, -1124)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Crest,Crest,"(MapName=Crest, SceneLoc=[(1530, -1430), (1530, -2570), (2670.0, -2570), (2670, -1430)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Retrowar,Retrowar,"(MapName=Retrowar, SceneLoc=[(425, -435), (425, -1635), (1625.0, -1635), (1625, -435)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Gibraltar,Gibraltar,"(MapName=Gibraltar, SceneLoc=[(-251, 1195), (-251, 191), (752.49779297, 191), (752, 1195)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
NavalBattle,NavalBattle,"(MapName=NavalBattle, SceneLoc=[(167, -4), (167, -1749), (1912.21640624, -1749), (1912, -4)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Shafted,Shafted,"(MapName=Shafted, SceneLoc=[(1224, -1161), (1224, -2726), (2789, -2726), (2789, -1161)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Derail,Derail,"(MapName=Derail, SceneLoc=[(200, -90), (200, -1490), (1600.0, -1490), (1600, -90)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Suez,Suez,"(MapName=Suez, SceneLoc=[(34, -85), (34, -1980), (1929.43554688, -1980), (1929, -85)], MapLoc=[(0, 0), (0, 4096), (4096, 4096), (4096, 0)], MapSize=(4096, 4096))",None
Colosseum,Colosseum,"(MapName=Colosseum, SceneLoc=, MapLoc=, MapSize=)",None
