RowName,MapID,SectorID,RowDescription
33,33,0,None
34,34,3,None
54,54,0,None
75,75,0,None
103,103,2,None
105,105,2,None
107,107,0,None
108,108,5,None
109,109,2,None
111,111,0,None
112,112,3,None
113,113,0,None
114,114,2,None
116,116,4,None
117,117,1,None
118,118,1,None
119,119,1,None
121,121,0,None
122,122,2,None
123,123,2,None
124,124,2,None
125,125,1,None
126,126,1,None
127,127,2,None
128,128,3,None
132,132,0,None
133,133,0,None
134,134,3,None
136,136,3,None
137,137,3,None
210,210,2,None
213,213,2,None
227,227,5,None
232,232,0,None
233,233,0,None
234,234,0,None
235,235,0,None
236,236,0,None
237,237,0,None
238,238,0,None
401,401,2,None
402,402,3,None
403,403,2,None
501,501,2,None
502,502,2,None
503,503,2,None
504,504,3,None
505,505,3,None
506,506,1,None
507,507,2,None
508,508,3,None
509,509,3,None
510,510,3,None
511,511,2,None
512,512,2,None
513,513,2,None
514,514,3,None
515,515,2,None
516,516,3,None
517,517,4,None
526,526,3,None
551,551,2,None
553,553,4,None
554,554,3,None
555,555,4,None
556,556,4,None
557,557,3,None
558,558,1,None
559,559,4,None
560,560,3,None
561,561,4,None
562,562,4,None
563,563,3,None
564,564,1,None
565,565,4,None
566,566,3,None
567,567,4,None
568,568,4,None
569,569,3,None
570,570,1,None
571,571,4,None
572,572,3,None
573,573,4,None
574,574,4,None
575,575,3,None
576,576,1,None
577,577,4,None
578,578,3,None
579,579,4,None
580,580,4,None
581,581,3,None
582,582,1,None
583,583,4,None
584,584,3,None
585,585,4,None
586,586,4,None
587,587,3,None
588,588,1,None
601,601,3,None
602,602,3,None
603,603,2,None
604,604,1,None
605,605,5,None
606,606,0,None
607,607,0,None
621,621,0,None
622,622,0,None
623,623,0,None
624,624,0,None
625,625,0,None
626,626,0,None
627,627,0,None
801,801,0,None
802,802,5,None
803,803,2,None
804,804,2,None
805,805,3,None
806,806,5,None
901,901,4,None
902,902,4,None
903,903,3,None
904,904,4,None
906,906,1,None
2401,2401,5,None
2402,2402,2,None
2403,2403,3,None
2404,2404,3,None
2405,2405,2,None
2406,2406,2,None
2407,2407,2,None
956,956,2,None
959,959,3,None
957,957,2,None
958,958,2,None
960,960,2,None
961,961,2,None
962,962,1,None
963,963,2,None
965,965,3,None
966,966,4,None
967,967,4,None
969,969,3,None
970,970,4,None
971,971,4,None
972,972,3,None
973,973,4,None
974,974,1,None
1059,1059,3,None
1060,1060,2,None
1061,1061,2,None
1062,1062,1,None
1063,1063,2,None
980,980,3,None
886,886,1,None
996,996,1,None
1107,1107,0,None
1302,1302,0,None
981,981,1,None
887,887,4,None
889,889,3,None
900,900,3,None
999,999,3,None
