RowName,RegionNo,RegionCode,PriorityModePC,PriorityModeMobile,RowDescription
124,124,ca,SOL,SOL,None
840,840,us,SOL,SOL,None
752,752,se,SOL,SOL,None
578,578,no,SOL,SOL,None
208,208,dk,SOL,SOL,None
246,246,fi,SOL,SOL,None
352,352,is,SOL,SOL,None
470,470,mt,SOL,SOL,None
492,492,mc,SOL,SOL,None
292,292,gi,SOL,SOL,None
20,20,ad,SOL,SOL,None
234,234,fo,SOL,SOL,None
438,438,li,SOL,SOL,None
674,674,sm,SOL,SOL,None
336,336,va,SOL,SOL,None
833,833,im,SOL,SOL,None
276,276,de,SOL,SOL,None
826,826,gb,SOL,SOL,None
250,250,fr,SOL,SOL,None
380,380,it,SOL,SOL,None
724,724,es,SOL,SOL,None
528,528,nl,SOL,SOL,None
756,756,ch,SOL,SOL,None
40,40,at,SOL,SOL,None
56,56,be,SOL,SOL,None
620,620,pt,SOL,SOL,None
372,372,ie,SOL,SOL,None
442,442,lu,SOL,SOL,None
300,300,gr,SOL,SOL,None
643,643,ru,SOL,SOL,None
804,804,ua,SOL,SOL,None
348,348,hu,SOL,SOL,None
703,703,sk,SOL,SOL,None
112,112,by,SOL,SOL,None
428,428,lv,SOL,SOL,None
233,233,ee,SOL,SOL,None
498,498,md,SOL,SOL,None
688,688,rs,SOL,SOL,None
8,8,al,SOL,SOL,None
51,51,am,SOL,SOL,None
268,268,ge,SOL,SOL,None
499,499,me,SOL,SOL,None
762,762,tj,SOL,SOL,None
795,795,tm,SOL,SOL,None
398,398,kz,SOL,SOL,None
860,860,uz,SOL,SOL,None
417,417,kg,SOL,SOL,None
440,440,lt,SOL,SOL,None
191,191,hr,SOL,SOL,None
705,705,si,SOL,SOL,None
376,376,il,SOL,SOL,None
203,203,cz,SOL,SOL,None
616,616,pl,SOL,SOL,None
642,642,ro,SOL,SOL,None
31,31,az,SOL,SOL,None
100,100,bg,SOL,SOL,None
70,70,ba,SOL,SOL,None
392,392,jp,SOL,SOL,None
410,410,kr,SOL,SOL,None
36,36,au,MP,MP,None
554,554,nz,MP,MP,None
626,626,tl,MP,MP,None
356,356,in,MP,MP,None
586,586,pk,MP,MP,None
462,462,mv,MP,MP,None
524,524,np,MP,MP,None
144,144,lk,MP,MP,None
64,64,bt,MP,MP,None
50,50,bd,MP,MP,None
344,344,hk,SOL,SOL,None
446,446,mo,SOL,SOL,None
156,156,cn,SOL,SOL,None
384,384,ci,MP,MP,None
