RowName,SocketId,SocketName,SocketDisplayName,SocketPartIcon,SocketPartType,bDefaultHide,bIsCommon,bHideForPlayer,CamPoint,ExtraInfos,RowDescription
1,1,PisG_point,后握把,(),EAdapterItemType::PistolGrip,False,False,False,EAssemblerCamPoint::POINT_GRIP,,None
2,2,Bar_point,枪管,(),EAdapterItemType::GunBarral,False,False,False,EAssemblerCamPoint::POINT_BARREL,,None
3,3,Sto_point,枪托,(),EAdapterItemType::Stock,False,False,False,EAssemblerCamPoint::POINT_STOCK,,None
4,4,Han_point,护木,(),EAdapterItemType::Handguard,False,False,False,EAssemblerCamPoint::POINT_HANDGUARD,,None
5,5,Mag_point,弹匣,(),EAdapterItemType::Magazine,False,False,False,EAssemblerCamPoint::POINT_MAGAZINE,,None
6,6,Muzzle_point,枪口,(),EAdapterItemType::Muzzle,False,False,False,EAssemblerCamPoint::POINT_MUZZLE,,None
7,7,FSig_point,准星,(),EAdapterItemType::ForSight,False,False,True,EAssemblerCamPoint::POINT_SIGHT,,None
8,8,For_point,前握把,(),EAdapterItemType::Foregrip,False,False,False,EAssemblerCamPoint::POINT_HANDGUARD,,None
9,9,Rea_point,照门,(),EAdapterItemType::Sight,False,False,True,EAssemblerCamPoint::POINT_SIGHT,,None
10,10,Bip_point,导轨脚架,(),EAdapterItemType::Bipod,False,False,False,EAssemblerCamPoint::POINT_BIPOD,,None
11,11,Sco_point,瞄准镜,(),EAdapterItemType::Sight,False,False,False,EAssemblerCamPoint::POINT_SIGHT,,None
12,12,Mag1_point,弹匣,(),EAdapterItemType::Magazine,False,False,False,EAssemblerCamPoint::POINT_MAGAZINE,,None
13,13,ScoB_point,后瞄准镜,(),EAdapterItemType::Sight,False,False,False,EAssemblerCamPoint::POINT_SIGHT,,None
