RowName,RuleKey,AnimFunctionId,PartFunctionType,AccessoryAnimPoseArray,AccessoryAnimPoseMap,AccessoryTPPAnimPoseArray,AccessoryHallAnimPoseArray,AccessoryAnimRightPoseArray,AccessoryTPPAnimRightPoseArray,AccessoryHallAnimRightPoseArray,ForbidLeftHandIKRulerArray,PartAnimInstance,BipodDeployId,Param1,Param2,OverrideRuleCollects,RowDescription
NewRow,1,10001,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_FroGPose.AR_M_1P_FroGPose, SubPath=)","(Key=EWeaponAdapterHandIKPoseType::FPPFar, Value=(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_chuizhi_FroGPose_Far.AR_M_1P_chuizhi_FroGPose_Far, SubPath=))","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_3P_FroGPose01.AR_M_3P_FroGPose01, SubPath=)","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_UI_VerticalGripPose.AR_M_UI_VerticalGripPose, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_0,2,10002,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_FroGPose02.AR_M_1P_FroGPose02, SubPath=)","(Key=EWeaponAdapterHandIKPoseType::FPPFar, Value=(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_texing_FroGPose_Far.AR_M_1P_texing_FroGPose_Far, SubPath=))","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_3P_FroGPose02.AR_M_3P_FroGPose02, SubPath=)","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_UI_HalfRoundGripPose.AR_M_UI_HalfRoundGripPose, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_1,3,10003,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_FroGPose03.AR_M_1P_FroGPose03, SubPath=)","(Key=EWeaponAdapterHandIKPoseType::FPPFar, Value=(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_sanjiao_FroGPose_Far.AR_M_1P_sanjiao_FroGPose_Far, SubPath=))","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_3P_FroG_triangle.AR_M_3P_FroG_triangle, SubPath=)","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_UI_TriangleGripPose.AR_M_UI_TriangleGripPose, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_2,4,10004,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_FroGPose04.AR_M_1P_FroGPose04, SubPath=)","(Key=EWeaponAdapterHandIKPoseType::FPPFar, Value=(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_1P_xie_FroGPose_Far.AR_M_1P_xie_FroGPose_Far, SubPath=))","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_3P_FroGPose04.AR_M_3P_FroGPose04, SubPath=)","(AssetPath=/Game/Models/Weapons/Parts/FroG/AdditivePose/AR_M_UI_SlantedGripPose.AR_M_UI_SlantedGripPose, SubPath=)",,,,,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_3,5,10005,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=None, SubPath=); (AssetPath=None, SubPath=)",,"(AssetPath=None, SubPath=); (AssetPath=None, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/AR/General/Male/UI/AR_M_UI_NormalHandguard.AR_M_UI_NormalHandguard, SubPath=)",,,,"(ForbidLeftHandIKType=EForbidLeftHandIKType::EOutReachDistance, OutReachDistance=40, SocketName=None)","(AssetPath=None, SubPath=)",1,,,,None
13170000004,6,11001,EWeaponPartAnimFunctionType::Anim_BipodUpDown,,,,,,,,,"(AssetPath=/Game/Models/Weapons/Parts/Bip/Bip_SR25_005/ABP_Bip_SR25_005.ABP_Bip_SR25_005_C, SubPath=)",1,0.4,0.48,,None
NewRow_5,7,12001,EWeaponPartAnimFunctionType::Anim_MagBulletChain,,,,,,,,,"(AssetPath=/Game/BluePrints/Weapons/PartsAnimationBP/WeaponPartFuncBulletChainAnimationBP.WeaponPartFuncBulletChainAnimationBP_C, SubPath=)",1,9,,,None
NewRow_6,8,13001,EWeaponPartAnimFunctionType::Anim_Overide,,,,,,,,,"(AssetPath=None, SubPath=)",1,11,,,None
NewRow_8,10,10007,EWeaponPartAnimFunctionType::IK_LeftHand,"(AssetPath=/Game/Models/Weapons/Guns/SMG/MP5A4/1P/SMG_M_1P_Idle.SMG_M_1P_Idle, SubPath=)",,"(AssetPath=/Game/Models/Weapons/Guns/SMG/MP5A4/3P/SMG_M_3P_IdleBase.SMG_M_3P_IdleBase, SubPath=)","(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/MP_F_MVPL1_POSE.MP_F_MVPL1_POSE, SubPath=); (AssetPath=/Game/Models/Weapons/Guns/SMG/MP5A4/3P/SMG_M_UI_IdleAdditive.SMG_M_UI_IdleAdditive, SubPath=)",,,"(AssetPath=/Game/Models/Weapons/Guns/SMG/General/Male/UI/SMG_M_UI_Stand01.SMG_M_UI_Stand01, SubPath=)",,"(AssetPath=None, SubPath=)",1,,,,None
NewRow_9,0,0,EWeaponPartAnimFunctionType::NONE,"(AssetPath=None, SubPath=)",,,,,,,,"(AssetPath=None, SubPath=)",1,,,,None
