RowName,ItemId,FunctionId,FunctionId_SOL,FunctionId_Breakthrough,AnimFunctionId,AudioFunctionId,FxFuntionId,RuleId,MagazineTypeId,PartsTypeId,PartsTypePriority,ExtendStr,ExtraOccupySockets,SocketOffsets,ProsList,ProsList_SOL,ProsList_Breakthrough,ConsList,ConsList_SOL,ConsList_Breakthrough,IsHiddenInGunsmith,WeaponAssemblyPoint,TuneIds,PartFunctionTag,bRelease,SpecialDescription,TriggerBulletCrack,bSupportDualMag,IsBreakthroughMode,BannedSlotIds,RowDescription
13020000459,13020000459,110459,110459,1110459,0,0,0,110459,0,0,0,None,,,"(BuffText=%s%s, Params=+1; 10001); (BuffText=%s%s, Params=+2; 10005)","(BuffText=%s%s, Params=+1; 10001); (BuffText=%s%s, Params=+2; 10005)","(BuffText=%s%s, Params=+1; 10001); (BuffText=%s%s, Params=+2; 10005)",,,,False,0,1005; 1006,EPartFunctionTag::NONE,True,,True,True,False,,None
13020000458,13020000458,110458,110458,1110458,0,0,0,110458,0,0,0,None,,,"(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-3; 10007)",False,0,1005; 1006,EPartFunctionTag::NONE,True,,True,True,False,,None
13030000060,13030000060,120060,120060,1120060,15027,0,0,120060,0,0,0,None,,,"(BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=+2; 10007)",,,,False,0,1018; 1019,EPartFunctionTag::NONE,True,,True,True,False,,None
18070000003,18070000003,18070003,18070003,218070003,15027,0,0,100016,0,0,0,None,,,,,,,,,False,0,,EPartFunctionTag::NONE,True,,True,True,False,,None
13320000020,13320000020,560020,560020,1560020,0,0,0,560020,0,133205,1,None,,,"(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+1; 10007)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+1; 10007)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+1; 10007)","(BuffText=%s%s, Params=-1; 10006)","(BuffText=%s%s, Params=-1; 10006)","(BuffText=%s%s, Params=-1; 10006)",False,0,,EPartFunctionTag::NONE,True,,True,True,False,,None
13110000052,13110000052,200052,200052,1200052,14002,0,0,200052,0,0,0,None,,,"(BuffText=%s%s, Params=+3; 10007); (BuffText=%s%s, Params=+2; 10023); (BuffText=%s%s, Params=+2; 10025)","(BuffText=%s%s, Params=+3; 10007); (BuffText=%s%s, Params=+2; 10023); (BuffText=%s%s, Params=+2; 10025)","(BuffText=%s%s, Params=+2; 10007); (BuffText=%s%s, Params=+2; 10023); (BuffText=%s%s, Params=+2; 10025)","(BuffText=%s%s, Params=-1; 10064); (BuffText=%s%s, Params=-4; 10006)","(BuffText=%s%s, Params=-1; 10064); (BuffText=%s%s, Params=-4; 10006)","(BuffText=%s%s, Params=-1; 10064); (BuffText=%s%s, Params=-4; 10006)",False,0,1012; 1035,EPartFunctionTag::NONE,True,,True,True,False,,None
13140000037,13140000037,240037,240037,1240037,10001,0,0,240037,0,0,0,None,,,"(BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+3; 10007)","(BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+3; 10007)","(BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+3; 10007)","(BuffText=%s%s, Params=-2; 10036)","(BuffText=%s%s, Params=-2; 10036)",,False,0,1011; 1010,EPartFunctionTag::NONE,True,,True,True,False,,None
13220000001,13220000001,550001,550001,1550001,0,0,0,550001,0,0,0,None,9,,"(BuffText=%s%s, Params=+3; 10005); (BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+1; 10007); (BuffText=%s%s, Params=+2; 10062)","(BuffText=%s%s, Params=+3; 10005); (BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+1; 10007); (BuffText=%s%s, Params=+2; 10062)","(BuffText=%s%s, Params=+2; 10005); (BuffText=%s%s, Params=+1; 10006); (BuffText=%s%s, Params=+1; 10007); (BuffText=%s%s, Params=+2; 10062)","(BuffText=%s%s, Params=-1; 10008)","(BuffText=%s%s, Params=-1; 10008)","(BuffText=%s%s, Params=-1; 10008)",False,0,,EPartFunctionTag::NONE,True,,True,True,False,,None
13140000032,13140000032,240032,240032,1240032,10001,0,0,240032,0,0,0,None,,,"(BuffText=%s%s, Params=+3; 10006)","(BuffText=%s%s, Params=+3; 10006)","(BuffText=%s%s, Params=+3; 10006)",,,,False,0,1011; 1010,EPartFunctionTag::NONE,True,,True,True,False,,None
13110000063,13110000063,200063,200063,1200063,0,0,0,200063,0,0,0,None,,ScoHigh2_point,"(BuffText=%s%s, Params=+2; 10022)","(BuffText=%s%s, Params=+2; 10022)","(BuffText=%s%s, Params=+2; 10022)","(BuffText=%s%s, Params=-1; 10006)","(BuffText=%s%s, Params=-1; 10006)",,False,0,1012; 1013,EPartFunctionTag::NONE,True,,True,True,False,,None
13320000001,13320000001,560001,560001,1560001,0,0,0,560001,0,133201,1,None,,,"(BuffText=%s%s, Params=+1; 10005)","(BuffText=%s%s, Params=+1; 10005)","(BuffText=%s%s, Params=+1; 10005)",,,,False,0,,EPartFunctionTag::NONE,True,,True,True,False,,None
13020000506,13020000506,110506,110506,1110506,0,0,0,110506,0,0,0,None,,,"(BuffText=%s%s, Params=+2; 10005); (BuffText=%s%s, Params=+5; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=+2; 10005); (BuffText=%s%s, Params=+5; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=+2; 10005); (BuffText=%s%s, Params=+4; 10006); (BuffText=%s%s, Params=+2; 10008)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-3; 10007)",False,0,1005; 1006,EPartFunctionTag::NONE,True,,True,True,False,,None
13020000507,13020000507,110507,110507,1110507,0,0,0,110507,0,0,0,None,,,"(BuffText=%s%s, Params=+5; 10001); (BuffText=%s%s, Params=+5; 10005); (BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=+5; 10001); (BuffText=%s%s, Params=+5; 10005); (BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=+5; 10001); (BuffText=%s%s, Params=+4; 10005); (BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=-4; 10006); (BuffText=%s%s, Params=-2; 10008)","(BuffText=%s%s, Params=-4; 10006); (BuffText=%s%s, Params=-2; 10008)","(BuffText=%s%s, Params=-4; 10006); (BuffText=%s%s, Params=-2; 10008)",False,0,1005; 1006,EPartFunctionTag::NONE,True,,True,True,False,,None
13040000007,13040000007,130007,130007,1130007,0,0,0,130007,0,0,0,None,,Rail_point,"(BuffText=%s%s, Params=+4; 10005); (BuffText=%s%s, Params=+4; 10006)","(BuffText=%s%s, Params=+4; 10005); (BuffText=%s%s, Params=+4; 10006)","(BuffText=%s%s, Params=+2; 10005); (BuffText=%s%s, Params=+3; 10006)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-3; 10007)","(BuffText=%s%s, Params=-2; 10007)",False,0,1027; 1017,EPartFunctionTag::NONE,True,,True,True,False,,None
13130000180,13130000180,230180,230180,1230180,0,0,10017,230180,0,0,0,None,,,"(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10007); (BuffText=%s%s, Params=+1; 10015)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10007); (BuffText=%s%s, Params=+1; 10015)","(BuffText=%s%s, Params=+1; 10005); (BuffText=%s%s, Params=+3; 10007); (BuffText=%s%s, Params=+1; 10015)","(BuffText=%s%s, Params=-1; 10006)","(BuffText=%s%s, Params=-1; 10006)","(BuffText=%s%s, Params=-1; 10006)",False,0,,EPartFunctionTag::NONE,True,,True,True,False,,None
13030000181,13030000181,120181,120181,1120181,0,0,0,120181,0,0,0,None,,,"(BuffText=%s%s, Params=+3; 10005); (BuffText=%s%s, Params=+3; 10007)","(BuffText=%s%s, Params=+3; 10005); (BuffText=%s%s, Params=+3; 10007)","(BuffText=%s%s, Params=+3; 10005); (BuffText=%s%s, Params=+2; 10007)","(BuffText=%s%s, Params=-2; 10006)","(BuffText=%s%s, Params=-2; 10006)","(BuffText=%s%s, Params=-2; 10006)",False,0,1018; 1019,EPartFunctionTag::NONE,True,,True,True,False,,None
