RowName,RuleKey,ItemId,ExcludeSocketParentType,ExcludeSocketName,ExcludeList,RowDescription
1,1,13110000001,EAdapterItemType::None,Rea_point,13190000001,None
2,2,13110000002,EAdapterItemType::None,Rea_point,13190000001,None
3,3,13110000003,EAdapterItemType::None,Rea_point,13190000001,None
4,4,13110000004,EAdapterItemType::None,Rea_point,,None
5,5,13110000005,EAdapterItemType::None,Rea_point,,None
6,6,13110000006,EAdapterItemType::None,Rea_point,,None
7,7,13110000007,EAdapterItemType::None,Rea_point,,None
8,8,13110000011,EAdapterItemType::None,Rea_point,,None
9,9,13110000012,EAdapterItemType::None,Rea_point,,None
10,10,13110000013,EAdapterItemType::None,Rea_point,,None
11,11,13110000014,EAdapterItemType::None,Rea_point,,None
12,12,13110000015,EAdapterItemType::None,Rea_point,,None
13,13,13110000016,EAdapterItemType::None,Rea_point,,None
14,14,13110000017,EAdapterItemType::None,Rea_point,,None
15,15,13110000018,EAdapterItemType::None,Rea_point,,None
16,16,13110000019,EAdapterItemType::None,Rea_point,,None
17,17,13110000020,EAdapterItemType::None,Rea_point,,None
18,18,13110000021,EAdapterItemType::None,Rea_point,,None
19,19,13110000001,EAdapterItemType::None,FroS_point,,None
20,20,13110000002,EAdapterItemType::None,FroS_point,,None
21,21,13110000003,EAdapterItemType::None,FroS_point,,None
22,22,13110000004,EAdapterItemType::None,FroS_point,,None
23,23,13110000005,EAdapterItemType::None,FroS_point,,None
24,24,13110000006,EAdapterItemType::None,FroS_point,,None
25,25,13110000007,EAdapterItemType::None,FroS_point,,None
26,26,13110000011,EAdapterItemType::None,FroS_point,,None
27,27,13110000012,EAdapterItemType::None,FroS_point,,None
28,28,13110000013,EAdapterItemType::None,FroS_point,,None
29,29,13110000014,EAdapterItemType::None,FroS_point,,None
30,30,13110000015,EAdapterItemType::None,FroS_point,,None
31,31,13110000016,EAdapterItemType::None,FroS_point,,None
32,32,13110000017,EAdapterItemType::None,FroS_point,,None
33,33,13110000018,EAdapterItemType::None,FroS_point,,None
34,34,13110000019,EAdapterItemType::None,FroS_point,,None
35,35,13110000020,EAdapterItemType::None,FroS_point,,None
36,36,13110000021,EAdapterItemType::None,FroS_point,,None
37,37,13030000108,EAdapterItemType::None,Sto_point,,None
