RowName,SkillCombatConfigName,ExpertID,SkillCombatDataType,SkillID,bActivateByBuff,BuffID,RowDescription
红狼手炮,红狼手炮,10007,EDataFlowType::BeDamaged,1008001,False,0,None
红狼大招,红狼大招,10007,EDataFlowType::SkillState,10010101,False,0,None
威龙C4,威龙C4,10010,EDataFlowType::BeDamaged,1009005,False,0,None
威龙C4_MP,威龙C4_MP,10010,EDataFlowType::BeDamaged,1009002,False,0,None
威龙喷气,威龙喷气,10010,EDataFlowType::BeRemoveBuffed,1009001,True,303019,None
威龙虎蹲击倒,威龙虎蹲击倒,10010,EDataFlowType::BeKnocked,1009003,False,0,None
无名飞盘,无名飞盘,10011,EDataFlowType::BeDamaged,1010001,False,0,None
无名飞盘_MP,无名飞盘_MP,10011,EDataFlowType::BeDamaged,1010004,False,0,None
无名飞盘Debuff,无名飞盘Debuff,10011,EDataFlowType::BeBuffed,0,True,300082,None
无名飞盘Debuff_MP,无名飞盘Debuff_MP,10011,EDataFlowType::BeBuffed,0,True,300083,None
无名闪光弱,无名闪光弱,10011,EDataFlowType::BeBuffed,0,True,300090,None
无名闪光中,无名闪光中,10011,EDataFlowType::BeBuffed,0,True,300091,None
无名闪光强,无名闪光强,10011,EDataFlowType::BeBuffed,0,True,300092,None
无名闪光MP,无名闪光MP,10011,EDataFlowType::BeBuffed,0,True,300095,None
无名大招,无名大招,10011,EDataFlowType::SkillState,1010003,False,0,None
克莱尔钻头,克莱尔钻头,10012,EDataFlowType::BeBuffed,0,True,300088,None
克莱尔钻头MP,克莱尔钻头MP,10012,EDataFlowType::BeBuffed,0,True,300089,None
克莱尔翻滚,克莱尔翻滚,10012,EDataFlowType::MoveState,1012001,False,0,None
克莱尔大招,克莱尔大招,10012,EDataFlowType::SkillState,1012003,False,0,None
蜂医治疗,蜂医治疗,20003,EDataFlowType::BeHealed,20010101,False,0,None
佐娅肾上腺素1P,佐娅肾上腺素1P,20004,EDataFlowType::SkillState,2008016,False,0,None
佐娅肾上腺素SOL,佐娅肾上腺素SOL,20004,EDataFlowType::BeBuffed,0,True,102004,None
佐娅肾上腺素MP,佐娅肾上腺素MP,20004,EDataFlowType::BeBuffed,0,True,102012,None
佐娅肾上腺素大招,佐娅肾上腺素大招,20004,EDataFlowType::BeBuffed,0,True,102002,None
佐娅大招虫群影响,佐娅大招虫群影响,20004,EDataFlowType::BeBuffed,0,True,102009,None
佐娅大招虫群影响MP,佐娅大招虫群影响MP,20004,EDataFlowType::BeBuffed,0,True,102013,None
佐娅烟雾致盲,佐娅烟雾致盲,20004,EDataFlowType::BeBuffed,0,True,102001,None
佐娅烟雾致盲MP,佐娅烟雾致盲MP,20004,EDataFlowType::BeBuffed,0,True,102014,None
露娜电箭,露娜电箭,40001,EDataFlowType::BeDamaged,4008002,False,0,None
露娜手雷,露娜手雷,40001,EDataFlowType::BeDamaged,3008002,False,0,None
露娜大招侦察,露娜大招侦察,40001,EDataFlowType::BeBuffed,0,True,100012,None
露娜大招侦察MP,露娜大招侦察MP,40001,EDataFlowType::BeBuffed,0,True,100024,None
麦晓雯大招,麦晓雯大招,40010,EDataFlowType::SkillState,1002016,False,0,None
麦晓雯闪光弱,麦晓雯闪光弱,40010,EDataFlowType::BeBuffed,0,True,100021,None
麦晓雯闪光中,麦晓雯闪光中,40010,EDataFlowType::BeBuffed,0,True,100026,None
麦晓雯闪光强,麦晓雯闪光强,40010,EDataFlowType::BeBuffed,0,True,100027,None
麦晓雯闪光背闪,麦晓雯闪光背闪,40010,EDataFlowType::BeBuffed,0,True,100028,None
麦晓雯闪光弱MP,麦晓雯闪光弱MP,40010,EDataFlowType::BeBuffed,0,True,100031,None
麦晓雯闪光中MP,麦晓雯闪光中MP,40010,EDataFlowType::BeBuffed,0,True,100032,None
麦晓雯闪光强MP,麦晓雯闪光强MP,40010,EDataFlowType::BeBuffed,0,True,100033,None
麦晓雯闪光背闪MP,麦晓雯闪光背闪MP,40010,EDataFlowType::BeBuffed,0,True,100034,None
兰登EMP,兰登EMP,40011,EDataFlowType::BeBuffed,0,True,100034,None
兰登大招扫描,兰登大招扫描,40011,EDataFlowType::BeDetect,2003001,False,0,None
兰登无人鸟扫描,兰登无人鸟扫描,40011,EDataFlowType::BeDetect,2003002,False,0,None
牧羊人手雷,牧羊人手雷,30008,EDataFlowType::BeDamaged,3008008,False,0,None
牧羊人陷阱,牧羊人陷阱,30008,EDataFlowType::BeDamaged,3008001,False,0,None
牧羊人震撼,牧羊人震撼,30008,EDataFlowType::BeBuffed,0,True,300016,None
牧羊人震撼前飞,牧羊人震撼前飞,30008,EDataFlowType::BeBuffed,0,True,300041,None
牧羊人震撼MP,牧羊人震撼MP,30008,EDataFlowType::BeBuffed,0,True,300047,None
牧羊人震撼前飞MP,牧羊人震撼前飞MP,30008,EDataFlowType::BeBuffed,0,True,300048,None
牧羊人震撼弱MP,牧羊人震撼弱MP,30008,EDataFlowType::BeBuffed,0,True,300056,None
牧羊人震撼弱前飞MP,牧羊人震撼弱前飞MP,30008,EDataFlowType::BeBuffed,0,True,300057,None
牧羊人震撼弱,牧羊人震撼弱,30008,EDataFlowType::BeBuffed,0,True,300058,None
牧羊人震撼弱前飞,牧羊人震撼弱前飞,30008,EDataFlowType::BeBuffed,0,True,300059,None
盾哥击倒,盾哥击倒,30010,EDataFlowType::BeKnocked,3010001,False,300059,None
盾哥钩爪命中,盾哥钩爪命中,30010,EDataFlowType::MoveState,3010002,False,0,None
盾哥铁丝网缓速,盾哥铁丝网缓速,30010,EDataFlowType::BeBuffed,0,True,300070,None
乌鲁鲁燃烧弹命中,乌鲁鲁燃烧弹命中,30009,EDataFlowType::BeDamaged,3009003,False,0,None
乌鲁鲁TV弹命中,乌鲁鲁TV弹命中,30009,EDataFlowType::BeDamaged,3009001,False,0,None
比特小蜘蛛命中,比特小蜘蛛命中,30011,EDataFlowType::BeBuffed,0,True,301102,None
比特小蜘蛛命中MP,比特小蜘蛛命中MP,30011,EDataFlowType::BeBuffed,0,True,301104,None
比特蜘蛛捕网命中,比特蜘蛛捕网命中,30011,EDataFlowType::BeBuffed,0,True,301101,None
比特蜘蛛捕网命中MP,比特蜘蛛捕网命中MP,30011,EDataFlowType::BeBuffed,0,True,301105,None
比特烟雾命中,比特烟雾命中,30011,EDataFlowType::BeBuffed,0,True,301108,None
比特烟雾命中MP,比特烟雾命中MP,30011,EDataFlowType::BeBuffed,0,True,301109,None
蝴蝶大招护盾,蝴蝶大招护盾,20005,EDataFlowType::BeBuffed,0,True,300115,None
蝴蝶医疗粉尘,蝴蝶医疗粉尘,20005,EDataFlowType::BeBuffed,0,True,103007,None
蝴蝶医疗粉尘轨迹,蝴蝶医疗粉尘轨迹,20005,EDataFlowType::BeBuffed,0,True,103008,None
声呐大招扫描,声呐大招标记,0,EDataFlowType::BeBuffed,0,True,204014,None
声呐干扰器震撼,声呐干扰器震撼,0,EDataFlowType::BeBuffed,0,True,204011,None
声呐干扰器震撼MP,声呐干扰器震撼MP,0,EDataFlowType::BeBuffed,0,True,204016,None
声呐干扰器致聋,声呐干扰器致聋,0,EDataFlowType::BeBuffed,0,True,204006,None
声呐干扰器致聋MP,声呐干扰器致聋MP,0,EDataFlowType::BeBuffed,0,True,204030,None
声呐干扰器发声,声呐干扰器发声,0,EDataFlowType::BeBuffed,0,True,204002,None
声呐干扰器发声MP,声呐干扰器发声MP,0,EDataFlowType::BeBuffed,0,True,204031,None
声呐闪光强,声呐闪光强,0,EDataFlowType::BeBuffed,0,True,204007,None
声呐闪光中,声呐闪光中,0,EDataFlowType::BeBuffed,0,True,204008,None
声呐闪光弱,声呐闪光弱,0,EDataFlowType::BeBuffed,0,True,204010,None
声呐闪光背闪,声呐闪光背闪,0,EDataFlowType::BeBuffed,0,True,204009,None
