RowName,Idle,Inactive,FireMontage,FireZoomingMontage,Equip,Unequip,Reload,AimReload,RowDescription
M2HB,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
M2HB_OnVehicle,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
CarrierRemoteurret,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
HMG_M134,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
RaidJeepFNMini,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
AAGun,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
Shore_Main_Gun,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=(WeaponAnimItemMap=)),(AnimItemSeqBaseArray=(WeaponAnimItemMap=)),None
Military_Weapon01,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
Military_DefenseGuns01,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
Heavy_Machine_Gun,(WeaponAnimItemMap=),(WeaponAnimItemMap=),"(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)","(FPPCameraShakePath=(AssetPath=None, SubPath=), FPPCameraShakeScale=0, TPPCameraShakePath=(AssetPath=None, SubPath=), TPPCameraShakeScale=0, WeaponAnimItemMap=)",(WeaponAnimItemMap=),(WeaponAnimItemMap=),(AnimItemSeqBaseArray=),(AnimItemSeqBaseArray=),None
