RowName,VehicleId,MaxHP,ArmorType,MaxLevelToIgnoreCollisionOfDestructible,ExplodeAttackerValueId,PointDamageTakenRate,ExplosionDamageTakenRate,VehicleArmorDamageId,HitAttackerValueId,HitCharacterDamageConfig,bHitAiBotDamageOverride,HitAiBotDamageConfig,AngleVehicleUpWithUp,BacksideCollisionAngle,BacksideCollisionDamageScalar,HitWallDamageConfig,HitWallDamageVelocityScaleCurve,ForceExecuteHitWallDamageThreshold,HitVehicleDamageConfig,bUseVelocityOffset,bVelocityOffsetDelay,SeatSkillsArray,RowDescription
女武神,1103001,99999,EGPVehicleArmorType::Raid,2,1982002,0,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=20); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=20); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=40))",False,False,"(SeatName=None, AbilityTypeArray=EVehicleAbilityType::EVAT_DefaultTrue; EVehicleAbilityType::EVAT_DefaultTrue); (SeatName=None, AbilityTypeArray=)",None
军事吉普,1103002,1000,EGPVehicleArmorType::LightMiddle,2,1982002,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=30, DamageValue=0); (MinVelocitySize=30, MaxVelocitySize=50, DamageValue=100); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=200))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=10))",False,False,,None
坦克,1101001,1000,EGPVehicleArmorType::Heavy,2,1812105,1,1,1812046,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10000, DamageValue=0))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=100, DamageValue=50); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=500))",False,False,,None
冲锋艇,1201003,1000,EGPVehicleArmorType::Middle,2,1812105,1,1,1812045,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=20); (MinVelocitySize=50, MaxVelocitySize=200, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=350))",False,False,"(SeatName=Point_Seat_03, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon; EVehicleAbilityType::ESVT_ExtraFireNotLeanout; EVehicleAbilityType::ESVT_NumMax); (SeatName=Point_Seat_04, AbilityTypeArray=EVehicleAbilityType::EVAT_USESkillCommon; EVehicleAbilityType::ESVT_ExtraFireNotLeanout; EVehicleAbilityType::ESVT_NumMax)",None
防空车,1101002,1000,EGPVehicleArmorType::Middle,2,1812105,1,1,1812045,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=60, DamageValue=0); (MinVelocitySize=60, MaxVelocitySize=65, DamageValue=5); (MinVelocitySize=65, MaxVelocitySize=67.5, DamageValue=7.5); (MinVelocitySize=67.5, MaxVelocitySize=100, DamageValue=10))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=350))",False,False,,None
步兵车,1101003,1000,EGPVehicleArmorType::Middle,2,1812105,1,1,1812045,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=5, DamageValue=0); (MinVelocitySize=5, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=60, DamageValue=0); (MinVelocitySize=60, MaxVelocitySize=65, DamageValue=5); (MinVelocitySize=65, MaxVelocitySize=67.5, DamageValue=7.5); (MinVelocitySize=67.5, MaxVelocitySize=100, DamageValue=10))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=100, DamageValue=20); (MinVelocitySize=100, MaxVelocitySize=200, DamageValue=100); (MinVelocitySize=200, MaxVelocitySize=500, DamageValue=350))",False,False,,None
武直,1301001,1000,EGPVehicleArmorType::Light,2,1812105,1,1,1812044,1981004,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=200, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=30, DamageValue=0); (MinVelocitySize=30, MaxVelocitySize=70, DamageValue=100); (MinVelocitySize=70, MaxVelocitySize=100, DamageValue=1000))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=10, DamageValue=0); (MinVelocitySize=10, MaxVelocitySize=50, DamageValue=10); (MinVelocitySize=50, MaxVelocitySize=100, DamageValue=20))",False,False,,None
s2皮卡,1103004,1000,EGPVehicleArmorType::Raid,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
raid轻型吉普,1103003,1000,EGPVehicleArmorType::Raid,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
Raid2_S2目标车,1103005,99999,EGPVehicleArmorType::Raid,2,1982002,1,1,0,1981002,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=20000, DamageValue=200))",False,(Infos=),120,140,1,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)",500,"(Infos=(MinVelocitySize=0, MaxVelocitySize=1000, DamageValue=0); (MinVelocitySize=1000, MaxVelocitySize=5000, DamageValue=20); (MinVelocitySize=5000, MaxVelocitySize=20000, DamageValue=40))",False,False,,None
