RowName,VehicleId,VehicleName,CarType,CustomVehicleType,ForceWidgetLayoutVehicleId,VehicleClassType,DeployShortDesc,DeployType,VehicleClass,LockType,EffectId,AudioKey,bIsClosedVehicle,SoftRefIcon,SoftRefIconInMap,bShowInEdgeWhenRedeploy,AirDropSockets,ScanningRadarConfig,AirDropOwnTime,KillBroadcastIconPath,AssistAimConfigGroup,RowDescription
1103002,1103002,,EAnimVehicleType::MilitaryJeep,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/MilitaryJeep/Appearance_Base/BP_MilitaryJeep.BP_MilitaryJeep_C, SubPath=)",1,1000003,Jeep,True,(),(),True,"(Rotation=(), Translation=(X=448, Y=0, Z=258), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=53, Y=75, Z=259), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=53, Y=-66, Z=259), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-269, Y=0, Z=258), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101001,1101001,,EAnimVehicleType::Tank,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::HeavyVehicle,"(AssetPath=/Game/BluePrints/Vehicles/Tank/BP_Tank_HD_New.BP_Tank_HD_New_C, SubPath=)",1,1000007,M1_Abrams,True,(),(),True,"(Rotation=(), Translation=(X=254, Y=199, Z=141), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=254, Y=-199, Z=141), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-475, Y=-169, Z=191), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-475, Y=170, Z=191), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101002,1101002,,EAnimVehicleType::SPAAG,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/LAVAD/Appearance_Base/BP_LAVAD_HD.BP_LAVAD_HD_C, SubPath=)",1,1000005,LAVAD,True,(),(),True,"(Rotation=(), Translation=(X=416, Y=74, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=416, Y=-76, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=150, Z=263), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=-159, Z=263), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=True, HorizontalRadius=15000, VerticalLength=100000, ScanningInterval=1, TargetVehicleClassArray=(); ())",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1101003,1101003,,EAnimVehicleType::Infantry,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightArmor,"(AssetPath=/Game/BluePrints/Vehicles/LAV25/Appearance_Base/BP_LAV25_HD.BP_LAV25_HD_C, SubPath=)",1,1000006,LAVAD,True,(),(),True,"(Rotation=(), Translation=(X=416, Y=74, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=416, Y=-76, Z=205), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=150, Z=263), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-336, Y=-159, Z=263), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1201001,1201001,,EAnimVehicleType::Boat,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Water,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/AgainstBoat/Appearance_Base/BP_AgainstBoat_Iceland_HD.BP_AgainstBoat_Iceland_HD_C, SubPath=)",1,1000000,UCB95,False,(),(),True,"(Rotation=(), Translation=(X=583, Y=-95, Z=195), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=583, Y=95, Z=195), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-531, Y=144, Z=218), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-531, Y=-144, Z=218), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1103007,1103007,,EAnimVehicleType::ATV,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/ATV/Appearance_Base/BP_ATV.BP_ATV_C, SubPath=)",1,1000009,ATV,False,(),(),True,"(Rotation=(), Translation=(X=92, Y=-25, Z=112), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=92, Y=25, Z=112), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-85, Y=55, Z=110), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-85, Y=-57, Z=110), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1102001,1102001,,EAnimVehicleType::ORV,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/ORV/Appearance_Base/BP_ORV_HD.BP_ORV_HD_C, SubPath=)",0,1000010,ORV,True,(),(),True,"(Rotation=(), Translation=(X=288, Y=60, Z=178), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=288, Y=-60, Z=178), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-186, Y=86, Z=267), Scale3D=(X=1, Y=1, Z=1)); (Rotation=(), Translation=(X=-186, Y=-86, Z=267), Scale3D=(X=1, Y=1, Z=1))","(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301002,1301002,,EAnimVehicleType::Helicopter,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::AttackHelicopter,"(AssetPath=/Game/BluePrints/Vehicles/AH64/BP_AH64_HD.BP_AH64_HD_C, SubPath=)",2,1000011,Military_Helicopter,True,(),(),True,,"(bIsEnableScanning=True, HorizontalRadius=15000, VerticalLength=100000, ScanningInterval=1, TargetVehicleClassArray=(); ())",25,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1103011,1103011,,EAnimVehicleType::MilitaryJeep,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Ground,,EVehicleDeployType::LightVehicle,"(AssetPath=/Game/BluePrints/Vehicles/Humvee/Appearance_Base/BP_Humvee.BP_Humvee_C, SubPath=)",0,1000012,None,True,(),(),True,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
1301003,1301003,,EAnimVehicleType::Helicopter,ECustomVehicleType::None,0,EDFMVehicleClassType::VehicleClassType_Sky,,EVehicleDeployType::None,"(AssetPath=/Game/BluePrints/Vehicles/BlackHawk/BP_BlackHawk_AI.BP_BlackHawk_AI_C, SubPath=)",2,1000013,Military_Helicopter,True,(),(),False,,"(bIsEnableScanning=False, HorizontalRadius=100, VerticalLength=100, ScanningInterval=1, TargetVehicleClassArray=)",0,(),EVehicleAssistAimConfigGroup::EVAACG_Default,None
