RowName,VehicleId,VehicleIcon,CommonHUDNames,SeatLayoutType,SeatHUDConfigs,RowDescription
坦克,1101001,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0508.HUD_ArmedDriverView_Icon_SP_0508, SubPath=)",VehicleBloodBarSubView; VehicleWeaponBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=VehicleTankStateSubView; TankWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_FR, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_BL, Value=(SeatHUDNames=VehicleGunSubView))",None
防空车,1101002,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0515.HUD_ArmedDriverView_Icon_SP_0515, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleAAStateSubView; TankWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_Seat_03, Value=(SeatHUDNames=VehicleGunSubView))",None
步兵车,1101003,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0515.HUD_ArmedDriverView_Icon_SP_0515, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleInfantryStateSubView; TankWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_Seat_03, Value=(SeatHUDNames=VehicleGunSubView))",None
军事吉普,1103002,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0511.HUD_ArmedDriverView_Icon_SP_0511, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=VehicleCommonStateSubView))",None
女武神,1103001,"(AssetPath=None, SubPath=)",VehicleBloodBarSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=))",None
攻击艇,1201003,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0505.HUD_ArmedDriverView_Icon_SP_0505, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView; VehicleTPPWeaponCommonAimWidget; VehicleWeaponBarSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleWeaponBarSubView))",None
武装直升机,1301001,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0514.HUD_ArmedDriverView_Icon_SP_0514, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=HelicopterDriverSubView)); (Key=Point_FR, Value=(SeatHUDNames=VehicleGunSubView))",None
ATV,1103007,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0512.HUD_ArmedDriverView_Icon_SP_0512, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,2,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView))",None
raid吉普,1103009,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0511.HUD_ArmedDriverView_Icon_SP_0511, SubPath=)",VehicleCommonSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=VehicleDriverSubView; VehicleControllerRootSubView))",None
ORV,1102001,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0513.HUD_ArmedDriverView_Icon_SP_0513, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleWeaponBarSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleGunSubView))",None
阿帕奇,1301002,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0514.HUD_ArmedDriverView_Icon_SP_0514, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=HelicopterDriverSubView; HelicopterStateSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=HelicopterGunSubView; HelicopterStateSubView))",None
LSOV,1103012,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0518.HUD_ArmedDriverView_Icon_SP_0518, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView))",None
轮式突击炮,1101004,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0519.HUD_ArmedDriverView_Icon_SP_0519, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleWheeledTankStateSubView; TankWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_Seat_03, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_Seat_04, Value=(SeatHUDNames=VehicleTPPLockWeaponAimWidget))",None
SOLBOSS直升机,1301004,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0514.HUD_ArmedDriverView_Icon_SP_0514, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=HelicopterDriverSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleGunSubView))",None
MH-33D侦察直升机,1301005,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0514.HUD_ArmedDriverView_Icon_SP_0514, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=HelicopterBirdDriverSubView; HelicopterBirdStateSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=HelicopterBirdStateSubView))",None
UH60,1301006,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0514.HUD_ArmedDriverView_Icon_SP_0514, SubPath=)",VehicleCommonSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,3,"(Key=Point_FL, Value=(SeatHUDNames=HelicopterDriverSubView; VehicleJoystickStyleControllerSubView)); (Key=Point_FR, Value=(SeatHUDNames=HelicopterGunSubView))",None
F35,1301007,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0525.HUD_ArmedDriverView_Icon_SP_0525, SubPath=)",VehicleWeaponBarSubView; VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView; JetF35StateSubView,5,"(Key=Point_FL, Value=(SeatHUDNames=JetDriverSubView))",None
GTQ-35轻型坦克,1101005,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0508.HUD_ArmedDriverView_Icon_SP_0508, SubPath=)",VehicleBloodBarSubView; VehicleWeaponBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_FL, Value=(SeatHUDNames=VehicleGTQTankStateSubView; TankWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_FR, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_BL, Value=(SeatHUDNames=VehicleGunSubView))",None
摩托艇,1201002,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0526.HUD_ArmedDriverView_Icon_SP_0526, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,2,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView))",None
冲锋艇-冰岛,1201001,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0505.HUD_ArmedDriverView_Icon_SP_0505, SubPath=)",VehicleBloodBarSubView; VehicleLockSubView; VehicleSupplyTipView,0,"(Key=Point_Seat_01, Value=(SeatHUDNames=VehicleCommonStateSubView)); (Key=Point_Seat_02, Value=(SeatHUDNames=VehicleWeaponBarSubView))",None
AAV两栖装甲运输车,1101006,"(AssetPath=/Game/UI/UIAtlas/System/HUD_ArmedDriverView/SP/HUD_ArmedDriverView_Icon_SP_0508.HUD_ArmedDriverView_Icon_SP_0508, SubPath=)",VehicleBloodBarSubView; VehicleWeaponBarSubView; VehicleLockSubView; VehicleSupplyTipView,3,"(Key=Point_FL, Value=(SeatHUDNames=VehicleAAV7StateSubView; AAVWeaponAimWidgetSubView; TankWeaponMirrorWidgetSubView)); (Key=Point_FR, Value=(SeatHUDNames=VehicleGunSubView)); (Key=Point_BL, Value=(SeatHUDNames=VehicleGunSubView))",None
