RowName,ID,VehicleItemID,VehicleID,VehicleName,SocketNum,SeatID,SocketType,SocketID,SocketName,PartItemID,PartID,PartName,AccessoryID,PartDescription,ModelPath,DefaultPart,UnlockType,UnlockPara,UnlockTask,UnlockDescription,SlotID,SortID,RowDescription
1,1,39001101001,1101001,,101010,,1,0,,40120000008,18120000008,,0,,,1,1,1,0,,1,1,None
2,2,39001101001,1101001,,101010,,1,0,,40120000020,18120000020,,0,,,0,2,2,0,,1,2,None
3,3,39001101001,1101001,,101010,,1,0,,40120000021,18120000021,,0,,,0,2,7,0,,1,3,None
4,4,39001101001,1101001,,101020,,1,1,,40120000022,18120000022,,0,,,1,1,1,0,,2,4,None
5,5,39001101001,1101001,,101020,,1,1,,40120000023,18120000023,,0,,,0,2,5,0,,2,5,None
6,6,39001101001,1101001,,102010,,2,1,,40000010002,10002,,0,,,1,1,1,0,,3,6,None
7,7,39001101001,1101001,,102010,,2,1,,40000010008,10008,,0,,,0,2,3,0,,3,7,None
8,8,39001101001,1101001,,102020,,2,2,,40000010001,10001,,0,,,1,1,1,0,,4,8,None
9,9,39001101001,1101001,,102020,,2,2,,40000010004,10004,,0,,,0,2,6,0,,4,9,None
10,10,39001101001,1101001,,201010,,1,0,,40120000009,18120000009,,0,,,1,1,1,0,,5,10,None
11,11,39001101001,1101001,,201010,,1,0,,40120000001,18120000001,,0,,,0,2,9,0,,5,11,None
12,12,39001101001,1101001,,201010,,1,0,,40121100009,18120000009,,40120000009,,,0,2,10,0,,5,12,None
13,13,39001101001,1101001,,201010,,1,0,,40121100001,18120000001,,40120000009,,,0,2,10,0,,5,13,None
14,14,39001101001,1101001,,201010,,1,0,,40120000047,18120000047,,0,,,0,2,9,0,,5,14,None
15,15,39001101001,1101001,,301010,,1,0,,40120000012,18120000012,,0,,,0,2,6,0,,6,15,None
16,16,39001101001,1101001,,301010,,1,0,,40120000014,18120000014,,0,,,1,1,1,0,,6,16,None
17,17,39001101001,1101001,,301010,,1,0,,40120000013,18120000013,,0,,,0,2,10,0,,6,17,None
18,18,39001101001,1101001,,301010,,1,0,,40120000026,18120000026,,0,,,0,2,4,0,,6,18,None
19,19,39001101001,1101001,,301010,,1,0,,40120000037,18120000037,,0,,,0,2,8,0,,6,19,None
20,20,39001101001,1101001,,402010,,2,4,,40000010006,10006,,0,,,1,1,1,0,,7,20,None
21,21,39001101001,1101001,,402020,,2,1,,40000010012,10012,,0,,,1,1,1,0,,11,21,None
22,22,39001101002,1101002,,101010,,1,0,,40120100004,18120000004,,0,,,0,2,2,0,,1,22,None
23,23,39001101002,1101002,,101010,,1,0,,40120100031,18120000031,,0,,,1,1,1,0,,1,23,None
24,24,39001101002,1101002,,101021,,1,1,,40120100007,18120000007,,0,,,1,1,1,0,,2,24,None
25,25,39001101002,1101002,,101021,,1,1,,40120100074,18120000074,,0,,,0,2,10,0,,2,25,None
26,26,39001101002,1101002,,102010,,2,1,,40000110002,10002,,0,,,1,1,1,0,,3,26,None
27,27,39001101002,1101002,,102010,,2,1,,40000110008,10008,,0,,,0,2,3,0,,3,27,None
28,28,39001101002,1101002,,102010,,2,1,,40000110011,10011,,0,,,0,2,4,0,,3,28,None
29,29,39001101002,1101002,,102020,,2,2,,40000110001,10001,,0,,,1,1,1,0,,4,29,None
30,30,39001101002,1101002,,201010,,1,0,,40120100009,18120000009,,0,,,1,1,1,0,,5,30,None
31,31,39001101002,1101002,,201010,,1,0,,40120100001,18120000001,,0,,,0,2,4,0,,5,31,None
32,32,39001101002,1101002,,201010,,1,0,,40121200009,18120000009,,40120000009,,,0,2,10,0,,5,32,None
33,33,39001101002,1101002,,201010,,1,0,,40121200001,18120000001,,40120000009,,,0,2,10,0,,5,33,None
34,34,39001101002,1101002,,201010,,1,0,,40120100010,18120000010,,0,,,0,2,6,0,,5,34,None
35,35,39001101002,1101002,,201010,,1,0,,40120100011,18120000011,,0,,,0,2,8,0,,5,35,None
36,36,39001101002,1101002,,301010,,1,0,,40120100012,18120000012,,0,,,1,1,1,0,,6,36,None
37,37,39001101002,1101002,,301010,,1,0,,40120100024,18120000024,,0,,,0,2,5,0,,6,37,None
38,38,39001101002,1101002,,301010,,1,0,,40120100026,18120000026,,0,,,0,2,7,0,,6,38,None
39,39,39001102003,1101003,,101010,,1,0,,40120200003,18120000003,,0,,,1,1,1,0,,1,39,None
40,40,39001102003,1101003,,101010,,1,0,,40120200029,18120000029,,0,,,0,2,2,0,,1,40,None
41,41,39001102003,1101003,,101010,,1,0,,40120200030,18120000030,,0,,,0,2,8,0,,1,41,None
42,42,39001102003,1101003,,101021,,1,1,,40120200034,18120000034,,0,,,1,1,1,0,,2,42,None
43,43,39001102003,1101003,,101021,,1,1,,40120200050,18120000050,,0,,,0,2,3,0,,2,43,None
44,44,39001102003,1101003,,101021,,1,1,,40120200080,18120000080,,0,,,0,2,3,0,,2,44,None
45,45,39001102003,1101003,,102010,,2,1,,40000210002,10002,,0,,,1,1,1,0,,3,45,None
46,46,39001102003,1101003,,102010,,2,1,,40000210008,10008,,0,,,0,2,3,0,,3,46,None
47,47,39001102003,1101003,,102010,,2,1,,40000210011,10011,,0,,,0,2,4,0,,3,47,None
48,48,39001102003,1101003,,102020,,2,2,,40000210001,10001,,0,,,1,1,1,0,,4,48,None
49,49,39001102003,1101003,,102020,,2,2,,40000210004,10004,,0,,,0,2,4,0,,4,49,None
50,50,39001102003,1101003,,201010,,1,0,,40120200009,18120000009,,0,,,1,1,1,0,,5,50,None
51,51,39001102003,1101003,,201010,,1,0,,40120200001,18120000001,,0,,,0,2,5,0,,5,51,None
52,52,39001102003,1101003,,201010,,1,0,,40121300009,18120000009,,40120000009,,,0,2,10,0,,5,52,None
53,53,39001102003,1101003,,201010,,1,0,,40121300001,18120000001,,40120000009,,,0,2,10,0,,5,53,None
54,54,39001102003,1101003,,201010,,1,0,,40120200010,18120000010,,0,,,0,2,7,0,,5,54,None
55,55,39001102003,1101003,,201010,,1,0,,40120200025,18120000025,,0,,,0,2,10,0,,5,55,None
56,56,39001102003,1101003,,301010,,1,0,,40120200012,18120000012,,0,,,1,1,1,0,,6,56,None
57,57,39001102003,1101003,,301010,,1,0,,40120200024,18120000024,,0,,,0,2,6,0,,6,57,None
58,58,39001102003,1101003,,301010,,1,0,,40120200013,18120000013,,0,,,0,2,9,0,,6,58,None
59,59,39001102001,1102001,,102010,,2,1,,40000310002,10002,,0,,,1,1,1,0,,3,59,None
