RowName,VehicleId,MaxValidVelocitySize,MaxProjectedVelocitySize,MaxAbnormalDistance,AbnormalDistanceEliminatedScale,VelocityPenaltyScale,MaxAccelerationInKmh,bCanFly,MaxSimulatedHardSnapLinearError,MaxSimulatedHardSnapAngularError,RowDescription
1101001,1101001,70,85,200,0.1,0.1,80,False,500,60,None
1101002,1101002,85,100,200,0.1,0.1,100,False,500,60,None
1101003,1101003,85,100,200,0.1,0.1,100,False,500,60,None
1101004,1101004,90,100,200,0.1,0.1,105,False,500,60,None
1102001,1102001,95,120,200,0.1,0.1,80,False,500,60,None
1103007,1103007,80,100,200,0.1,0.1,70,False,500,60,None
1103012,1103012,95,110,200,0.1,0.1,90,False,500,60,None
1201001,1201001,100,75,200,0.1,0.1,50,False,500,60,None
1301002,1301002,300,350,200,0.1,0.1,0,True,500,60,None
1301005,1301005,300,350,200,0.1,0.1,0,True,500,60,None
1301007,1301007,450,500,200,0.1,0.1,0,True,500,60,None
1101005,1101005,100,80,200,0.1,0.1,95,False,500,60,None
1201002,1201002,90,100,200,0.1,0.1,120,False,500,60,None
1201003,1201003,100,75,200,0.1,0.1,100,False,500,60,None
1101006,1101006,70,85,200,0.1,0.1,80,False,500,60,None
1101007,1101007,85,100,200,0.1,0.1,100,False,500,60,None
1301008,1301008,450,500,200,0.1,0.1,0,True,500,60,None
