RowName,WeaponId,WeaponDisplayName,IsWeaponUseVehicleMesh,IsWeaponShouldPlayAnimInFPPView,IsWeaponUseVehicleMeshWithVehicle,IsWeaponShouldPlayAnimInFPPViewWithVehicle,IsFixed,FixedRotationLerpValue,MaxDistance,bOverrideWeaponTraceDistance,OverridedWeaponTraceDistance,FixedFireStartPos,RotAudioId,RotLerpValue,RotLerpThreshold,WeaponRotYawSpeed,WeaponRotPitchSpeed,WeaponMaxPitch,WeaponMinPitch,WeaponPitchRange,FireWindEffectInfo,IsNeedFireEffect,FireEffectRaycastDistance,FireForcePos,FireVelocityValue,FireAngularVelocityValue,FiredDustEffect,FiredDustRaycastDistance,FPPUpAdditiveAnim,FPPDownAdditiveAnim,HideSockets,CrossHairName,WeaponUIIcon,WeaponTypeIcon,WeaponGunMesh,WeaponGunLocalTransform,WeaponGunModificationEffect,AnotherWeaponGunMesh,AnotherWeaponGunLocalTransform,AnotherWeaponGunModificationEffect,WeaponRootMesh,WeaponRootModificationEffect,RowDescription
坦克主炮,18120000008,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1000,10,10,120,60,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=True, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=1500, WindEffectStrength=1, WindEffectDuration=5)",True,100,"(X=0, Y=0, Z=0)",225,0.5,P_Vehicle_TankM1_02_GunFire_Smoke_HD,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-重机枪,18120000001,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1100,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=50, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器舱-霰弹,18120000012,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_Shot,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=40), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
步兵车高爆弹,18120000003,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1000,10,10,140,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=45, Z=0)","(bPlayFireWindEffect=True, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=1000, WindEffectStrength=0.6, WindEffectDuration=5)",False,100,"(X=0, Y=0, Z=0)",75,0.1,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-榴弹发射器,18120000010,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_SpecialGrenade,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=70), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-迫击炮,18120000013,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_SpecialGrenade,(),(),(),"(Rotation=(), Translation=(X=0, Y=-8, Z=20), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
防空车30mm机炮,18120000004,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1100,10,10,120,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-20, Y=70, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",10,0.08,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
防空车车防空导弹,18120000007,,False,False,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1100,10,10,45,45,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=30, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=-31.795181, Y=-101, Z=48.00464), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=-31.795181, Y=101, Z=48.00464), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武器站-弹幕火箭,18120000011,,False,True,,,False,20,20000,False,20000,"(X=0, Y=0, Z=0)",1200,10,10,360,90,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-30, Y=45, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,WBP_Vehicle_Rocket,(),(),(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
武直火箭弹,18120000002,,False,True,,,True,20,20000,False,20000,"(X=0, Y=0, Z=0)",0,10,10,1000,1000,"(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(EditorCurveData=(Keys=, Orders=, DefaultValue=3.4028235e+38, PreInfinityExtrap=RCCE_Constant, PostInfinityExtrap=RCCE_Constant), ExternalCurve=)","(X=-10, Y=20, Z=0)","(bPlayFireWindEffect=False, bUseCustomWineEffectBlueprint=False, WindEffectBlueprint=(), LocalOffset=(X=0, Y=0, Z=0), WindEffectRadius=0, WindEffectStrength=0, WindEffectDuration=0)",False,100,"(X=0, Y=0, Z=0)",0,0,None,500,(),(),,None,(),(),(),"(Rotation=(), Translation=(X=-88.72, Y=-241.85, Z=116.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(Rotation=(), Translation=(X=-88.72, Y=241.85, Z=116.240005), Scale3D=(X=1, Y=1, Z=1))","(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",(),"(EffectId=None, b13PUseSeparateId=False, EffectId3P=None, EffectTransform=(Rotation=(), Translation=(X=0, Y=0, Z=0), Scale3D=(X=1, Y=1, Z=1)), SocketName=None, EffectsParamEvaluators=)",None
