RowName,ItemId,SkinApperanceId,SuppportFireModes,DefaultFireMode,PreFireTime,PreFireTime_DirectFire,PreFireKeepTime,PreFireKeepTime_DirectFire,PreFireCancelTime,PreFireCancelTime_DirectFire,FireInterval,FireInterval_DirectFire,FastFireInterval,FastFireInterval_DirectFire,EnableInputCancel,EnableInputCancel_DirectFire,bCanFireUnderWater,EquipTime,EquipTime_DirectFire,UnEquipTime,UnEquipTime_DirectFire,FirstEquipTime,FirstEquipTime_DirectFire,FastEquipTime,FastEquipTime_DirectFire,FastUnEquipTime,FastUnEquipTime_DirectFire,VisibleDelayTime,VisibleDelayTime_DirectFire,MovementSpeedID,ProjectileId,DamageId,FXId,PreFXId,PreFXTIime,AnimId,HitFeedbackAudioId,SoundFXId,WeaponSoundFXId,CrossHairIdThrowHigh,CrossHairIdThrowLow,AttackerValueId,OverlapAttackerValueId,ViewId,EnableLastActive,HideMeshInFire,EnablePoseModify,CanAddAmmo,WeaponAmmoCost,MaxCarriedAmmoCount,bIsClientOnlyThrowConfig,MinClientFakeLerpTime,MaxClientFakeLerpTime,bIsClientFakeProjectileUseSocket,bIsClientFakePreviewUseSocket,ClientFakeSocketName,ThrowRotationPitchAddition,ThrowLocationHorizontalAddition,ThrowLocationVerticalAddition,ThrowLocationDepthAddition,ThrowLowRotationPitchAddition,ThrowLowLocationHorizontalAddition,ThrowLowLocationVerticalAddition,ThrowPlusCharacterOwnerVelcoityFactor,bReEquipInFireEnd,bCanUseSkillInPreFireState,bEnablePreviewLine,PreviewNearDistance,PreviewFarDistance,PreviewNearScale,PreviewFarScale,ForbidProneMoveInPreFire,ThrowVelocityOwnerFactorForward,ThrowVelocityOwnerFactorBack,ThrowVelocityOwnerFactorRight,ThrowVelocityOwnerFactorLeft,ThrowVelocityOwnerFactorUp,ThrowVelocityOwnerFactorDown,bMovementModeInstantBlend,bDisableProneIdleAdditive,bNeedDoubleHandOverride,bSwimNeedDoubleHandOverride,bSprintRightHandOverride,bFullBodyLocomotionSpineOverlay,bFullBodyRightPoseOverlay,SupineLeftShoulerPitch,SupineRightShoulderPitch,bSupineNeedDoubleHandOverride,AimAssistorId,AimAssistorIdForMPMode,CheckVehicleLeanState,FireInVehicleShouldLeanout,FireInVehicleLeanoutCheckType,RowDescription
救援无人机,21020300037,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.433333,0.466667,3.333333,3.333333,0.833333,0.833333,1.1999998,0.55,1.1999998,1,True,True,True,0.474,0.5,0.7,0.5,0.474,0.5,0.474,0.4,0.5,0.2,0.05,0,1,63,0,40,0,0,45,0,14,C103_Vlinder_Ultimate_Butterfly,9901,9902,1982003,1991001,1815,1,1,1,True,1,1,False,0,0.3,False,False,None,10,0,2,10,20,24,0,0.1,False,False,True,1000,4000,0.5,5,False,1,1,0,0,1,0,False,False,False,False,False,False,False,60,60,False,0,0,False,True,False,None
遥控烟雾,21020300036,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.43,0.43,2,2,0.5,0.5,0.4,0.4,1.0666666,0.4,True,True,True,0.2,0.2,0.5,0.5,0.13,0.13,0.13,0.13,0.2,0.2,0,0,1,62,40,38,0,0,46,0,26,C103_Vlinder_Throwable_ControlledSmoke,9901,9902,0,1991001,0,1,1,1,True,1,1,True,0,0.5,True,True,None,0,15,2,10,-15,24,0,0,False,False,False,1000,6000,0.5,2,False,1,1,0,0,1,0,False,False,False,False,False,False,False,60,60,False,0,0,False,True,False,None
医疗粉尘,21020300035,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.6,0.6,3.3333335,3.3333335,0.5,0.5,0.5,0.5,0.5,0.5,True,True,True,0.21,0.21,0.5,0.5,0.2,0.2,0.2,0.01,0.2,0.2,0,0,1,61,38,39,0,0,47,0,26,C103_Vlinder_Skill_MedicalDust,9901,9902,0,1991001,1857,1,1,1,True,1,1,True,0,0.5,True,True,None,0,0,0,0,0,0,0,0.1,False,False,False,1000,6000,0.5,2,False,1,1,0,0,1,0,False,False,False,False,True,False,True,30,30,True,0,0,False,True,False,None
21010000046,21010000046,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0,1,0,2,0.010728,1,1.1999998,1,1.1999998,1,True,True,True,0.7,0.5,0.7,0.5,1.133,0.5,1.133,0.4,0.2,0.2,0,0,1,75,41,4,0,0,20,0,2,Throw_Smoke,9901,9902,1982076,1991001,0,1,1,1,True,1,1,True,0,2,True,True,None,0,0,0,0,-15,24,0,0,False,False,True,1000,6000,0.5,2,False,1,1,0,0,1,0,False,False,False,False,False,False,False,60,60,False,0,0,False,True,False,None
声纳装置,21020300050,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.547619,1.533333,3.333333,3.333333,1.066667,0.500192,1.8,1.8,1.433333,1.433333,True,True,True,0.9,0.4,0.5,0.5,0.9,0.4,0.9,0.4,0.5,0.2,0,0,1,60,0,0,0,0,51,1,38,C204_Ultimate_Sonar,1515,1515,0,1991001,1899,1,1,1,True,1,1,True,0,0.3,True,True,None,0,0,0,100,20,24,0,0.5,False,False,True,1000,4000,0.5,5,False,1,1,0,0,1,1,True,True,True,False,False,False,False,25,25,True,0,0,False,True,False,None
投掷型干扰装置,21020300051,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.333,0.333,3.3333333,3.3333333,0.4000001,0.40370083,0.5500002,0.5500002,0.55,0.55,True,True,True,1.02,0.0001,0.5,0.5,1.02,0.333,1.02,0.0001,0.5,0.2,0,0,1,64,31,204001,0,0,50,1,37,C204_Skill_Interfere,1515,1515,0,1991001,1899,1,1,1,True,1,1,True,0,2,True,True,None,7,10,2,50,20,24,0,0,False,False,True,1000,6000,0.5,2,False,0,0,0,0,0,0,False,False,False,False,False,False,False,45,30,False,0,0,False,True,False,None
延时型闪光弹,21020300052,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0,1,3.33333,2,0.833333,1,1.2000003,1,1.1999998,1,True,True,True,0.7,0.5,0.7,0.5,1.133,0.5,1.133,0.5,0.2,0.2,0,0,1,65,31,204002,0,0,49,0,36,C204_Throwable_Flash,9901,9902,0,1991001,0,1,1,1,True,1,1,True,0,1,True,True,None,7,0,0,0,-15,24,0,0,False,False,True,1000,6000,0.5,2,False,1,1,0,0,1,0,False,False,False,False,False,False,False,60,60,False,0,0,False,True,False,None
大招,18080000031,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.43333334,0.46666667,3.3333333,3.3333333,0.8333335,0.8333335,0.54999995,0.54999995,0.55,0.55,True,True,True,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.2,0.2,0,0,1,66,42,13,21,1,1,0,10,C302_AirCannon,1515,1515,1985007,1991001,1815,1,1,1,True,1,1,False,0,2,False,False,None,10,15,2,10,20,24,0,0.1,False,False,True,1000,4000,0.5,5,True,1,11,0,0,1,0,True,True,True,False,False,False,False,60,60,False,0,0,False,True,False,None
V,21010000044,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,1.13,0.46666667,3.333333,3.3333333,0.833333,0.8333335,0.68978965,0.54999995,0.4,0.4,True,True,True,1.13,1.13,0.5,0.5,1.13,1.13,1.13,1.13,0.5,0.5,0,0,1,67,12,4000502,0,0,55,0,17,C402_Throwable_FireBomb,1515,1515,1982015,1991001,1899,1,1,1,True,1,1,True,0,2,True,True,None,7,0,0,0,20,24,0,0.1,False,False,True,1000,6000,0.5,2,False,1,1,0,0,1,0,True,True,True,False,False,False,False,60,60,False,0,0,False,True,False,None
G,21010000045,0,EGPWeaponFiringMode::ThrowHigh; EGPWeaponFiringMode::ThrowLow,EGPWeaponFiringMode::ThrowHigh,0.86,0.86,3.333333,3.333333,0.4000001,0.4000001,0.3666668,0.3666668,1.1999998,1,True,True,True,0.143,0.143,0.4,0.4,0.143,0.143,0.143,0.143,0.4,0.4,0,0,1,68,31,4000503,0,0,52,0,26,C303_Throwable_Flashbulb,9901,9902,0,1991001,1899,1,1,1,True,1,1,True,0,1,True,True,None,7,0,0,0,-15,24,0,0,False,False,True,1000,6000,0.5,2,False,1,1,0,0,1,0,False,False,True,False,True,False,True,60,60,False,0,0,False,True,False,None
